experiment_id,scenario,strategy,robot_count,target_count,seed,n_allocations,mean_decision_latency_ms,max_decision_latency_ms
exp_deadline_pressure_ahe_mrta_v3_r3t9_seed01,deadline_pressure,ahe_mrta_v3,3,9,1,13.0,0.86,2.11
exp_deadline_pressure_ahe_mrta_v3_r3t9_seed02,deadline_pressure,ahe_mrta_v3,3,9,2,17.0,0.51,0.82
exp_deadline_pressure_ahe_mrta_v3_r3t9_seed03,deadline_pressure,ahe_mrta_v3,3,9,3,13.0,0.53,1.34
exp_deadline_pressure_ahe_mrta_v3_r3t9_seed04,deadline_pressure,ahe_mrta_v3,3,9,4,15.0,0.41,0.65
exp_deadline_pressure_ahe_mrta_v3_r3t9_seed05,deadline_pressure,ahe_mrta_v3,3,9,5,14.0,0.53,0.85
exp_mixed_stress_ahe_mrta_v3_r3t9_seed01,mixed_stress,ahe_mrta_v3,3,9,1,20.0,0.49,1.01
exp_mixed_stress_ahe_mrta_v3_r3t9_seed02,mixed_stress,ahe_mrta_v3,3,9,2,21.0,0.44,0.75
exp_mixed_stress_ahe_mrta_v3_r3t9_seed03,mixed_stress,ahe_mrta_v3,3,9,3,20.0,0.5,0.92
exp_mixed_stress_ahe_mrta_v3_r3t9_seed04,mixed_stress,ahe_mrta_v3,3,9,4,10.0,0.5,0.87
exp_mixed_stress_ahe_mrta_v3_r3t9_seed05,mixed_stress,ahe_mrta_v3,3,9,5,18.0,0.45,0.95
exp_robot_failure_ahe_mrta_v3_r3t9_seed01,robot_failure,ahe_mrta_v3,3,9,1,14.0,0.44,0.85
exp_robot_failure_ahe_mrta_v3_r3t9_seed02,robot_failure,ahe_mrta_v3,3,9,2,15.0,0.47,0.82
exp_robot_failure_ahe_mrta_v3_r3t9_seed03,robot_failure,ahe_mrta_v3,3,9,3,16.0,0.47,0.88
exp_robot_failure_ahe_mrta_v3_r3t9_seed04,robot_failure,ahe_mrta_v3,3,9,4,9.0,0.5,0.68
exp_robot_failure_ahe_mrta_v3_r3t9_seed05,robot_failure,ahe_mrta_v3,3,9,5,7.0,0.62,0.85
exp_deadline_pressure_ahe_mrta_v3_r3t15_seed01,deadline_pressure,ahe_mrta_v3,3,15,1,33.0,0.83,1.49
exp_deadline_pressure_ahe_mrta_v3_r3t15_seed02,deadline_pressure,ahe_mrta_v3,3,15,2,29.0,0.59,1.22
exp_deadline_pressure_ahe_mrta_v3_r3t15_seed03,deadline_pressure,ahe_mrta_v3,3,15,3,23.0,0.72,1.33
exp_deadline_pressure_ahe_mrta_v3_r3t15_seed04,deadline_pressure,ahe_mrta_v3,3,15,4,19.0,0.68,1.16
exp_deadline_pressure_ahe_mrta_v3_r3t15_seed05,deadline_pressure,ahe_mrta_v3,3,15,5,21.0,0.55,0.98
exp_mixed_stress_ahe_mrta_v3_r3t15_seed01,mixed_stress,ahe_mrta_v3,3,15,1,41.0,0.44,1.0
exp_mixed_stress_ahe_mrta_v3_r3t15_seed02,mixed_stress,ahe_mrta_v3,3,15,2,39.0,0.44,1.03
exp_mixed_stress_ahe_mrta_v3_r3t15_seed03,mixed_stress,ahe_mrta_v3,3,15,3,34.0,0.45,0.91
exp_mixed_stress_ahe_mrta_v3_r3t15_seed04,mixed_stress,ahe_mrta_v3,3,15,4,27.0,0.46,1.07
exp_mixed_stress_ahe_mrta_v3_r3t15_seed05,mixed_stress,ahe_mrta_v3,3,15,5,25.0,0.47,0.73
exp_robot_failure_ahe_mrta_v3_r3t15_seed01,robot_failure,ahe_mrta_v3,3,15,1,39.0,0.44,0.74
exp_robot_failure_ahe_mrta_v3_r3t15_seed02,robot_failure,ahe_mrta_v3,3,15,2,28.0,0.43,0.76
exp_robot_failure_ahe_mrta_v3_r3t15_seed03,robot_failure,ahe_mrta_v3,3,15,3,28.0,0.48,0.76
exp_robot_failure_ahe_mrta_v3_r3t15_seed04,robot_failure,ahe_mrta_v3,3,15,4,27.0,0.49,0.74
exp_robot_failure_ahe_mrta_v3_r3t15_seed05,robot_failure,ahe_mrta_v3,3,15,5,31.0,0.49,0.77
exp_deadline_pressure_ahe_mrta_v3_r3t24_seed01,deadline_pressure,ahe_mrta_v3,3,24,1,43.0,0.98,1.96
exp_deadline_pressure_ahe_mrta_v3_r3t24_seed02,deadline_pressure,ahe_mrta_v3,3,24,2,41.0,0.85,1.64
exp_deadline_pressure_ahe_mrta_v3_r3t24_seed03,deadline_pressure,ahe_mrta_v3,3,24,3,37.0,0.95,2.01
exp_deadline_pressure_ahe_mrta_v3_r3t24_seed04,deadline_pressure,ahe_mrta_v3,3,24,4,33.0,0.9,2.11
exp_deadline_pressure_ahe_mrta_v3_r3t24_seed05,deadline_pressure,ahe_mrta_v3,3,24,5,38.0,0.91,2.23
exp_mixed_stress_ahe_mrta_v3_r3t24_seed01,mixed_stress,ahe_mrta_v3,3,24,1,68.0,0.5,1.5
exp_mixed_stress_ahe_mrta_v3_r3t24_seed02,mixed_stress,ahe_mrta_v3,3,24,2,63.0,0.47,0.83
exp_mixed_stress_ahe_mrta_v3_r3t24_seed03,mixed_stress,ahe_mrta_v3,3,24,3,69.0,0.53,3.31
exp_mixed_stress_ahe_mrta_v3_r3t24_seed04,mixed_stress,ahe_mrta_v3,3,24,4,73.0,0.48,1.42
exp_mixed_stress_ahe_mrta_v3_r3t24_seed05,mixed_stress,ahe_mrta_v3,3,24,5,58.0,0.47,0.9
exp_robot_failure_ahe_mrta_v3_r3t24_seed01,robot_failure,ahe_mrta_v3,3,24,1,72.0,0.49,0.96
exp_robot_failure_ahe_mrta_v3_r3t24_seed02,robot_failure,ahe_mrta_v3,3,24,2,65.0,0.52,1.45
exp_robot_failure_ahe_mrta_v3_r3t24_seed03,robot_failure,ahe_mrta_v3,3,24,3,50.0,0.49,0.98
exp_robot_failure_ahe_mrta_v3_r3t24_seed04,robot_failure,ahe_mrta_v3,3,24,4,52.0,0.53,1.16
exp_robot_failure_ahe_mrta_v3_r3t24_seed05,robot_failure,ahe_mrta_v3,3,24,5,54.0,0.49,0.89
exp_deadline_pressure_ahe_mrta_v3_r10t50_seed01,deadline_pressure,ahe_mrta_v3,10,50,1,22.0,2.84,9.4
exp_deadline_pressure_ahe_mrta_v3_r10t50_seed02,deadline_pressure,ahe_mrta_v3,10,50,2,29.0,2.78,7.09
exp_deadline_pressure_ahe_mrta_v3_r10t50_seed03,deadline_pressure,ahe_mrta_v3,10,50,3,26.0,3.6,14.81
exp_deadline_pressure_ahe_mrta_v3_r10t50_seed04,deadline_pressure,ahe_mrta_v3,10,50,4,21.0,3.92,8.62
exp_deadline_pressure_ahe_mrta_v3_r10t50_seed05,deadline_pressure,ahe_mrta_v3,10,50,5,21.0,3.64,8.12
exp_mixed_stress_ahe_mrta_v3_r10t50_seed01,mixed_stress,ahe_mrta_v3,10,50,1,25.0,2.6,21.8
exp_mixed_stress_ahe_mrta_v3_r10t50_seed02,mixed_stress,ahe_mrta_v3,10,50,2,26.0,2.55,21.76
exp_mixed_stress_ahe_mrta_v3_r10t50_seed03,mixed_stress,ahe_mrta_v3,10,50,3,19.0,3.14,22.6
exp_mixed_stress_ahe_mrta_v3_r10t50_seed04,mixed_stress,ahe_mrta_v3,10,50,4,28.0,2.41,12.13
exp_mixed_stress_ahe_mrta_v3_r10t50_seed05,mixed_stress,ahe_mrta_v3,10,50,5,23.0,2.26,13.81
exp_robot_failure_ahe_mrta_v3_r10t50_seed01,robot_failure,ahe_mrta_v3,10,50,1,25.0,1.87,4.47
exp_robot_failure_ahe_mrta_v3_r10t50_seed02,robot_failure,ahe_mrta_v3,10,50,2,25.0,1.86,3.67
exp_robot_failure_ahe_mrta_v3_r10t50_seed03,robot_failure,ahe_mrta_v3,10,50,3,25.0,1.87,6.93
exp_robot_failure_ahe_mrta_v3_r10t50_seed04,robot_failure,ahe_mrta_v3,10,50,4,27.0,1.81,3.5
exp_robot_failure_ahe_mrta_v3_r10t50_seed05,robot_failure,ahe_mrta_v3,10,50,5,19.0,2.0,4.09
,deadline_pressure,ahe_mrta_v3,5,25,1,,1.46,
,deadline_pressure,ahe_mrta_v3,5,25,2,,1.06,
,deadline_pressure,ahe_mrta_v3,5,25,3,,1.25,
,deadline_pressure,ahe_mrta_v3,5,25,4,,1.14,
,deadline_pressure,ahe_mrta_v3,5,25,5,,1.38,
,deadline_pressure,ahe_mrta_v3,5,25,6,,1.25,
,deadline_pressure,ahe_mrta_v3,5,25,7,,1.24,
,deadline_pressure,ahe_mrta_v3,5,25,8,,1.22,
,deadline_pressure,ahe_mrta_v3,5,25,9,,1.29,
,deadline_pressure,ahe_mrta_v3,5,25,10,,1.71,
,deadline_pressure,ahe_mrta_v3,5,25,11,,1.29,
,deadline_pressure,ahe_mrta_v3,5,25,12,,1.43,
,deadline_pressure,ahe_mrta_v3,5,25,13,,1.42,
,deadline_pressure,ahe_mrta_v3,5,25,14,,1.41,
,deadline_pressure,ahe_mrta_v3,5,25,15,,1.31,
,deadline_pressure,ahe_mrta_v3,5,25,16,,1.51,
,deadline_pressure,ahe_mrta_v3,5,25,17,,1.37,
,deadline_pressure,ahe_mrta_v3,5,25,18,,1.18,
,deadline_pressure,ahe_mrta_v3,5,25,19,,1.24,
,deadline_pressure,ahe_mrta_v3,5,25,20,,1.51,
,mixed_stress,ahe_mrta_v3,5,25,1,,0.9,
,mixed_stress,ahe_mrta_v3,5,25,2,,0.92,
,mixed_stress,ahe_mrta_v3,5,25,3,,0.91,
,mixed_stress,ahe_mrta_v3,5,25,4,,0.88,
,mixed_stress,ahe_mrta_v3,5,25,5,,0.87,
,mixed_stress,ahe_mrta_v3,5,25,6,,0.86,
,mixed_stress,ahe_mrta_v3,5,25,7,,0.91,
,mixed_stress,ahe_mrta_v3,5,25,8,,0.8,
,mixed_stress,ahe_mrta_v3,5,25,9,,0.91,
,mixed_stress,ahe_mrta_v3,5,25,10,,0.92,
,mixed_stress,ahe_mrta_v3,5,25,11,,0.85,
,mixed_stress,ahe_mrta_v3,5,25,12,,0.85,
,mixed_stress,ahe_mrta_v3,5,25,13,,0.8,
,mixed_stress,ahe_mrta_v3,5,25,14,,0.87,
,mixed_stress,ahe_mrta_v3,5,25,15,,0.9,
,mixed_stress,ahe_mrta_v3,5,25,16,,0.94,
,mixed_stress,ahe_mrta_v3,5,25,17,,0.95,
,mixed_stress,ahe_mrta_v3,5,25,18,,0.97,
,mixed_stress,ahe_mrta_v3,5,25,19,,0.95,
,mixed_stress,ahe_mrta_v3,5,25,20,,0.8,
,robot_failure,ahe_mrta_v3,5,25,1,,0.87,
,robot_failure,ahe_mrta_v3,5,25,2,,0.81,
,robot_failure,ahe_mrta_v3,5,25,3,,0.83,
,robot_failure,ahe_mrta_v3,5,25,4,,0.83,
,robot_failure,ahe_mrta_v3,5,25,5,,0.75,
,robot_failure,ahe_mrta_v3,5,25,6,,0.85,
,robot_failure,ahe_mrta_v3,5,25,7,,0.87,
,robot_failure,ahe_mrta_v3,5,25,8,,0.8,
,robot_failure,ahe_mrta_v3,5,25,9,,0.76,
,robot_failure,ahe_mrta_v3,5,25,10,,0.78,
,robot_failure,ahe_mrta_v3,5,25,11,,0.83,
,robot_failure,ahe_mrta_v3,5,25,12,,0.74,
,robot_failure,ahe_mrta_v3,5,25,13,,0.87,
,robot_failure,ahe_mrta_v3,5,25,14,,0.73,
,robot_failure,ahe_mrta_v3,5,25,15,,0.88,
,robot_failure,ahe_mrta_v3,5,25,16,,0.81,
,robot_failure,ahe_mrta_v3,5,25,17,,0.84,
,robot_failure,ahe_mrta_v3,5,25,18,,0.83,
,robot_failure,ahe_mrta_v3,5,25,19,,0.78,
,robot_failure,ahe_mrta_v3,5,25,20,,0.75,
