experiment_id,scenario,strategy,seed,robot_count,target_count,tasks_total,tasks_completed,tasks_failed,tasks_remaining,task_completion_rate,makespan_s,average_task_delay,average_task_delay_completed,deadline_violation_rate,deadline_violation_rate_completed,total_travel_distance,workload_balance,workload_balance_active,workload_balance_legacy_variance,travel_distance_balance,failure_recovery_time,replanning_frequency,allocation_instability,mean_decision_latency_ms,communication_messages,communication_bytes,rosbag_size_mb,source,exec_preemptions,task_redispatch,redispatch_per_task,failure_recovery_time_censored
exp_deadline_pressure_ahe_mrta_v3_r3t9_seed01,deadline_pressure,ahe_mrta_v3,1,3,9,9,9,0,0,1.0,104.0,52.71,52.71,0.4444,0.4444,49.45,1.0,1.0,1.0,0.9272,0.0,8.08,1.4,20.17,14,0,0.0,gazebo,0,0,0.0,
exp_deadline_pressure_ahe_mrta_v3_r3t9_seed02,deadline_pressure,ahe_mrta_v3,2,3,9,9,9,0,0,1.0,120.0,63.06,63.06,0.1111,0.1111,61.67,0.931,0.931,0.6,0.9696,0.0,8.0,1.6,16.61,16,0,0.0,gazebo,0,0,0.0,
exp_deadline_pressure_ahe_mrta_v3_r3t9_seed03,deadline_pressure,ahe_mrta_v3,3,3,9,9,9,0,0,1.0,134.0,53.93,53.93,0.1111,0.1111,63.5,1.0,1.0,1.0,0.9071,0.0,5.37,1.2,19.08,12,0,0.0,gazebo,0,0,0.0,
exp_deadline_pressure_ahe_mrta_v3_r3t9_seed04,deadline_pressure,ahe_mrta_v3,4,3,9,9,9,0,0,1.0,82.0,41.96,41.96,0.1111,0.1111,44.91,1.0,1.0,1.0,0.9766,0.0,8.78,1.2,21.25,12,0,0.0,gazebo,0,0,0.0,
exp_deadline_pressure_ahe_mrta_v3_r3t9_seed05,deadline_pressure,ahe_mrta_v3,5,3,9,9,9,0,0,1.0,112.0,55.01,55.01,0.2222,0.2222,55.87,1.0,1.0,1.0,0.9547,0.0,6.96,1.3,19.36,13,0,0.0,gazebo,0,0,0.0,
exp_deadline_pressure_big_mrta_r3t9_seed01,deadline_pressure,big_mrta,1,3,9,9,6,0,3,0.6667,900.0,318.8,41.2,0.3333,0.0,35.9,1.0,1.0,1.0,0.9626,0.0,12.0,25.7143,0.08,180,0,0.0,gazebo,0,0,0.0,
exp_deadline_pressure_big_mrta_r3t9_seed02,deadline_pressure,big_mrta,2,3,9,9,7,0,2,0.7778,900.0,230.29,46.37,0.2222,0.0,41.27,0.9608,0.9608,0.8182,0.9402,0.0,12.0,22.5,0.08,180,0,0.0,gazebo,0,0,0.0,
exp_deadline_pressure_big_mrta_r3t9_seed03,deadline_pressure,big_mrta,3,3,9,9,6,0,3,0.6667,900.0,316.56,37.84,0.3333,0.0,35.16,1.0,1.0,1.0,0.9485,0.0,12.0,25.7143,0.08,180,0,0.0,gazebo,0,0,0.0,
exp_deadline_pressure_big_mrta_r3t9_seed04,deadline_pressure,big_mrta,4,3,9,9,8,0,1,0.8889,900.0,124.86,31.22,0.1111,0.0,22.83,0.8889,0.8889,0.5294,0.9794,0.0,12.0,20.0,0.07,180,0,0.0,gazebo,0,0,0.0,
exp_deadline_pressure_big_mrta_r3t9_seed05,deadline_pressure,big_mrta,5,3,9,9,7,0,2,0.7778,900.0,222.72,36.65,0.2222,0.0,32.13,0.9608,0.9608,0.8182,0.8946,0.0,12.0,22.5,0.07,180,0,0.0,gazebo,0,0,0.0,
exp_deadline_pressure_consensus_dbta_r3t9_seed01,deadline_pressure,consensus_dbta,1,3,9,9,9,0,0,1.0,96.0,55.01,55.01,0.5556,0.5556,50.53,1.0,1.0,1.0,0.9571,0.0,0.62,0.1,0.34,1,0,0.0,gazebo,0,0,0.0,
exp_deadline_pressure_consensus_dbta_r3t9_seed02,deadline_pressure,consensus_dbta,2,3,9,9,9,0,0,1.0,112.0,54.17,54.17,0.1111,0.1111,53.62,1.0,1.0,1.0,0.9191,0.0,0.54,0.1,0.58,1,0,0.0,gazebo,0,0,0.0,
exp_deadline_pressure_consensus_dbta_r3t9_seed03,deadline_pressure,consensus_dbta,3,3,9,9,9,0,0,1.0,121.0,59.07,59.07,0.2222,0.2222,64.74,1.0,1.0,1.0,0.9498,0.0,0.5,0.1,0.57,1,0,0.0,gazebo,0,0,0.0,
exp_deadline_pressure_consensus_dbta_r3t9_seed04,deadline_pressure,consensus_dbta,4,3,9,9,9,0,0,1.0,100.0,36.37,36.37,0.1111,0.1111,40.13,1.0,1.0,1.0,0.7988,0.0,0.6,0.1,0.53,1,0,0.0,gazebo,0,0,0.0,
exp_deadline_pressure_consensus_dbta_r3t9_seed05,deadline_pressure,consensus_dbta,5,3,9,9,9,0,0,1.0,68.0,37.16,37.16,0.0,0.0,34.16,1.0,1.0,1.0,0.9275,0.0,0.88,0.1,0.48,1,0,0.0,gazebo,0,0,0.0,
exp_deadline_pressure_rostam_ea_r3t9_seed01,deadline_pressure,rostam_ea,1,3,9,9,9,0,0,1.0,87.0,53.41,53.41,0.3333,0.3333,47.82,1.0,1.0,1.0,0.9771,0.0,0.69,0.1,38.97,1,0,0.0,gazebo,0,0,0.0,
exp_deadline_pressure_rostam_ea_r3t9_seed02,deadline_pressure,rostam_ea,2,3,9,9,9,0,0,1.0,62.0,38.85,38.85,0.0,0.0,34.21,1.0,1.0,1.0,0.9867,0.0,0.97,0.1,39.18,1,0,0.0,gazebo,0,0,0.0,
exp_deadline_pressure_rostam_ea_r3t9_seed03,deadline_pressure,rostam_ea,3,3,9,9,9,0,0,1.0,86.0,49.3,49.3,0.2222,0.2222,52.15,1.0,1.0,1.0,0.9959,0.0,0.7,0.1,35.84,1,0,0.0,gazebo,0,0,0.0,
exp_deadline_pressure_rostam_ea_r3t9_seed04,deadline_pressure,rostam_ea,4,3,9,9,9,0,0,1.0,74.0,37.58,37.58,0.1111,0.1111,41.36,1.0,1.0,1.0,0.9695,0.0,0.81,0.1,55.81,1,0,0.0,gazebo,0,0,0.0,
exp_deadline_pressure_rostam_ea_r3t9_seed05,deadline_pressure,rostam_ea,5,3,9,9,9,0,0,1.0,90.0,48.66,48.66,0.2222,0.2222,41.68,0.931,0.931,0.6,0.8933,0.0,0.67,0.1,38.08,1,0,0.0,gazebo,0,0,0.0,
