timestamp_s,task_id,event,robot_id,strategy,scenario,seed
27.000,task_001,activated,,big_mrta,deadline_pressure,1
27.000,task_002,activated,,big_mrta,deadline_pressure,1
27.000,task_003,activated,,big_mrta,deadline_pressure,1
27.000,task_004,activated,,big_mrta,deadline_pressure,1
27.000,task_005,activated,,big_mrta,deadline_pressure,1
27.000,task_006,activated,,big_mrta,deadline_pressure,1
27.000,task_007,activated,,big_mrta,deadline_pressure,1
27.000,task_008,activated,,big_mrta,deadline_pressure,1
27.000,task_009,activated,,big_mrta,deadline_pressure,1
27.000,task_010,activated,,big_mrta,deadline_pressure,1
27.000,task_011,activated,,big_mrta,deadline_pressure,1
27.000,task_012,activated,,big_mrta,deadline_pressure,1
27.000,task_013,activated,,big_mrta,deadline_pressure,1
27.000,task_014,activated,,big_mrta,deadline_pressure,1
27.000,task_015,activated,,big_mrta,deadline_pressure,1
27.000,task_016,activated,,big_mrta,deadline_pressure,1
27.000,task_017,activated,,big_mrta,deadline_pressure,1
27.000,task_018,activated,,big_mrta,deadline_pressure,1
27.000,task_019,activated,,big_mrta,deadline_pressure,1
27.000,task_020,activated,,big_mrta,deadline_pressure,1
27.000,task_021,activated,,big_mrta,deadline_pressure,1
27.000,task_022,activated,,big_mrta,deadline_pressure,1
27.000,task_023,activated,,big_mrta,deadline_pressure,1
27.000,task_024,activated,,big_mrta,deadline_pressure,1
27.000,task_025,activated,,big_mrta,deadline_pressure,1
30.000,task_011,assigned,robot_1,big_mrta,deadline_pressure,1
30.000,task_014,assigned,robot_1,big_mrta,deadline_pressure,1
30.000,task_018,assigned,robot_1,big_mrta,deadline_pressure,1
30.000,task_025,assigned,robot_2,big_mrta,deadline_pressure,1
30.000,task_009,assigned,robot_2,big_mrta,deadline_pressure,1
30.000,task_024,assigned,robot_2,big_mrta,deadline_pressure,1
30.000,task_016,assigned,robot_3,big_mrta,deadline_pressure,1
30.000,task_012,assigned,robot_3,big_mrta,deadline_pressure,1
30.000,task_019,assigned,robot_3,big_mrta,deadline_pressure,1
30.000,task_022,assigned,robot_4,big_mrta,deadline_pressure,1
30.000,task_017,assigned,robot_4,big_mrta,deadline_pressure,1
30.000,task_003,assigned,robot_4,big_mrta,deadline_pressure,1
30.000,task_006,assigned,robot_5,big_mrta,deadline_pressure,1
30.000,task_023,assigned,robot_5,big_mrta,deadline_pressure,1
30.000,task_020,assigned,robot_5,big_mrta,deadline_pressure,1
41.483,task_025,completed,robot_2,big_mrta,deadline_pressure,1
45.322,task_022,completed,robot_4,big_mrta,deadline_pressure,1
52.165,task_009,completed,robot_2,big_mrta,deadline_pressure,1
55.000,task_005,assigned,robot_2,big_mrta,deadline_pressure,1
56.245,task_011,completed,robot_1,big_mrta,deadline_pressure,1
60.725,task_016,completed,robot_3,big_mrta,deadline_pressure,1
68.380,task_006,completed,robot_5,big_mrta,deadline_pressure,1
69.329,task_017,completed,robot_4,big_mrta,deadline_pressure,1
71.936,task_019,completed,robot_3,big_mrta,deadline_pressure,1
72.671,task_014,completed,robot_1,big_mrta,deadline_pressure,1
77.450,task_003,completed,robot_4,big_mrta,deadline_pressure,1
81.071,task_012,completed,robot_3,big_mrta,deadline_pressure,1
96.752,task_024,completed,robot_2,big_mrta,deadline_pressure,1
103.524,task_020,completed,robot_5,big_mrta,deadline_pressure,1
108.628,task_018,completed,robot_1,big_mrta,deadline_pressure,1
127.328,task_005,completed,robot_2,big_mrta,deadline_pressure,1
140.371,task_023,completed,robot_5,big_mrta,deadline_pressure,1
