task_id,x,y,priority,strategy,scenario,seed
task_001,-6.000,-4.000,2,big_mrta,deadline_pressure,8
task_002,-4.000,-6.000,1,big_mrta,deadline_pressure,8
task_003,-5.000,0.000,3,big_mrta,deadline_pressure,8
task_004,5.000,2.000,2,big_mrta,deadline_pressure,8
task_005,6.000,6.000,3,big_mrta,deadline_pressure,8
task_006,1.000,6.000,1,big_mrta,deadline_pressure,8
task_007,2.000,7.000,3,big_mrta,deadline_pressure,8
task_008,-3.000,-2.000,2,big_mrta,deadline_pressure,8
task_009,4.000,6.000,1,big_mrta,deadline_pressure,8
task_010,6.000,7.000,3,big_mrta,deadline_pressure,8
task_011,-2.000,7.000,1,big_mrta,deadline_pressure,8
task_012,2.000,-4.000,2,big_mrta,deadline_pressure,8
task_013,-6.000,1.500,1,big_mrta,deadline_pressure,8
task_014,-6.000,-1.500,1,big_mrta,deadline_pressure,8
task_015,6.000,-1.500,3,big_mrta,deadline_pressure,8
task_016,-6.000,-6.000,3,big_mrta,deadline_pressure,8
task_017,5.000,-2.000,2,big_mrta,deadline_pressure,8
task_018,-1.000,6.000,2,big_mrta,deadline_pressure,8
task_019,6.000,-6.000,1,big_mrta,deadline_pressure,8
task_020,-1.000,-6.000,2,big_mrta,deadline_pressure,8
task_021,4.000,-6.000,3,big_mrta,deadline_pressure,8
task_022,-4.000,6.000,2,big_mrta,deadline_pressure,8
task_023,6.000,1.500,1,big_mrta,deadline_pressure,8
task_024,0.000,-2.000,3,big_mrta,deadline_pressure,8
task_025,-2.000,-4.000,1,big_mrta,deadline_pressure,8
