timestamp_s,robot_id,x,y,battery_state,nav_state,avail_state,current_task_id,failure_flag
30.000,robot_1,0.000,-0.000,0,0,0,,0
30.000,robot_2,0.000,-0.000,0,0,0,,0
30.000,robot_3,0.000,-0.000,0,0,0,,0
30.000,robot_4,0.000,-0.000,0,0,0,,0
30.000,robot_5,0.000,-0.000,0,0,0,,0
32.000,robot_1,0.329,0.009,0,1,0,task_017,0
32.000,robot_2,0.111,0.080,0,1,0,task_004,0
32.000,robot_3,0.000,-0.000,0,1,0,task_018,0
32.000,robot_4,0.327,-0.014,0,1,0,task_019,0
32.000,robot_5,0.329,-0.004,0,1,0,task_012,0
34.000,robot_1,0.835,0.067,0,1,0,task_017,0
34.000,robot_2,0.405,0.489,0,1,0,task_004,0
34.000,robot_3,-0.346,0.105,0,1,0,task_018,0
34.000,robot_4,0.845,-0.075,0,1,0,task_019,0
34.000,robot_5,0.850,-0.022,0,1,0,task_012,0
36.000,robot_1,1.332,0.223,0,1,0,task_017,0
36.000,robot_2,0.658,0.945,0,1,0,task_004,0
36.000,robot_3,-0.741,0.088,0,1,0,task_018,0
36.000,robot_4,1.361,-0.152,0,1,0,task_019,0
36.000,robot_5,1.371,-0.055,0,1,0,task_012,0
38.000,robot_1,1.837,0.310,0,1,0,task_017,0
38.000,robot_2,0.907,1.393,0,1,0,task_004,0
38.000,robot_3,-0.781,0.078,0,1,0,,0
38.000,robot_4,1.869,-0.218,0,1,0,task_019,0
38.000,robot_5,1.877,-0.133,0,1,0,task_012,0
40.000,robot_1,2.356,0.367,0,1,0,task_017,0
40.000,robot_2,1.163,1.848,0,1,0,task_004,0
40.000,robot_3,-0.808,0.035,0,1,0,task_005,0
40.000,robot_4,2.384,-0.301,0,1,0,task_019,0
40.000,robot_5,2.376,-0.282,0,1,0,task_012,0
42.000,robot_1,2.836,0.560,0,1,0,task_017,0
42.000,robot_2,1.419,2.302,0,1,0,task_004,0
42.000,robot_3,-1.172,-0.288,0,1,0,task_005,0
42.000,robot_4,2.894,-0.411,0,1,0,task_019,0
42.000,robot_5,2.810,-0.555,0,1,0,task_012,0
44.000,robot_1,3.209,0.922,0,1,0,task_017,0
44.000,robot_2,1.668,2.761,0,1,0,task_004,0
44.000,robot_3,-1.618,-0.559,0,1,0,task_005,0
44.000,robot_4,3.401,-0.533,0,1,0,task_019,0
44.000,robot_5,3.009,-0.953,0,1,0,task_012,0
46.000,robot_1,3.516,1.343,0,1,0,task_017,0
46.000,robot_2,1.929,3.212,0,1,0,task_004,0
46.000,robot_3,-2.069,-0.820,0,1,0,task_005,0
46.000,robot_4,3.908,-0.655,0,1,0,task_019,0
46.000,robot_5,2.949,-1.418,0,1,0,task_012,0
48.000,robot_1,3.786,1.720,0,1,0,task_017,0
48.000,robot_2,2.199,3.659,0,1,0,task_004,0
48.000,robot_3,-2.524,-1.075,0,1,0,task_005,0
48.000,robot_4,4.415,-0.774,0,1,0,task_019,0
48.000,robot_5,2.664,-1.853,0,1,0,task_012,0
50.000,robot_1,3.852,1.809,0,1,0,task_002,0
50.000,robot_2,2.563,4.190,0,1,0,task_004,0
50.000,robot_3,-3.088,-1.389,0,1,0,task_005,0
50.000,robot_4,5.055,-0.855,0,1,0,task_019,0
50.000,robot_5,2.245,-2.344,0,1,0,task_012,0
52.000,robot_1,3.961,1.470,0,1,0,task_002,0
52.000,robot_2,2.799,4.500,0,1,0,task_004,0
52.000,robot_3,-3.425,-1.584,0,1,0,task_005,0
52.000,robot_4,5.439,-0.916,0,1,0,task_019,0
52.000,robot_5,1.986,-2.634,0,1,0,task_012,0
54.000,robot_1,3.991,0.817,0,1,0,task_002,0
54.000,robot_2,3.016,5.109,0,1,0,task_004,0
54.000,robot_3,-3.988,-1.917,0,1,0,task_005,0
54.000,robot_4,5.944,-1.047,0,1,0,task_019,0
54.000,robot_5,1.552,-3.124,0,1,0,task_012,0
56.000,robot_1,3.997,0.428,0,1,0,task_002,0
56.000,robot_2,3.009,5.498,0,1,0,task_004,0
56.000,robot_3,-4.318,-2.123,0,1,0,task_005,0
56.000,robot_4,6.445,-1.192,0,1,0,task_019,0
56.000,robot_5,1.292,-3.413,0,1,0,task_012,0
58.000,robot_1,4.001,-0.094,0,1,0,task_002,0
58.000,robot_2,2.935,6.014,0,1,0,task_004,0
58.000,robot_3,-4.733,-2.436,0,1,0,task_005,0
58.000,robot_4,6.946,-1.337,0,1,0,task_019,0
58.000,robot_5,0.944,-3.801,0,1,0,task_012,0
60.000,robot_1,4.001,-0.607,0,1,0,task_002,0
60.000,robot_2,2.841,6.518,0,1,0,task_004,0
60.000,robot_3,-4.991,-2.873,0,1,0,task_005,0
60.000,robot_4,7.439,-1.477,0,1,0,task_019,0
60.000,robot_5,0.601,-4.183,0,1,0,task_012,0
62.000,robot_1,4.000,-1.128,0,1,0,task_002,0
62.000,robot_2,2.728,7.027,0,1,0,task_004,0
62.000,robot_3,-5.007,-3.390,0,1,0,task_005,0
62.000,robot_4,7.941,-1.621,0,1,0,task_019,0
62.000,robot_5,0.259,-4.577,0,1,0,task_012,0
64.000,robot_1,4.000,-1.612,0,1,0,task_002,0
64.000,robot_2,2.602,7.533,0,1,0,task_004,0
64.000,robot_3,-4.860,-3.889,0,1,0,task_005,0
64.000,robot_4,8.438,-1.777,0,1,0,task_019,0
64.000,robot_5,-0.083,-4.970,0,1,0,task_012,0
66.000,robot_1,4.000,-1.762,0,1,0,,0
66.000,robot_2,2.447,8.031,0,1,0,task_004,0
66.000,robot_3,-4.675,-4.377,0,1,0,task_005,0
66.000,robot_4,8.777,-1.902,0,1,0,,0
66.000,robot_5,-0.429,-5.361,0,1,0,task_012,0
68.000,robot_1,4.038,-1.588,0,1,0,task_014,0
68.000,robot_2,2.259,8.516,0,1,0,task_004,0
68.000,robot_3,-4.474,-4.858,0,1,0,task_005,0
68.000,robot_4,8.959,-1.820,0,1,0,task_003,0
68.000,robot_5,-0.745,-5.720,0,1,0,task_012,0
70.001,robot_1,3.982,-1.080,0,1,0,task_014,0
70.001,robot_2,2.119,8.799,0,1,0,task_004,0
70.001,robot_3,-4.274,-5.340,0,1,0,task_005,0
70.001,robot_4,9.327,-1.454,0,1,0,task_003,0
70.001,robot_5,-0.842,-5.828,0,1,0,,0
72.000,robot_1,3.802,-0.461,0,1,0,task_014,0
72.000,robot_2,2.132,8.791,0,1,0,task_013,0
72.000,robot_3,-3.935,-5.843,0,1,0,task_005,0
72.000,robot_4,9.623,-1.036,0,1,0,task_003,0
72.000,robot_5,-0.847,-5.795,0,1,0,task_021,0
74.000,robot_1,3.625,0.030,0,1,0,task_014,0
74.000,robot_2,2.470,8.437,0,1,0,task_013,0
74.000,robot_3,-3.501,-6.009,0,1,0,task_005,0
74.000,robot_4,9.861,-0.692,0,1,0,task_003,0
74.000,robot_5,-1.050,-5.409,0,1,0,task_021,0
76.000,robot_1,3.478,0.390,0,1,0,task_014,0
76.000,robot_2,2.751,7.998,0,1,0,task_013,0
76.000,robot_3,-3.215,-5.968,0,1,0,task_005,0
76.000,robot_4,9.861,-0.692,0,1,0,task_022,0
76.000,robot_5,-1.400,-5.023,0,1,0,task_021,0
78.000,robot_1,3.258,0.862,0,1,0,task_014,0
78.000,robot_2,3.024,7.553,0,1,0,task_013,0
78.000,robot_3,-2.856,-5.683,0,1,0,task_005,0
78.000,robot_4,9.674,-0.413,0,1,0,task_022,0
78.000,robot_5,-1.756,-4.641,0,1,0,task_021,0
80.000,robot_1,2.977,1.300,0,1,0,task_014,0
80.000,robot_2,3.297,7.109,0,1,0,task_013,0
80.000,robot_3,-2.613,-5.223,0,1,0,task_005,0
80.000,robot_4,9.305,-0.147,0,1,0,task_022,0
80.000,robot_5,-2.117,-4.264,0,1,0,task_021,0
82.000,robot_1,2.550,1.593,0,1,0,task_014,0
82.000,robot_2,3.576,6.668,0,1,0,task_013,0
82.000,robot_3,-2.402,-4.746,0,1,0,task_005,0
82.000,robot_4,9.219,-0.100,0,1,0,,0
82.000,robot_5,-2.471,-3.882,0,1,0,task_021,0
84.000,robot_1,1.927,1.750,0,1,0,task_014,0
84.000,robot_2,3.931,6.129,0,1,0,task_013,0
84.000,robot_3,-2.155,-4.256,0,1,0,task_005,0
84.000,robot_4,9.149,-0.023,0,1,0,task_023,0
84.000,robot_5,-2.919,-3.418,0,1,0,task_021,0
86.000,robot_1,1.546,1.827,0,1,0,task_014,0
86.000,robot_2,4.149,5.807,0,1,0,task_013,0
86.000,robot_3,-2.129,-4.210,0,1,0,task_015,0
86.000,robot_4,8.900,0.126,0,1,0,task_023,0
86.000,robot_5,-3.193,-3.141,0,1,0,task_021,0
