task_id,x,y,priority,strategy,scenario,seed
task_001,-6.000,6.000,1,rostam_ea,deadline_pressure,15
task_002,6.000,7.000,1,rostam_ea,deadline_pressure,15
task_003,-4.000,-6.000,3,rostam_ea,deadline_pressure,15
task_004,1.000,-6.000,2,rostam_ea,deadline_pressure,15
task_005,2.000,-4.000,3,rostam_ea,deadline_pressure,15
task_006,6.000,-6.000,2,rostam_ea,deadline_pressure,15
task_007,-6.000,1.500,2,rostam_ea,deadline_pressure,15
task_008,0.000,-7.000,3,rostam_ea,deadline_pressure,15
task_009,5.000,2.000,2,rostam_ea,deadline_pressure,15
task_010,-1.000,-6.000,2,rostam_ea,deadline_pressure,15
task_011,-6.000,-4.000,3,rostam_ea,deadline_pressure,15
task_012,-5.000,0.000,2,rostam_ea,deadline_pressure,15
task_013,0.000,-2.000,1,rostam_ea,deadline_pressure,15
task_014,6.000,1.500,1,rostam_ea,deadline_pressure,15
task_015,3.000,-2.000,3,rostam_ea,deadline_pressure,15
task_016,6.000,-4.000,3,rostam_ea,deadline_pressure,15
task_017,5.000,0.000,1,rostam_ea,deadline_pressure,15
task_018,5.000,-2.000,1,rostam_ea,deadline_pressure,15
task_019,-6.000,-1.500,3,rostam_ea,deadline_pressure,15
task_020,-4.000,6.000,2,rostam_ea,deadline_pressure,15
task_021,-2.000,-4.000,3,rostam_ea,deadline_pressure,15
task_022,-3.000,-2.000,1,rostam_ea,deadline_pressure,15
task_023,-5.000,-2.000,3,rostam_ea,deadline_pressure,15
task_024,-5.000,2.000,2,rostam_ea,deadline_pressure,15
task_025,0.000,6.000,2,rostam_ea,deadline_pressure,15
