timestamp_s,robot_id,x,y,battery_state,nav_state,avail_state,current_task_id,failure_flag
28.000,robot_1,0.000,-0.000,0,0,0,,0
28.000,robot_2,0.000,-0.000,0,0,0,,0
28.000,robot_3,0.000,-0.000,0,0,0,,0
28.000,robot_4,0.000,-0.000,0,0,0,,0
28.000,robot_5,0.000,-0.000,0,0,0,,0
30.000,robot_1,0.000,-0.000,0,0,0,,0
30.000,robot_2,0.000,-0.000,0,0,0,,0
30.000,robot_3,0.000,-0.000,0,0,0,,0
30.000,robot_4,0.000,-0.000,0,0,0,,0
30.000,robot_5,0.000,-0.000,0,0,0,,0
32.000,robot_1,0.330,0.000,0,1,0,task_008,0
32.000,robot_2,0.330,0.000,0,1,0,task_006,0
32.000,robot_3,0.093,-0.089,0,1,0,task_002,0
32.000,robot_4,0.297,-0.055,0,1,0,task_003,0
32.000,robot_5,0.329,-0.004,0,1,0,task_001,0
34.000,robot_1,0.852,0.000,0,1,0,task_008,0
34.000,robot_2,0.852,0.000,0,1,0,task_006,0
34.000,robot_3,0.330,-0.535,0,1,0,task_002,0
34.000,robot_4,0.781,-0.250,0,1,0,task_003,0
34.000,robot_5,0.850,-0.021,0,1,0,task_001,0
36.000,robot_1,1.373,0.000,0,1,0,task_008,0
36.000,robot_2,1.373,0.000,0,1,0,task_006,0
36.000,robot_3,0.514,-1.023,0,1,0,task_002,0
36.000,robot_4,1.252,-0.472,0,1,0,task_003,0
36.000,robot_5,1.370,-0.055,0,1,0,task_001,0
38.000,robot_1,1.743,0.000,0,1,0,,0
38.000,robot_2,1.886,0.000,0,1,0,task_006,0
38.000,robot_3,0.717,-1.494,0,1,0,task_002,0
38.000,robot_4,1.716,-0.691,0,1,0,task_003,0
38.000,robot_5,1.877,-0.132,0,1,0,task_001,0
40.001,robot_1,1.728,-0.161,0,1,0,task_007,0
40.001,robot_2,2.408,0.000,0,1,0,task_006,0
40.001,robot_3,0.877,-1.800,0,1,0,task_002,0
40.001,robot_4,2.312,-0.961,0,1,0,task_003,0
40.001,robot_5,2.498,-0.332,0,1,0,task_001,0
42.000,robot_1,1.524,-0.467,0,1,0,task_007,0
42.000,robot_2,2.929,0.000,0,1,0,task_006,0
42.000,robot_3,0.877,-1.800,0,0,0,,0
42.000,robot_4,2.665,-1.124,0,1,0,task_003,0
42.000,robot_5,2.807,-0.549,0,1,0,task_001,0
44.000,robot_1,1.147,-0.826,0,1,0,task_007,0
44.000,robot_2,3.451,0.000,0,1,0,task_006,0
44.000,robot_3,0.877,-1.800,0,0,0,,0
44.000,robot_4,3.144,-1.329,0,1,0,task_003,0
44.000,robot_5,3.031,-0.992,0,1,0,task_001,0
46.000,robot_1,0.765,-1.182,0,1,0,task_007,0
46.000,robot_2,3.761,0.000,0,1,0,task_005,0
46.000,robot_3,0.877,-1.800,0,0,0,,0
46.000,robot_4,3.636,-1.503,0,1,0,task_003,0
46.000,robot_5,3.112,-1.507,0,1,0,task_001,0
48.000,robot_1,0.406,-1.560,0,1,0,task_007,0
48.000,robot_2,3.867,0.246,0,1,0,task_005,0
48.000,robot_3,0.877,-1.800,0,0,0,,0
48.000,robot_4,4.136,-1.653,0,1,0,task_003,0
48.000,robot_5,3.165,-2.026,0,1,0,task_001,0
50.000,robot_1,0.165,-1.820,0,1,0,task_007,0
50.000,robot_2,3.936,0.754,0,1,0,task_005,0
50.000,robot_3,0.877,-1.800,0,0,0,,0
50.000,robot_4,4.629,-1.793,0,1,0,task_003,0
50.000,robot_5,3.212,-2.536,0,1,0,task_001,0
52.000,robot_1,0.160,-1.826,0,0,0,,0
52.000,robot_2,3.967,1.274,0,1,0,task_005,0
52.000,robot_3,0.877,-1.800,0,0,0,,0
52.000,robot_4,5.128,-1.945,0,1,0,task_003,0
52.000,robot_5,3.268,-3.055,0,1,0,task_001,0
54.000,robot_1,0.160,-1.826,0,0,0,,0
54.000,robot_2,3.990,1.795,0,1,0,task_005,0
54.000,robot_3,0.877,-1.800,0,0,0,,0
54.000,robot_4,5.628,-2.092,0,1,0,task_003,0
54.000,robot_5,3.350,-3.704,0,1,0,task_001,0
56.000,robot_1,0.160,-1.826,0,0,0,,0
56.000,robot_2,4.023,2.316,0,1,0,task_005,0
56.000,robot_3,0.877,-1.800,0,0,0,,0
