timestamp_s,event_type,robot_id,task_id,strategy,latency_ms
30.000,allocation_run,,,consensus_dbta,0.77
60.000,allocation_run,,,consensus_dbta,0.32
77.000,robot_failure,robot_2,,consensus_dbta,0.00
80.000,allocation_run,,,consensus_dbta,0.21
90.000,allocation_run,,,consensus_dbta,0.40
125.000,allocation_run,,,consensus_dbta,0.15
170.000,allocation_run,,,consensus_dbta,0.16
215.000,allocation_run,,,consensus_dbta,0.07
265.000,allocation_run,,,consensus_dbta,0.11
310.000,allocation_run,,,consensus_dbta,0.05
355.000,allocation_run,,,consensus_dbta,0.10
400.000,allocation_run,,,consensus_dbta,0.03
450.001,allocation_run,,,consensus_dbta,0.07
495.000,allocation_run,,,consensus_dbta,0.08
540.000,allocation_run,,,consensus_dbta,0.10
585.000,allocation_run,,,consensus_dbta,0.10
660.000,allocation_run,,,consensus_dbta,0.09
710.000,allocation_run,,,consensus_dbta,0.12
755.000,allocation_run,,,consensus_dbta,0.07
800.000,allocation_run,,,consensus_dbta,0.06
845.000,allocation_run,,,consensus_dbta,0.09
895.000,allocation_run,,,consensus_dbta,0.09
