timestamp_s,task_id,event,robot_id,strategy,scenario,seed
28.000,task_001,activated,,consensus_dbta,mixed_stress,18
28.000,task_002,activated,,consensus_dbta,mixed_stress,18
28.000,task_003,activated,,consensus_dbta,mixed_stress,18
28.000,task_004,activated,,consensus_dbta,mixed_stress,18
28.000,task_005,activated,,consensus_dbta,mixed_stress,18
28.000,task_006,activated,,consensus_dbta,mixed_stress,18
28.000,task_007,activated,,consensus_dbta,mixed_stress,18
28.000,task_008,activated,,consensus_dbta,mixed_stress,18
30.000,task_008,assigned,robot_1,consensus_dbta,mixed_stress,18
30.000,task_004,assigned,robot_1,consensus_dbta,mixed_stress,18
30.000,task_006,assigned,robot_1,consensus_dbta,mixed_stress,18
30.000,task_001,assigned,robot_2,consensus_dbta,mixed_stress,18
30.000,task_005,assigned,robot_3,consensus_dbta,mixed_stress,18
30.000,task_007,assigned,robot_3,consensus_dbta,mixed_stress,18
30.000,task_002,assigned,robot_4,consensus_dbta,mixed_stress,18
30.000,task_003,assigned,robot_5,consensus_dbta,mixed_stress,18
57.568,task_001,completed,robot_2,consensus_dbta,mixed_stress,18
58.000,task_009,activated,,consensus_dbta,mixed_stress,18
58.000,task_010,activated,,consensus_dbta,mixed_stress,18
58.000,task_011,activated,,consensus_dbta,mixed_stress,18
58.000,task_012,activated,,consensus_dbta,mixed_stress,18
58.000,task_013,activated,,consensus_dbta,mixed_stress,18
58.000,task_014,activated,,consensus_dbta,mixed_stress,18
58.000,task_015,activated,,consensus_dbta,mixed_stress,18
58.000,task_016,activated,,consensus_dbta,mixed_stress,18
60.000,task_013,assigned,robot_2,consensus_dbta,mixed_stress,18
60.000,task_010,assigned,robot_2,consensus_dbta,mixed_stress,18
60.000,task_012,assigned,robot_2,consensus_dbta,mixed_stress,18
60.000,task_011,assigned,robot_3,consensus_dbta,mixed_stress,18
60.000,task_014,assigned,robot_4,consensus_dbta,mixed_stress,18
60.000,task_015,assigned,robot_4,consensus_dbta,mixed_stress,18
60.000,task_016,assigned,robot_5,consensus_dbta,mixed_stress,18
60.000,task_009,assigned,robot_5,consensus_dbta,mixed_stress,18
65.790,task_008,completed,robot_1,consensus_dbta,mixed_stress,18
66.145,task_002,completed,robot_4,consensus_dbta,mixed_stress,18
70.000,task_013,assigned,robot_1,consensus_dbta,mixed_stress,18
70.000,task_010,assigned,robot_4,consensus_dbta,mixed_stress,18
70.000,task_012,assigned,robot_4,consensus_dbta,mixed_stress,18
70.355,task_003,completed,robot_5,consensus_dbta,mixed_stress,18
79.026,task_005,completed,robot_3,consensus_dbta,mixed_stress,18
88.000,task_017,activated,,consensus_dbta,mixed_stress,18
88.000,task_018,activated,,consensus_dbta,mixed_stress,18
88.000,task_019,activated,,consensus_dbta,mixed_stress,18
88.000,task_020,activated,,consensus_dbta,mixed_stress,18
88.000,task_021,activated,,consensus_dbta,mixed_stress,18
88.000,task_022,activated,,consensus_dbta,mixed_stress,18
88.000,task_023,activated,,consensus_dbta,mixed_stress,18
88.000,task_024,activated,,consensus_dbta,mixed_stress,18
88.000,task_025,activated,,consensus_dbta,mixed_stress,18
89.126,task_013,completed,robot_2,consensus_dbta,mixed_stress,18
89.881,task_014,completed,robot_4,consensus_dbta,mixed_stress,18
90.000,task_022,assigned,robot_1,consensus_dbta,mixed_stress,18
90.000,task_025,assigned,robot_1,consensus_dbta,mixed_stress,18
90.000,task_017,assigned,robot_3,consensus_dbta,mixed_stress,18
90.000,task_018,assigned,robot_3,consensus_dbta,mixed_stress,18
90.000,task_021,assigned,robot_3,consensus_dbta,mixed_stress,18
90.000,task_020,assigned,robot_4,consensus_dbta,mixed_stress,18
90.000,task_019,assigned,robot_5,consensus_dbta,mixed_stress,18
90.000,task_024,assigned,robot_5,consensus_dbta,mixed_stress,18
90.000,task_023,assigned,robot_5,consensus_dbta,mixed_stress,18
91.241,task_006,completed,robot_1,consensus_dbta,mixed_stress,18
102.480,task_004,completed,robot_1,consensus_dbta,mixed_stress,18
110.971,task_010,completed,robot_4,consensus_dbta,mixed_stress,18
118.773,task_016,completed,robot_5,consensus_dbta,mixed_stress,18
126.256,task_011,completed,robot_3,consensus_dbta,mixed_stress,18
137.862,task_020,completed,robot_4,consensus_dbta,mixed_stress,18
139.041,task_022,completed,robot_1,consensus_dbta,mixed_stress,18
154.074,task_017,completed,robot_3,consensus_dbta,mixed_stress,18
155.225,task_025,completed,robot_1,consensus_dbta,mixed_stress,18
165.492,task_019,completed,robot_5,consensus_dbta,mixed_stress,18
177.270,task_018,completed,robot_3,consensus_dbta,mixed_stress,18
191.665,task_015,completed,robot_4,consensus_dbta,mixed_stress,18
204.346,task_024,completed,robot_5,consensus_dbta,mixed_stress,18
213.536,task_023,completed,robot_5,consensus_dbta,mixed_stress,18
224.239,task_021,completed,robot_3,consensus_dbta,mixed_stress,18
224.625,task_009,completed,robot_5,consensus_dbta,mixed_stress,18
230.111,task_007,completed,robot_3,consensus_dbta,mixed_stress,18
232.270,task_012,completed,robot_4,consensus_dbta,mixed_stress,18
