task_id,x,y,priority,strategy,scenario,seed
task_001,-3.000,-2.000,3,consensus_dbta,mixed_stress,20
task_002,0.000,6.000,1,consensus_dbta,mixed_stress,20
task_003,-6.000,6.000,1,consensus_dbta,mixed_stress,20
task_004,-6.000,-4.000,1,consensus_dbta,mixed_stress,20
task_005,6.000,-6.000,1,consensus_dbta,mixed_stress,20
task_006,-1.000,6.000,3,consensus_dbta,mixed_stress,20
task_007,6.000,6.000,2,consensus_dbta,mixed_stress,20
task_008,-6.000,1.500,2,consensus_dbta,mixed_stress,20
task_009,6.000,-4.000,2,consensus_dbta,mixed_stress,20
task_010,-6.000,7.000,1,consensus_dbta,mixed_stress,20
task_011,-5.000,2.000,1,consensus_dbta,mixed_stress,20
task_012,0.000,-7.000,2,consensus_dbta,mixed_stress,20
task_013,-2.000,-4.000,1,consensus_dbta,mixed_stress,20
task_014,-4.000,-6.000,1,consensus_dbta,mixed_stress,20
task_015,6.000,-1.500,1,consensus_dbta,mixed_stress,20
task_016,3.000,-2.000,3,consensus_dbta,mixed_stress,20
task_017,0.000,7.000,3,consensus_dbta,mixed_stress,20
task_018,-5.000,-2.000,1,consensus_dbta,mixed_stress,20
task_019,-5.000,0.000,2,consensus_dbta,mixed_stress,20
task_020,-6.000,-1.500,3,consensus_dbta,mixed_stress,20
task_021,1.000,-6.000,3,consensus_dbta,mixed_stress,20
task_022,5.000,-2.000,3,consensus_dbta,mixed_stress,20
task_023,4.000,0.000,1,consensus_dbta,mixed_stress,20
task_024,4.000,-6.000,1,consensus_dbta,mixed_stress,20
task_025,-3.000,2.000,3,consensus_dbta,mixed_stress,20
