timestamp_s,robot_id,x,y,battery_state,nav_state,avail_state,current_task_id,failure_flag
30.000,robot_1,0.000,-0.000,0,0,0,,0
30.000,robot_2,0.000,-0.000,0,0,0,,0
30.000,robot_3,0.000,-0.000,0,0,0,,0
30.000,robot_4,0.000,-0.000,0,0,0,,0
30.000,robot_5,0.000,-0.000,0,0,0,,0
32.000,robot_1,0.329,0.009,0,1,0,task_003,0
32.000,robot_2,0.009,0.048,0,1,0,task_004,0
32.000,robot_3,0.234,0.048,0,1,0,task_002,0
32.000,robot_4,0.329,0.009,0,1,0,task_006,0
32.000,robot_5,0.329,-0.003,0,1,0,task_008,0
34.000,robot_1,0.835,0.069,0,1,0,task_003,0
34.000,robot_2,-0.067,0.476,0,1,0,task_004,0
34.000,robot_3,0.685,0.307,0,1,0,task_002,0
34.000,robot_4,0.835,0.069,0,1,0,task_006,0
34.000,robot_5,0.851,-0.020,0,1,0,task_008,0
36.000,robot_1,1.332,0.226,0,1,0,task_003,0
36.000,robot_2,-0.301,0.941,0,1,0,task_004,0
36.000,robot_3,1.106,0.615,0,1,0,task_002,0
36.000,robot_4,1.333,0.226,0,1,0,task_006,0
36.000,robot_5,1.371,-0.051,0,1,0,task_008,0
38.000,robot_1,1.837,0.310,0,1,0,task_003,0
38.000,robot_2,-0.557,1.386,0,1,0,task_004,0
38.000,robot_3,1.520,0.917,0,1,0,task_002,0
38.000,robot_4,1.838,0.311,0,1,0,task_006,0
38.000,robot_5,1.879,-0.119,0,1,0,task_008,0
40.000,robot_1,2.484,0.400,0,1,0,task_003,0
40.000,robot_2,-0.902,1.941,0,1,0,task_004,0
40.000,robot_3,2.049,1.303,0,1,0,task_002,0
40.000,robot_4,2.485,0.399,0,1,0,task_006,0
40.000,robot_5,2.381,-0.260,0,1,0,task_008,0
42.000,robot_1,2.793,0.567,0,1,0,task_003,0
42.000,robot_2,-1.114,2.268,0,1,0,task_004,0
42.000,robot_3,2.362,1.533,0,1,0,task_002,0
42.000,robot_4,2.785,0.559,0,1,0,task_006,0
42.000,robot_5,2.867,-0.448,0,1,0,task_008,0
44.000,robot_1,3.019,0.942,0,1,0,task_003,0
44.000,robot_2,-1.403,2.702,0,1,0,task_004,0
44.000,robot_3,2.887,1.924,0,1,0,task_002,0
44.000,robot_4,3.064,1.088,0,1,0,task_006,0
44.000,robot_5,3.462,-0.720,0,1,0,task_008,0
46.000,robot_1,3.080,1.458,0,1,0,task_003,0
46.000,robot_2,-1.758,3.194,0,1,0,task_004,0
46.000,robot_3,3.296,2.233,0,1,0,task_002,0
46.000,robot_4,3.147,1.594,0,1,0,task_006,0
46.000,robot_5,3.928,-0.935,0,1,0,task_008,0
48.000,robot_1,3.094,1.980,0,1,0,task_003,0
48.000,robot_2,-1.851,3.315,0,1,0,task_004,0
48.000,robot_3,3.614,2.472,0,1,0,task_002,0
48.000,robot_4,3.195,1.989,0,1,0,task_006,0
48.000,robot_5,4.289,-1.101,0,1,0,task_008,0
50.000,robot_1,3.100,2.492,0,1,0,task_003,0
50.000,robot_2,-1.851,3.315,0,0,0,,0
50.000,robot_3,4.027,2.775,0,1,0,task_002,0
50.000,robot_4,3.263,2.497,0,1,0,task_006,0
50.000,robot_5,4.754,-1.316,0,1,0,task_008,0
52.000,robot_1,3.101,3.014,0,1,0,task_003,0
52.000,robot_2,-1.851,3.315,0,0,0,,0
52.000,robot_3,4.451,3.080,0,1,0,task_002,0
52.000,robot_4,3.351,3.011,0,1,0,task_006,0
52.000,robot_5,5.231,-1.527,0,1,0,task_008,0
54.000,robot_1,3.100,3.535,0,1,0,task_003,0
54.000,robot_2,-1.851,3.315,0,0,0,,0
54.000,robot_3,4.873,3.386,0,1,0,task_002,0
54.000,robot_4,3.457,3.522,0,1,0,task_006,0
54.000,robot_5,5.737,-1.649,0,1,0,task_008,0
56.000,robot_1,3.100,4.057,0,1,0,task_003,0
56.000,robot_2,-1.851,3.315,0,0,0,,0
56.000,robot_3,5.301,3.683,0,1,0,task_002,0
56.000,robot_4,3.596,4.024,0,1,0,task_006,0
56.000,robot_5,6.253,-1.729,0,1,0,task_008,0
58.000,robot_1,3.099,4.579,0,1,0,task_003,0
58.000,robot_2,-1.851,3.315,0,0,0,,0
58.000,robot_3,5.738,3.968,0,1,0,task_002,0
58.000,robot_4,3.765,4.516,0,1,0,task_006,0
58.000,robot_5,6.690,-1.859,0,1,0,task_008,0
60.000,robot_1,3.098,5.091,0,1,0,task_003,0
60.000,robot_2,-1.851,3.315,0,0,0,,0
60.000,robot_3,6.170,4.245,0,1,0,task_002,0
60.000,robot_4,3.884,4.785,0,1,0,task_006,0
60.000,robot_5,6.784,-1.897,0,1,0,task_001,0
62.000,robot_1,3.097,5.613,0,1,0,task_003,0
62.000,robot_2,-1.529,3.365,0,1,0,task_009,0
62.000,robot_3,6.608,4.527,0,1,0,task_002,0
62.000,robot_4,3.884,4.785,0,1,0,task_007,0
62.000,robot_5,6.636,-1.758,0,1,0,task_001,0
64.000,robot_1,3.093,6.134,0,1,0,task_003,0
64.000,robot_2,-1.010,3.417,0,1,0,task_009,0
64.000,robot_3,7.040,4.820,0,1,0,task_002,0
64.000,robot_4,3.588,4.901,0,1,0,task_007,0
64.000,robot_5,6.182,-1.617,0,1,0,task_001,0
66.001,robot_1,3.072,6.788,0,1,0,task_003,0
66.001,robot_2,-0.501,3.524,0,1,0,task_009,0
66.001,robot_3,7.574,5.197,0,1,0,task_002,0
66.001,robot_4,2.936,4.951,0,1,0,task_007,0
66.001,robot_5,5.530,-1.576,0,1,0,task_001,0
68.000,robot_1,2.999,7.169,0,1,0,task_003,0
68.000,robot_2,0.118,3.708,0,1,0,task_009,0
68.000,robot_3,7.996,5.488,0,1,0,task_002,0
68.000,robot_4,2.441,4.958,0,1,0,task_007,0
68.000,robot_5,5.167,-1.395,0,1,0,task_001,0
70.000,robot_1,2.733,7.614,0,1,0,task_003,0
70.000,robot_2,0.500,3.813,0,1,0,task_009,0
70.000,robot_3,8.318,5.723,0,1,0,task_002,0
70.000,robot_4,2.236,4.972,0,1,0,task_007,0
70.000,robot_5,5.001,-1.139,0,1,0,task_001,0
72.000,robot_1,2.346,7.949,0,1,0,task_003,0
72.000,robot_2,0.778,3.908,0,1,0,,0
72.000,robot_3,8.777,5.944,0,1,0,task_002,0
72.000,robot_4,2.236,4.972,0,1,0,task_015,0
72.000,robot_5,4.942,-0.636,0,1,0,task_001,0
74.000,robot_1,1.930,8.263,0,1,0,task_003,0
74.000,robot_2,0.816,3.771,0,1,0,task_013,0
74.000,robot_3,9.292,6.020,0,1,0,task_002,0
74.000,robot_4,2.367,4.686,0,1,0,task_015,0
74.000,robot_5,5.008,-0.119,0,1,0,task_001,0
76.000,robot_1,1.510,8.572,0,1,0,task_003,0
76.000,robot_2,0.751,3.302,0,1,0,task_013,0
76.000,robot_3,9.709,6.019,0,1,0,,0
76.000,robot_4,2.441,4.171,0,1,0,task_015,0
76.000,robot_5,5.101,0.394,0,1,0,task_001,0
78.000,robot_1,0.991,8.971,0,1,0,task_003,0
78.000,robot_2,0.509,2.694,0,1,0,task_013,0
78.000,robot_3,9.732,5.993,0,1,0,task_011,0
78.000,robot_4,2.495,3.652,0,1,0,task_015,0
78.000,robot_5,5.256,1.030,0,1,0,task_001,0
80.000,robot_1,0.708,9.236,0,1,0,task_003,0
80.000,robot_2,0.350,2.340,0,1,2,task_013,0
80.000,robot_3,9.485,5.895,0,1,0,task_011,0
80.000,robot_4,2.554,3.134,0,1,0,task_015,0
80.000,robot_5,5.356,1.405,0,1,0,task_001,0
82.000,robot_1,0.352,9.614,0,1,0,task_003,0
82.000,robot_2,0.124,1.869,0,1,2,task_013,0
82.000,robot_3,8.967,5.901,0,1,0,task_011,0
82.000,robot_4,2.633,2.618,0,1,0,task_015,0
82.000,robot_5,5.509,1.904,0,1,0,task_001,0
84.000,robot_1,0.159,9.824,0,1,0,task_003,0
84.000,robot_2,-0.114,1.415,0,1,2,task_013,0
84.000,robot_3,8.462,5.839,0,1,0,task_011,0
84.000,robot_4,2.730,2.115,0,1,0,task_015,0
84.000,robot_5,5.685,2.385,0,1,0,task_001,0
86.000,robot_1,0.159,9.824,0,1,0,task_005,0
86.000,robot_2,-0.364,0.957,0,1,2,task_013,0
86.000,robot_3,8.006,5.589,0,1,0,task_011,0
86.000,robot_4,2.868,1.612,0,1,0,task_015,0
86.000,robot_5,5.858,2.755,0,1,0,task_001,0
88.000,robot_1,0.023,9.923,0,1,0,task_005,0
88.000,robot_2,-0.633,0.511,0,1,2,task_013,0
88.000,robot_3,7.586,5.281,0,1,0,task_011,0
