task_id,x,y,priority,strategy,scenario,seed
task_001,1.000,6.000,2,rostam_ea,mixed_stress,17
task_002,-5.000,-2.000,3,rostam_ea,mixed_stress,17
task_003,-2.000,-4.000,1,rostam_ea,mixed_stress,17
task_004,0.000,2.000,3,rostam_ea,mixed_stress,17
task_005,-6.000,7.000,2,rostam_ea,mixed_stress,17
task_006,3.000,2.000,3,rostam_ea,mixed_stress,17
task_007,5.000,-2.000,1,rostam_ea,mixed_stress,17
task_008,0.000,-6.000,1,rostam_ea,mixed_stress,17
task_009,-6.000,6.000,3,rostam_ea,mixed_stress,17
task_010,2.000,7.000,2,rostam_ea,mixed_stress,17
task_011,3.000,-2.000,3,rostam_ea,mixed_stress,17
task_012,6.000,-1.500,3,rostam_ea,mixed_stress,17
task_013,-3.000,-2.000,3,rostam_ea,mixed_stress,17
task_014,-1.000,-6.000,3,rostam_ea,mixed_stress,17
task_015,0.000,7.000,2,rostam_ea,mixed_stress,17
task_016,-4.000,6.000,3,rostam_ea,mixed_stress,17
task_017,4.000,-6.000,2,rostam_ea,mixed_stress,17
task_018,2.000,-4.000,2,rostam_ea,mixed_stress,17
task_019,0.000,-7.000,1,rostam_ea,mixed_stress,17
task_020,6.000,7.000,2,rostam_ea,mixed_stress,17
task_021,-6.000,-4.000,3,rostam_ea,mixed_stress,17
task_022,-6.000,-1.500,3,rostam_ea,mixed_stress,17
task_023,5.000,0.000,2,rostam_ea,mixed_stress,17
task_024,4.000,6.000,2,rostam_ea,mixed_stress,17
task_025,5.000,2.000,2,rostam_ea,mixed_stress,17
