task_id,x,y,priority,strategy,scenario,seed
task_001,5.000,-2.000,1,big_mrta,robot_failure,4
task_002,3.000,-2.000,1,big_mrta,robot_failure,4
task_003,0.000,-2.000,2,big_mrta,robot_failure,4
task_004,0.000,-7.000,1,big_mrta,robot_failure,4
task_005,4.000,0.000,1,big_mrta,robot_failure,4
task_006,6.000,-6.000,1,big_mrta,robot_failure,4
task_007,6.000,-1.500,2,big_mrta,robot_failure,4
task_008,0.000,2.000,3,big_mrta,robot_failure,4
task_009,0.000,7.000,2,big_mrta,robot_failure,4
task_010,6.000,1.500,3,big_mrta,robot_failure,4
task_011,-6.000,-1.500,1,big_mrta,robot_failure,4
task_012,-6.000,-6.000,3,big_mrta,robot_failure,4
task_013,-5.000,2.000,2,big_mrta,robot_failure,4
task_014,4.000,6.000,3,big_mrta,robot_failure,4
task_015,-3.000,2.000,2,big_mrta,robot_failure,4
task_016,-6.000,7.000,2,big_mrta,robot_failure,4
task_017,4.000,-6.000,1,big_mrta,robot_failure,4
task_018,5.000,0.000,2,big_mrta,robot_failure,4
task_019,2.000,7.000,3,big_mrta,robot_failure,4
task_020,-4.000,-6.000,1,big_mrta,robot_failure,4
task_021,0.000,6.000,3,big_mrta,robot_failure,4
task_022,6.000,6.000,2,big_mrta,robot_failure,4
task_023,0.000,-6.000,3,big_mrta,robot_failure,4
task_024,5.000,2.000,1,big_mrta,robot_failure,4
task_025,-1.000,6.000,2,big_mrta,robot_failure,4
