timestamp_s,strategy,alloc_num,footprint_bytes
30.000,big_mrta,1,500
35.000,big_mrta,2,500
40.000,big_mrta,3,500
45.000,big_mrta,4,500
50.000,big_mrta,5,480
55.000,big_mrta,6,480
60.000,big_mrta,7,440
65.000,big_mrta,8,380
70.000,big_mrta,9,380
75.000,big_mrta,10,340
80.000,big_mrta,11,320
85.000,big_mrta,12,320
90.000,big_mrta,13,300
95.000,big_mrta,14,300
100.000,big_mrta,15,260
105.000,big_mrta,16,260
110.000,big_mrta,17,220
115.000,big_mrta,18,200
120.000,big_mrta,19,200
125.000,big_mrta,20,160
130.000,big_mrta,21,120
