task_id,x,y,priority,strategy,scenario,seed
task_001,-3.000,-2.000,2,consensus_dbta,robot_failure,9
task_002,5.000,2.000,3,consensus_dbta,robot_failure,9
task_003,-4.000,-6.000,3,consensus_dbta,robot_failure,9
task_004,2.000,7.000,3,consensus_dbta,robot_failure,9
task_005,-1.000,-6.000,1,consensus_dbta,robot_failure,9
task_006,0.000,-2.000,3,consensus_dbta,robot_failure,9
task_007,-5.000,-2.000,1,consensus_dbta,robot_failure,9
task_008,6.000,7.000,3,consensus_dbta,robot_failure,9
task_009,3.000,-2.000,3,consensus_dbta,robot_failure,9
task_010,-4.000,6.000,1,consensus_dbta,robot_failure,9
task_011,5.000,0.000,2,consensus_dbta,robot_failure,9
task_012,1.000,6.000,1,consensus_dbta,robot_failure,9
task_013,0.000,-6.000,1,consensus_dbta,robot_failure,9
task_014,-2.000,-4.000,2,consensus_dbta,robot_failure,9
task_015,3.000,2.000,2,consensus_dbta,robot_failure,9
task_016,4.000,-6.000,3,consensus_dbta,robot_failure,9
task_017,-1.000,6.000,3,consensus_dbta,robot_failure,9
task_018,6.000,1.500,1,consensus_dbta,robot_failure,9
task_019,-6.000,-6.000,1,consensus_dbta,robot_failure,9
task_020,-3.000,2.000,1,consensus_dbta,robot_failure,9
task_021,0.000,2.000,3,consensus_dbta,robot_failure,9
task_022,-6.000,6.000,2,consensus_dbta,robot_failure,9
task_023,-5.000,2.000,3,consensus_dbta,robot_failure,9
task_024,-2.000,7.000,3,consensus_dbta,robot_failure,9
task_025,6.000,-1.500,2,consensus_dbta,robot_failure,9
