timestamp_s,task_id,event,robot_id,strategy,scenario,seed
29.000,task_001,activated,,consensus_dbta,robot_failure,10
29.000,task_002,activated,,consensus_dbta,robot_failure,10
29.000,task_003,activated,,consensus_dbta,robot_failure,10
29.000,task_004,activated,,consensus_dbta,robot_failure,10
29.000,task_005,activated,,consensus_dbta,robot_failure,10
29.000,task_006,activated,,consensus_dbta,robot_failure,10
29.000,task_007,activated,,consensus_dbta,robot_failure,10
29.000,task_008,activated,,consensus_dbta,robot_failure,10
29.000,task_009,activated,,consensus_dbta,robot_failure,10
29.000,task_010,activated,,consensus_dbta,robot_failure,10
29.000,task_011,activated,,consensus_dbta,robot_failure,10
29.000,task_012,activated,,consensus_dbta,robot_failure,10
29.000,task_013,activated,,consensus_dbta,robot_failure,10
29.000,task_014,activated,,consensus_dbta,robot_failure,10
29.000,task_015,activated,,consensus_dbta,robot_failure,10
29.000,task_016,activated,,consensus_dbta,robot_failure,10
29.000,task_017,activated,,consensus_dbta,robot_failure,10
29.000,task_018,activated,,consensus_dbta,robot_failure,10
29.000,task_019,activated,,consensus_dbta,robot_failure,10
29.000,task_020,activated,,consensus_dbta,robot_failure,10
29.000,task_021,activated,,consensus_dbta,robot_failure,10
29.000,task_022,activated,,consensus_dbta,robot_failure,10
29.000,task_023,activated,,consensus_dbta,robot_failure,10
29.000,task_024,activated,,consensus_dbta,robot_failure,10
29.000,task_025,activated,,consensus_dbta,robot_failure,10
30.000,task_015,assigned,robot_1,consensus_dbta,robot_failure,10
30.000,task_016,assigned,robot_1,consensus_dbta,robot_failure,10
30.000,task_001,assigned,robot_1,consensus_dbta,robot_failure,10
30.000,task_020,assigned,robot_1,consensus_dbta,robot_failure,10
30.000,task_014,assigned,robot_1,consensus_dbta,robot_failure,10
30.000,task_023,assigned,robot_2,consensus_dbta,robot_failure,10
30.000,task_003,assigned,robot_2,consensus_dbta,robot_failure,10
30.000,task_025,assigned,robot_2,consensus_dbta,robot_failure,10
30.000,task_022,assigned,robot_2,consensus_dbta,robot_failure,10
30.000,task_019,assigned,robot_2,consensus_dbta,robot_failure,10
30.000,task_010,assigned,robot_3,consensus_dbta,robot_failure,10
30.000,task_012,assigned,robot_3,consensus_dbta,robot_failure,10
30.000,task_002,assigned,robot_3,consensus_dbta,robot_failure,10
30.000,task_005,assigned,robot_3,consensus_dbta,robot_failure,10
30.000,task_017,assigned,robot_3,consensus_dbta,robot_failure,10
30.000,task_008,assigned,robot_4,consensus_dbta,robot_failure,10
30.000,task_011,assigned,robot_4,consensus_dbta,robot_failure,10
30.000,task_009,assigned,robot_4,consensus_dbta,robot_failure,10
30.000,task_024,assigned,robot_4,consensus_dbta,robot_failure,10
30.000,task_021,assigned,robot_4,consensus_dbta,robot_failure,10
30.000,task_004,assigned,robot_5,consensus_dbta,robot_failure,10
30.000,task_007,assigned,robot_5,consensus_dbta,robot_failure,10
30.000,task_013,assigned,robot_5,consensus_dbta,robot_failure,10
30.000,task_018,assigned,robot_5,consensus_dbta,robot_failure,10
30.000,task_006,assigned,robot_5,consensus_dbta,robot_failure,10
60.775,task_010,completed,robot_3,consensus_dbta,robot_failure,10
63.761,task_004,completed,robot_5,consensus_dbta,robot_failure,10
65.827,task_023,completed,robot_2,consensus_dbta,robot_failure,10
68.566,task_008,completed,robot_4,consensus_dbta,robot_failure,10
73.682,task_003,completed,robot_2,consensus_dbta,robot_failure,10
73.776,task_011,completed,robot_4,consensus_dbta,robot_failure,10
75.000,task_022,assigned,robot_4,consensus_dbta,robot_failure,10
75.000,task_019,assigned,robot_4,consensus_dbta,robot_failure,10
75.000,task_025,assigned,robot_5,consensus_dbta,robot_failure,10
75.288,task_015,completed,robot_1,consensus_dbta,robot_failure,10
80.222,task_012,completed,robot_3,consensus_dbta,robot_failure,10
82.097,task_007,completed,robot_5,consensus_dbta,robot_failure,10
86.352,task_025,completed,robot_2,consensus_dbta,robot_failure,10
98.880,task_002,completed,robot_3,consensus_dbta,robot_failure,10
113.877,task_009,completed,robot_4,consensus_dbta,robot_failure,10
115.197,task_013,completed,robot_5,consensus_dbta,robot_failure,10
117.655,task_001,completed,robot_1,consensus_dbta,robot_failure,10
118.330,task_005,completed,robot_3,consensus_dbta,robot_failure,10
123.591,task_018,completed,robot_5,consensus_dbta,robot_failure,10
123.601,task_024,completed,robot_4,consensus_dbta,robot_failure,10
133.564,task_020,completed,robot_1,consensus_dbta,robot_failure,10
135.575,task_021,completed,robot_4,consensus_dbta,robot_failure,10
145.766,task_014,completed,robot_1,consensus_dbta,robot_failure,10
155.471,task_017,completed,robot_3,consensus_dbta,robot_failure,10
169.502,task_006,completed,robot_5,consensus_dbta,robot_failure,10
188.551,task_016,completed,robot_1,consensus_dbta,robot_failure,10
200.992,task_022,completed,robot_4,consensus_dbta,robot_failure,10
206.829,task_019,completed,robot_4,consensus_dbta,robot_failure,10
