timestamp_s,robot_id,x,y,battery_state,nav_state,avail_state,current_task_id,failure_flag
30.000,robot_1,0.000,-0.000,0,0,0,,0
30.000,robot_2,0.000,-0.000,0,0,0,,0
30.000,robot_3,0.000,-0.000,0,0,0,,0
30.000,robot_4,0.000,-0.000,0,0,0,,0
30.000,robot_5,0.000,-0.000,0,0,0,,0
32.000,robot_1,0.327,0.009,0,1,0,task_011,0
32.000,robot_2,0.010,0.052,0,1,0,task_025,0
32.000,robot_3,0.010,-0.052,0,1,0,task_016,0
32.000,robot_4,0.112,-0.082,0,1,0,task_004,0
32.000,robot_5,0.329,-0.004,0,1,0,task_017,0
34.000,robot_1,0.833,0.067,0,1,0,task_011,0
34.000,robot_2,-0.061,0.489,0,1,0,task_025,0
34.000,robot_3,-0.061,-0.491,0,1,0,task_016,0
34.000,robot_4,0.407,-0.491,0,1,0,task_004,0
34.000,robot_5,0.850,-0.021,0,1,0,task_017,0
36.000,robot_1,1.330,0.223,0,1,0,task_011,0
36.000,robot_2,-0.291,0.956,0,1,0,task_025,0
36.000,robot_3,-0.291,-0.959,0,1,0,task_016,0
36.000,robot_4,0.662,-0.947,0,1,0,task_004,0
36.000,robot_5,1.371,-0.054,0,1,0,task_017,0
38.000,robot_1,1.835,0.308,0,1,0,task_011,0
38.000,robot_2,-0.560,1.393,0,1,0,task_025,0
38.000,robot_3,-0.558,-1.396,0,1,0,task_016,0
38.000,robot_4,0.908,-1.397,0,1,0,task_004,0
38.000,robot_5,1.877,-0.133,0,1,0,task_017,0
40.000,robot_1,2.354,0.363,0,1,0,task_011,0
40.000,robot_2,-0.808,1.752,0,1,0,task_025,0
40.000,robot_3,-0.807,-1.754,0,1,0,task_016,0
40.000,robot_4,1.153,-1.857,0,1,0,task_004,0
40.000,robot_5,2.376,-0.283,0,1,0,task_017,0
42.000,robot_1,2.940,0.635,0,1,0,task_011,0
42.000,robot_2,-0.848,1.806,0,1,0,task_023,0
42.000,robot_3,-0.848,-1.808,0,0,0,,0
42.000,robot_4,1.415,-2.308,0,1,0,task_004,0
42.000,robot_5,2.884,-0.648,0,1,0,task_017,0
44.000,robot_1,3.207,0.917,0,1,0,task_011,0
44.000,robot_2,-0.890,1.734,0,1,0,task_023,0
44.000,robot_3,-0.803,-1.634,0,1,0,task_014,0
44.000,robot_4,1.678,-2.758,0,1,0,task_004,0
44.000,robot_5,3.021,-0.990,0,1,0,task_017,0
46.000,robot_1,3.515,1.338,0,1,0,task_011,0
46.000,robot_2,-1.247,1.438,0,1,0,task_023,0
46.000,robot_3,-0.857,-1.124,0,1,0,task_014,0
46.000,robot_4,1.955,-3.200,0,1,0,task_004,0
46.000,robot_5,3.004,-1.508,0,1,0,task_017,0
48.000,robot_1,3.818,1.763,0,1,0,task_011,0
48.000,robot_2,-1.705,1.189,0,1,0,task_023,0
48.000,robot_3,-1.040,-0.505,0,1,0,task_014,0
48.000,robot_4,2.312,-3.737,0,1,0,task_004,0
48.000,robot_5,2.831,-2.129,0,1,0,task_017,0
50.000,robot_1,4.117,2.180,0,1,0,task_011,0
50.000,robot_2,-2.163,0.957,0,1,0,task_023,0
50.000,robot_3,-1.173,-0.140,0,1,0,task_014,0
50.000,robot_4,2.534,-4.057,0,1,0,task_004,0
50.000,robot_5,2.707,-2.498,0,1,0,task_017,0
52.001,robot_1,4.504,2.707,0,1,0,task_011,0
52.001,robot_2,-2.746,0.661,0,1,0,task_023,0
52.001,robot_3,-1.426,0.463,0,1,0,task_014,0
52.001,robot_4,2.887,-4.607,0,1,0,task_004,0
52.001,robot_5,2.482,-3.112,0,1,0,task_017,0
54.000,robot_1,4.731,3.022,0,1,0,task_011,0
54.000,robot_2,-3.090,0.479,0,1,0,task_023,0
54.000,robot_3,-1.593,0.814,0,1,0,task_014,0
54.000,robot_4,2.990,-4.971,0,1,0,task_004,0
54.000,robot_5,2.343,-3.475,0,1,0,task_017,0
56.000,robot_1,5.038,3.445,0,1,0,task_011,0
56.000,robot_2,-3.556,0.245,0,1,0,task_023,0
56.000,robot_3,-1.814,1.215,0,1,0,task_014,0
56.000,robot_4,2.901,-5.374,0,1,0,task_004,0
56.000,robot_5,2.140,-3.956,0,1,0,task_017,0
58.000,robot_1,5.347,3.864,0,1,0,task_011,0
58.000,robot_2,-4.019,0.005,0,1,0,task_023,0
58.000,robot_3,-1.872,1.308,0,1,0,,0
58.000,robot_4,2.548,-5.730,0,1,0,task_004,0
58.000,robot_5,1.921,-4.429,0,1,0,task_017,0
60.000,robot_1,5.654,4.275,0,1,0,task_011,0
60.000,robot_2,-4.467,-0.245,0,1,0,task_023,0
60.000,robot_3,-1.523,1.460,0,1,0,task_007,0
60.000,robot_4,2.232,-5.906,0,1,0,task_004,0
60.000,robot_5,1.691,-4.887,0,1,0,task_017,0
62.000,robot_1,5.968,4.691,0,1,0,task_011,0
62.000,robot_2,-4.857,-0.585,0,1,0,task_023,0
62.000,robot_3,-1.196,1.750,0,1,0,task_007,0
62.000,robot_4,2.221,-5.916,0,1,0,task_024,0
62.000,robot_5,1.438,-5.343,0,1,0,task_017,0
64.000,robot_1,6.281,5.109,0,1,0,task_011,0
64.000,robot_2,-5.028,-1.065,0,1,0,task_023,0
64.000,robot_3,-0.973,1.852,0,1,0,task_012,0
64.000,robot_4,2.672,-5.816,0,1,0,task_024,0
64.000,robot_5,1.197,-5.728,0,1,0,task_017,0
66.000,robot_1,6.600,5.521,0,1,0,task_011,0
66.000,robot_2,-4.964,-1.580,0,1,0,task_023,0
66.000,robot_3,-0.484,2.035,0,1,0,task_012,0
66.000,robot_4,3.140,-5.585,0,1,0,task_024,0
66.000,robot_5,1.142,-5.807,0,1,0,,0
68.000,robot_1,6.836,5.810,0,1,0,task_011,0
68.000,robot_2,-4.802,-2.076,0,1,0,task_023,0
68.000,robot_3,0.018,2.173,0,1,0,task_012,0
68.000,robot_4,3.603,-5.345,0,1,0,task_024,0
68.000,robot_5,1.611,-5.936,0,1,0,task_010,0
70.000,robot_1,6.847,5.824,0,1,0,task_001,0
70.000,robot_2,-4.610,-2.561,0,1,0,task_023,0
70.000,robot_3,0.526,2.289,0,1,0,task_012,0
70.000,robot_4,4.067,-5.106,0,1,0,task_024,0
70.000,robot_5,2.097,-6.127,0,1,0,task_010,0
72.000,robot_1,6.590,6.076,0,1,0,task_001,0
72.000,robot_2,-4.400,-3.029,0,1,0,task_023,0
72.000,robot_3,1.036,2.333,0,1,0,task_012,0
72.000,robot_4,4.519,-4.866,0,1,0,task_024,0
72.000,robot_5,2.559,-6.347,0,1,0,task_010,0
74.000,robot_1,6.114,6.283,0,1,0,task_001,0
74.000,robot_2,-4.197,-3.509,0,1,0,task_023,0
74.000,robot_3,1.558,2.350,0,1,0,task_012,0
74.000,robot_4,4.977,-4.616,0,1,0,task_024,0
74.000,robot_5,2.915,-6.700,0,1,0,task_010,0
76.000,robot_1,5.602,6.379,0,1,0,task_001,0
76.000,robot_2,-3.886,-3.875,0,1,2,task_023,0
76.000,robot_3,2.079,2.354,0,1,0,task_012,0
76.000,robot_4,5.459,-4.417,0,1,0,task_024,0
76.000,robot_5,3.008,-7.105,0,1,0,task_010,0
78.000,robot_1,5.181,6.590,0,1,0,task_001,0
78.000,robot_2,-3.398,-4.032,0,1,2,task_023,0
78.000,robot_3,2.588,2.436,0,1,0,task_012,0
78.000,robot_4,5.966,-4.306,0,1,0,task_024,0
78.000,robot_5,2.847,-7.516,0,1,0,task_010,0
80.000,robot_1,4.995,6.917,0,1,0,task_001,0
80.000,robot_2,-2.877,-4.049,0,1,2,task_023,0
80.000,robot_3,2.911,2.693,0,1,0,task_012,0
80.000,robot_4,6.487,-4.279,0,1,0,task_024,0
80.000,robot_5,2.455,-7.857,0,1,0,task_010,0
82.000,robot_1,5.022,7.311,0,1,0,task_001,0
82.000,robot_2,-2.391,-4.046,0,1,2,task_023,0
82.000,robot_3,3.061,3.157,0,1,0,task_012,0
82.000,robot_4,7.008,-4.276,0,1,0,task_024,0
82.000,robot_5,2.022,-8.148,0,1,0,task_010,0
84.000,robot_1,5.308,7.711,0,1,0,task_001,0
84.000,robot_2,-2.231,-4.033,0,0,2,,0
84.000,robot_3,3.081,3.669,0,1,0,task_012,0
84.000,robot_4,7.521,-4.275,0,1,0,task_024,0
84.000,robot_5,1.591,-8.425,0,1,0,task_010,0
86.000,robot_1,5.719,8.032,0,1,0,task_001,0
86.000,robot_2,-2.231,-4.033,0,0,2,,0
86.000,robot_3,3.093,4.190,0,1,0,task_012,0
86.000,robot_4,8.042,-4.249,0,1,0,task_024,0
86.000,robot_5,1.154,-8.709,0,1,0,task_010,0
