task_id,x,y,priority,strategy,scenario,seed
task_001,-5.000,-2.000,3,rostam_ea,robot_failure,5
task_002,4.000,0.000,3,rostam_ea,robot_failure,5
task_003,6.000,7.000,2,rostam_ea,robot_failure,5
task_004,5.000,0.000,1,rostam_ea,robot_failure,5
task_005,-1.000,-6.000,2,rostam_ea,robot_failure,5
task_006,-6.000,-1.500,1,rostam_ea,robot_failure,5
task_007,-5.000,0.000,1,rostam_ea,robot_failure,5
task_008,-2.000,-4.000,2,rostam_ea,robot_failure,5
task_009,4.000,-6.000,1,rostam_ea,robot_failure,5
task_010,6.000,-4.000,1,rostam_ea,robot_failure,5
task_011,1.000,6.000,1,rostam_ea,robot_failure,5
task_012,0.000,7.000,1,rostam_ea,robot_failure,5
task_013,0.000,-6.000,1,rostam_ea,robot_failure,5
task_014,0.000,2.000,1,rostam_ea,robot_failure,5
task_015,0.000,-7.000,1,rostam_ea,robot_failure,5
task_016,-3.000,-2.000,2,rostam_ea,robot_failure,5
task_017,0.000,-2.000,1,rostam_ea,robot_failure,5
task_018,-6.000,6.000,3,rostam_ea,robot_failure,5
task_019,0.000,6.000,3,rostam_ea,robot_failure,5
task_020,-3.000,2.000,2,rostam_ea,robot_failure,5
task_021,-4.000,6.000,2,rostam_ea,robot_failure,5
task_022,-6.000,7.000,2,rostam_ea,robot_failure,5
task_023,5.000,-2.000,3,rostam_ea,robot_failure,5
task_024,6.000,1.500,3,rostam_ea,robot_failure,5
task_025,1.000,-6.000,3,rostam_ea,robot_failure,5
