timestamp_s,strategy,alloc_num,tasks_in_queues,latency_ms
30.000,ahe_mrta_v3,1,10,7.36
35.000,ahe_mrta_v3,2,10,2.87
40.000,ahe_mrta_v3,3,10,2.73
45.000,ahe_mrta_v3,4,10,3.42
50.000,ahe_mrta_v3,5,10,2.79
55.000,ahe_mrta_v3,6,10,2.30
60.000,ahe_mrta_v3,7,10,1.92
65.000,ahe_mrta_v3,8,8,2.67
70.003,ahe_mrta_v3,9,7,2.59
75.000,ahe_mrta_v3,10,7,2.18
80.000,ahe_mrta_v3,11,7,2.09
85.000,ahe_mrta_v3,12,6,2.45
90.000,ahe_mrta_v3,13,5,1.89
95.000,ahe_mrta_v3,14,5,1.70
100.000,ahe_mrta_v3,15,5,2.13
105.000,ahe_mrta_v3,16,5,1.97
110.000,ahe_mrta_v3,17,5,1.53
115.000,ahe_mrta_v3,18,5,1.19
120.000,ahe_mrta_v3,19,5,1.41
125.000,ahe_mrta_v3,20,5,0.78
130.000,ahe_mrta_v3,21,5,0.63
135.000,ahe_mrta_v3,22,5,0.96
140.000,ahe_mrta_v3,23,5,0.96
145.000,ahe_mrta_v3,24,5,0.57
150.000,ahe_mrta_v3,25,5,1.01
