timestamp_s,task_id,event,robot_id,strategy,scenario,seed
28.000,task_001,activated,,ahe_mrta_v3,deadline_pressure,5
28.000,task_002,activated,,ahe_mrta_v3,deadline_pressure,5
28.000,task_003,activated,,ahe_mrta_v3,deadline_pressure,5
28.000,task_004,activated,,ahe_mrta_v3,deadline_pressure,5
28.000,task_005,activated,,ahe_mrta_v3,deadline_pressure,5
28.000,task_006,activated,,ahe_mrta_v3,deadline_pressure,5
28.000,task_007,activated,,ahe_mrta_v3,deadline_pressure,5
28.000,task_008,activated,,ahe_mrta_v3,deadline_pressure,5
28.000,task_009,activated,,ahe_mrta_v3,deadline_pressure,5
28.000,task_010,activated,,ahe_mrta_v3,deadline_pressure,5
28.000,task_011,activated,,ahe_mrta_v3,deadline_pressure,5
28.000,task_012,activated,,ahe_mrta_v3,deadline_pressure,5
28.000,task_013,activated,,ahe_mrta_v3,deadline_pressure,5
28.000,task_014,activated,,ahe_mrta_v3,deadline_pressure,5
28.000,task_015,activated,,ahe_mrta_v3,deadline_pressure,5
28.000,task_016,activated,,ahe_mrta_v3,deadline_pressure,5
28.000,task_017,activated,,ahe_mrta_v3,deadline_pressure,5
28.000,task_018,activated,,ahe_mrta_v3,deadline_pressure,5
28.000,task_019,activated,,ahe_mrta_v3,deadline_pressure,5
28.000,task_020,activated,,ahe_mrta_v3,deadline_pressure,5
28.000,task_021,activated,,ahe_mrta_v3,deadline_pressure,5
28.000,task_022,activated,,ahe_mrta_v3,deadline_pressure,5
28.000,task_023,activated,,ahe_mrta_v3,deadline_pressure,5
28.000,task_024,activated,,ahe_mrta_v3,deadline_pressure,5
28.000,task_025,activated,,ahe_mrta_v3,deadline_pressure,5
30.000,task_014,assigned,robot_1,ahe_mrta_v3,deadline_pressure,5
30.000,task_016,assigned,robot_1,ahe_mrta_v3,deadline_pressure,5
30.000,task_017,assigned,robot_2,ahe_mrta_v3,deadline_pressure,5
30.000,task_009,assigned,robot_2,ahe_mrta_v3,deadline_pressure,5
30.000,task_013,assigned,robot_3,ahe_mrta_v3,deadline_pressure,5
30.000,task_015,assigned,robot_3,ahe_mrta_v3,deadline_pressure,5
30.000,task_021,assigned,robot_4,ahe_mrta_v3,deadline_pressure,5
30.000,task_012,assigned,robot_4,ahe_mrta_v3,deadline_pressure,5
30.000,task_019,assigned,robot_5,ahe_mrta_v3,deadline_pressure,5
30.000,task_011,assigned,robot_5,ahe_mrta_v3,deadline_pressure,5
45.364,task_017,completed,robot_2,ahe_mrta_v3,deadline_pressure,5
47.843,task_019,completed,robot_5,ahe_mrta_v3,deadline_pressure,5
50.000,task_025,assigned,robot_2,ahe_mrta_v3,deadline_pressure,5
50.000,task_002,assigned,robot_5,ahe_mrta_v3,deadline_pressure,5
52.588,task_011,completed,robot_5,ahe_mrta_v3,deadline_pressure,5
55.000,task_024,assigned,robot_5,ahe_mrta_v3,deadline_pressure,5
60.143,task_013,completed,robot_3,ahe_mrta_v3,deadline_pressure,5
62.483,task_021,completed,robot_4,ahe_mrta_v3,deadline_pressure,5
63.953,task_014,completed,robot_1,ahe_mrta_v3,deadline_pressure,5
65.000,task_001,assigned,robot_1,ahe_mrta_v3,deadline_pressure,5
67.071,task_015,completed,robot_3,ahe_mrta_v3,deadline_pressure,5
69.355,task_009,completed,robot_2,ahe_mrta_v3,deadline_pressure,5
70.003,task_023,assigned,robot_3,ahe_mrta_v3,deadline_pressure,5
78.487,task_012,completed,robot_4,ahe_mrta_v3,deadline_pressure,5
80.000,task_003,assigned,robot_4,ahe_mrta_v3,deadline_pressure,5
82.301,task_002,completed,robot_5,ahe_mrta_v3,deadline_pressure,5
84.240,task_025,completed,robot_2,ahe_mrta_v3,deadline_pressure,5
85.000,task_018,assigned,robot_2,ahe_mrta_v3,deadline_pressure,5
85.387,task_016,completed,robot_1,ahe_mrta_v3,deadline_pressure,5
93.139,task_024,completed,robot_5,ahe_mrta_v3,deadline_pressure,5
95.000,task_005,assigned,robot_5,ahe_mrta_v3,deadline_pressure,5
97.456,task_001,completed,robot_1,ahe_mrta_v3,deadline_pressure,5
100.000,task_020,assigned,robot_1,ahe_mrta_v3,deadline_pressure,5
103.289,task_023,completed,robot_3,ahe_mrta_v3,deadline_pressure,5
105.000,task_008,assigned,robot_3,ahe_mrta_v3,deadline_pressure,5
107.147,task_003,completed,robot_4,ahe_mrta_v3,deadline_pressure,5
110.000,task_022,assigned,robot_4,ahe_mrta_v3,deadline_pressure,5
118.073,task_020,completed,robot_1,ahe_mrta_v3,deadline_pressure,5
120.000,task_004,assigned,robot_1,ahe_mrta_v3,deadline_pressure,5
136.342,task_008,completed,robot_3,ahe_mrta_v3,deadline_pressure,5
137.095,task_005,completed,robot_5,ahe_mrta_v3,deadline_pressure,5
140.000,task_007,assigned,robot_3,ahe_mrta_v3,deadline_pressure,5
140.000,task_006,assigned,robot_5,ahe_mrta_v3,deadline_pressure,5
147.863,task_018,completed,robot_2,ahe_mrta_v3,deadline_pressure,5
150.000,task_010,assigned,robot_2,ahe_mrta_v3,deadline_pressure,5
152.467,task_004,completed,robot_1,ahe_mrta_v3,deadline_pressure,5
162.885,task_022,completed,robot_4,ahe_mrta_v3,deadline_pressure,5
167.584,task_007,completed,robot_3,ahe_mrta_v3,deadline_pressure,5
174.836,task_006,completed,robot_5,ahe_mrta_v3,deadline_pressure,5
228.069,task_010,completed,robot_2,ahe_mrta_v3,deadline_pressure,5
