timestamp_s,robot_id,x,y,battery_state,nav_state,avail_state,current_task_id,failure_flag
28.000,robot_1,0.000,-0.000,0,0,0,,0
28.000,robot_2,0.000,-0.000,0,0,0,,0
28.000,robot_3,0.000,-0.000,0,0,0,,0
28.000,robot_4,0.000,-0.000,0,0,0,,0
28.000,robot_5,0.000,-0.000,0,0,0,,0
30.000,robot_1,0.000,-0.000,0,0,0,,0
30.000,robot_2,0.000,-0.000,0,0,0,,0
30.000,robot_3,0.000,-0.000,0,0,0,,0
30.000,robot_4,0.000,-0.000,0,0,0,,0
30.000,robot_5,0.000,-0.000,0,0,0,,0
32.000,robot_1,0.461,0.018,0,1,0,task_003,0
32.000,robot_2,0.461,0.000,0,1,0,task_016,0
32.000,robot_3,0.164,-0.184,0,1,0,task_015,0
32.000,robot_4,0.014,-0.143,0,1,0,task_022,0
32.000,robot_5,0.327,-0.004,0,1,0,task_011,0
34.000,robot_1,0.835,0.067,0,1,0,task_003,0
34.000,robot_2,0.850,0.000,0,1,0,task_016,0
34.000,robot_3,0.333,-0.534,0,1,0,task_015,0
34.000,robot_4,-0.067,-0.498,0,1,0,task_022,0
34.000,robot_5,0.848,-0.021,0,1,0,task_011,0
36.000,robot_1,1.333,0.225,0,1,0,task_003,0
36.000,robot_2,1.372,0.000,0,1,0,task_016,0
36.000,robot_3,0.520,-1.021,0,1,0,task_015,0
36.000,robot_4,-0.300,-0.964,0,1,0,task_022,0
36.000,robot_5,1.368,-0.055,0,1,0,task_011,0
38.000,robot_1,1.838,0.310,0,1,0,task_003,0
38.000,robot_2,1.885,0.000,0,1,0,task_016,0
38.000,robot_3,0.720,-1.493,0,1,0,task_015,0
38.000,robot_4,-0.565,-1.403,0,1,0,task_022,0
38.000,robot_5,1.875,-0.132,0,1,0,task_011,0
40.000,robot_1,2.356,0.368,0,1,0,task_003,0
40.000,robot_2,2.539,0.000,0,1,0,task_016,0
40.000,robot_3,0.876,-1.796,0,1,0,task_015,0
40.000,robot_4,-0.811,-1.757,0,1,0,task_022,0
40.000,robot_5,2.497,-0.331,0,1,0,task_011,0
42.000,robot_1,2.837,0.560,0,1,0,task_003,0
42.000,robot_2,2.928,0.000,0,1,0,task_016,0
42.000,robot_3,0.928,-1.750,0,1,0,task_002,0
42.000,robot_4,-0.852,-1.813,0,0,0,,0
42.000,robot_5,2.805,-0.547,0,1,0,task_011,0
44.000,robot_1,3.209,0.922,0,1,0,task_003,0
44.000,robot_2,3.449,0.000,0,1,0,task_016,0
44.000,robot_3,1.168,-1.334,0,1,0,task_002,0
44.000,robot_4,-0.858,-1.919,0,1,0,task_014,0
44.000,robot_5,3.030,-0.989,0,1,0,task_011,0
46.002,robot_1,3.590,1.443,0,1,0,task_003,0
46.002,robot_2,3.778,-0.002,0,1,0,task_007,0
46.002,robot_3,1.377,-0.724,0,1,0,task_002,0
46.002,robot_4,-1.124,-2.469,0,1,0,task_014,0
46.002,robot_5,3.126,-1.627,0,1,0,task_011,0
48.000,robot_1,3.821,1.767,0,1,0,task_003,0
48.000,robot_2,4.045,-0.126,0,1,0,task_007,0
48.000,robot_3,1.502,-0.346,0,1,0,task_002,0
48.000,robot_4,-1.368,-2.783,0,1,0,task_014,0
48.000,robot_5,3.168,-2.022,0,1,0,task_011,0
50.000,robot_1,4.120,2.183,0,1,0,task_003,0
50.000,robot_2,4.404,-0.491,0,1,0,task_007,0
50.000,robot_3,1.672,0.137,0,1,0,task_002,0
50.000,robot_4,-1.692,-3.163,0,1,0,task_014,0
50.000,robot_5,3.216,-2.533,0,1,0,task_011,0
52.000,robot_1,4.425,2.607,0,1,0,task_003,0
52.000,robot_2,4.721,-0.905,0,1,0,task_007,0
52.000,robot_3,1.859,0.624,0,1,0,task_002,0
52.000,robot_4,-1.835,-3.322,0,1,0,task_014,0
52.000,robot_5,3.272,-3.051,0,1,0,task_011,0
54.000,robot_1,4.728,3.031,0,1,0,task_003,0
54.000,robot_2,5.039,-1.318,0,1,0,task_007,0
54.000,robot_3,2.062,1.104,0,1,0,task_002,0
54.000,robot_4,-1.674,-3.369,0,1,0,task_005,0
54.000,robot_5,3.324,-3.570,0,1,0,task_011,0
56.000,robot_1,5.038,3.450,0,1,0,task_003,0
56.000,robot_2,5.430,-1.662,0,1,0,task_007,0
