timestamp_s,event_type,robot_id,task_id,strategy,latency_ms
30.000,allocation_run,,,ahe_mrta_v3,5.84
35.000,allocation_run,,,ahe_mrta_v3,3.31
40.000,allocation_run,,,ahe_mrta_v3,2.48
45.000,allocation_run,,,ahe_mrta_v3,2.82
50.000,allocation_run,,,ahe_mrta_v3,3.31
55.000,allocation_run,,,ahe_mrta_v3,3.28
60.000,allocation_run,,,ahe_mrta_v3,2.19
65.000,allocation_run,,,ahe_mrta_v3,3.06
70.000,allocation_run,,,ahe_mrta_v3,3.07
75.000,allocation_run,,,ahe_mrta_v3,3.03
80.000,allocation_run,,,ahe_mrta_v3,3.09
85.000,allocation_run,,,ahe_mrta_v3,2.89
90.000,allocation_run,,,ahe_mrta_v3,2.04
95.000,allocation_run,,,ahe_mrta_v3,2.25
100.000,allocation_run,,,ahe_mrta_v3,1.94
105.000,allocation_run,,,ahe_mrta_v3,2.04
110.000,allocation_run,,,ahe_mrta_v3,2.32
115.000,allocation_run,,,ahe_mrta_v3,2.01
120.000,allocation_run,,,ahe_mrta_v3,1.98
125.000,allocation_run,,,ahe_mrta_v3,2.18
130.000,allocation_run,,,ahe_mrta_v3,0.95
135.001,allocation_run,,,ahe_mrta_v3,0.93
140.000,allocation_run,,,ahe_mrta_v3,1.23
145.000,allocation_run,,,ahe_mrta_v3,0.94
