timestamp_s,strategy,alloc_num,footprint_bytes
30.000,ahe_mrta_v3,1,80
35.002,ahe_mrta_v3,2,80
40.000,ahe_mrta_v3,3,80
45.000,ahe_mrta_v3,4,80
50.000,ahe_mrta_v3,5,80
55.000,ahe_mrta_v3,6,76
60.000,ahe_mrta_v3,7,68
65.000,ahe_mrta_v3,8,72
70.000,ahe_mrta_v3,9,72
75.000,ahe_mrta_v3,10,64
80.000,ahe_mrta_v3,11,64
85.000,ahe_mrta_v3,12,64
90.000,ahe_mrta_v3,13,64
95.000,ahe_mrta_v3,14,60
100.000,ahe_mrta_v3,15,56
105.000,ahe_mrta_v3,16,56
110.000,ahe_mrta_v3,17,60
115.000,ahe_mrta_v3,18,60
120.000,ahe_mrta_v3,19,60
125.000,ahe_mrta_v3,20,56
130.000,ahe_mrta_v3,21,60
135.000,ahe_mrta_v3,22,60
140.000,ahe_mrta_v3,23,56
145.000,ahe_mrta_v3,24,60
150.000,ahe_mrta_v3,25,52
