task_id,x,y,priority,strategy,scenario,seed
task_001,1.000,-6.000,3,ahe_mrta_v3,deadline_pressure,18
task_002,0.000,-6.000,2,ahe_mrta_v3,deadline_pressure,18
task_003,6.000,1.500,2,ahe_mrta_v3,deadline_pressure,18
task_004,-2.000,7.000,2,ahe_mrta_v3,deadline_pressure,18
task_005,-6.000,-4.000,3,ahe_mrta_v3,deadline_pressure,18
task_006,0.000,7.000,1,ahe_mrta_v3,deadline_pressure,18
task_007,-6.000,7.000,2,ahe_mrta_v3,deadline_pressure,18
task_008,-3.000,2.000,3,ahe_mrta_v3,deadline_pressure,18
task_009,6.000,7.000,2,ahe_mrta_v3,deadline_pressure,18
task_010,-1.000,-6.000,1,ahe_mrta_v3,deadline_pressure,18
task_011,-6.000,1.500,3,ahe_mrta_v3,deadline_pressure,18
task_012,-5.000,-2.000,3,ahe_mrta_v3,deadline_pressure,18
task_013,4.000,0.000,3,ahe_mrta_v3,deadline_pressure,18
task_014,-3.000,-2.000,2,ahe_mrta_v3,deadline_pressure,18
task_015,-6.000,-6.000,1,ahe_mrta_v3,deadline_pressure,18
task_016,6.000,-4.000,1,ahe_mrta_v3,deadline_pressure,18
task_017,0.000,-2.000,2,ahe_mrta_v3,deadline_pressure,18
task_018,-5.000,0.000,3,ahe_mrta_v3,deadline_pressure,18
task_019,5.000,0.000,3,ahe_mrta_v3,deadline_pressure,18
task_020,6.000,-6.000,3,ahe_mrta_v3,deadline_pressure,18
task_021,-6.000,6.000,1,ahe_mrta_v3,deadline_pressure,18
task_022,5.000,2.000,1,ahe_mrta_v3,deadline_pressure,18
task_023,4.000,6.000,1,ahe_mrta_v3,deadline_pressure,18
task_024,2.000,7.000,2,ahe_mrta_v3,deadline_pressure,18
task_025,6.000,-1.500,3,ahe_mrta_v3,deadline_pressure,18
