timestamp_s,event_type,robot_id,task_id,strategy,latency_ms
30.000,allocation_run,,,ahe_mrta_v3,4.49
35.000,allocation_run,,,ahe_mrta_v3,0.99
60.000,allocation_run,,,ahe_mrta_v3,2.84
65.000,allocation_run,,,ahe_mrta_v3,1.61
70.000,allocation_run,,,ahe_mrta_v3,1.16
75.000,allocation_run,,,ahe_mrta_v3,1.10
78.000,robot_failure,robot_2,,ahe_mrta_v3,0.00
80.000,allocation_run,,,ahe_mrta_v3,1.26
85.000,allocation_run,,,ahe_mrta_v3,0.81
90.000,allocation_run,,,ahe_mrta_v3,2.62
95.000,allocation_run,,,ahe_mrta_v3,1.81
100.000,allocation_run,,,ahe_mrta_v3,1.76
105.000,allocation_run,,,ahe_mrta_v3,1.19
110.000,allocation_run,,,ahe_mrta_v3,1.42
115.000,allocation_run,,,ahe_mrta_v3,1.54
120.000,allocation_run,,,ahe_mrta_v3,2.22
125.000,allocation_run,,,ahe_mrta_v3,1.49
130.000,allocation_run,,,ahe_mrta_v3,1.33
135.000,allocation_run,,,ahe_mrta_v3,1.38
140.000,allocation_run,,,ahe_mrta_v3,1.00
145.000,allocation_run,,,ahe_mrta_v3,0.99
150.000,allocation_run,,,ahe_mrta_v3,1.02
155.000,allocation_run,,,ahe_mrta_v3,0.99
160.000,allocation_run,,,ahe_mrta_v3,0.72
165.000,allocation_run,,,ahe_mrta_v3,0.71
170.000,allocation_run,,,ahe_mrta_v3,1.31
