timestamp_s,strategy,alloc_num,tasks_in_queues,latency_ms
30.000,ahe_mrta_v3,1,5,2.97
35.000,ahe_mrta_v3,2,5,0.97
40.000,ahe_mrta_v3,3,5,0.32
45.000,ahe_mrta_v3,4,5,0.32
50.000,ahe_mrta_v3,5,5,1.02
55.000,ahe_mrta_v3,6,5,1.03
60.000,ahe_mrta_v3,7,10,2.19
65.000,ahe_mrta_v3,8,9,1.81
70.000,ahe_mrta_v3,9,7,1.28
75.000,ahe_mrta_v3,10,7,1.62
80.000,ahe_mrta_v3,11,7,1.11
85.000,ahe_mrta_v3,12,7,0.89
90.000,ahe_mrta_v3,13,8,2.43
95.000,ahe_mrta_v3,14,8,2.21
100.000,ahe_mrta_v3,15,6,1.92
105.000,ahe_mrta_v3,16,5,1.86
110.000,ahe_mrta_v3,17,5,1.32
115.000,ahe_mrta_v3,18,4,1.34
120.000,ahe_mrta_v3,19,4,2.48
125.000,ahe_mrta_v3,20,5,1.70
130.000,ahe_mrta_v3,21,4,1.40
135.000,ahe_mrta_v3,22,4,2.03
140.000,ahe_mrta_v3,23,5,1.53
145.000,ahe_mrta_v3,24,4,0.95
150.000,ahe_mrta_v3,25,4,1.02
155.000,ahe_mrta_v3,26,4,1.20
160.000,ahe_mrta_v3,27,4,1.10
165.000,ahe_mrta_v3,28,4,1.20
170.000,ahe_mrta_v3,29,5,0.99
