timestamp_s,robot_id,x,y,battery_state,nav_state,avail_state,current_task_id,failure_flag
30.000,robot_1,0.000,-0.000,0,0,0,,0
30.000,robot_2,0.000,-0.000,0,0,0,,0
30.000,robot_3,0.000,-0.000,0,0,0,,0
30.000,robot_4,0.000,-0.000,0,0,0,,0
30.000,robot_5,0.000,-0.000,0,0,0,,0
32.000,robot_1,0.305,-0.055,0,1,0,task_008,0
32.000,robot_2,0.000,-0.000,0,1,0,task_002,0
32.000,robot_3,0.186,0.037,0,1,0,task_001,0
32.000,robot_4,0.120,-0.088,0,1,0,task_003,0
32.000,robot_5,0.330,-0.004,0,1,0,task_004,0
34.000,robot_1,0.789,-0.250,0,1,0,task_008,0
34.000,robot_2,-0.346,0.107,0,1,0,task_002,0
34.000,robot_3,0.594,0.323,0,1,0,task_001,0
34.000,robot_4,0.423,-0.504,0,1,0,task_003,0
34.000,robot_5,0.851,-0.021,0,1,0,task_004,0
36.000,robot_1,1.260,-0.475,0,1,0,task_008,0
36.000,robot_2,-0.740,0.089,0,1,0,task_002,0
36.000,robot_3,0.963,0.691,0,1,0,task_001,0
36.000,robot_4,0.672,-0.962,0,1,0,task_003,0
36.000,robot_5,1.372,-0.054,0,1,0,task_004,0
38.000,robot_1,1.719,-0.703,0,1,0,task_008,0
38.000,robot_2,-0.777,0.080,0,1,0,,0
38.000,robot_3,1.325,1.054,0,1,0,task_001,0
38.000,robot_4,0.917,-1.412,0,1,0,task_003,0
38.000,robot_5,1.878,-0.132,0,1,0,task_004,0
40.000,robot_1,2.179,-0.948,0,1,0,task_008,0
40.000,robot_2,-0.777,0.080,0,0,0,,0
40.000,robot_3,1.697,1.420,0,1,0,task_001,0
40.000,robot_4,1.172,-1.867,0,1,0,task_003,0
40.000,robot_5,2.378,-0.280,0,1,0,task_004,0
42.000,robot_1,2.639,-1.194,0,1,0,task_008,0
42.000,robot_2,-0.777,0.080,0,0,0,,0
42.000,robot_3,2.067,1.787,0,1,0,task_001,0
42.000,robot_4,1.432,-2.319,0,1,0,task_003,0
42.000,robot_5,2.832,-0.532,0,1,0,task_004,0
44.000,robot_1,3.099,-1.440,0,1,0,task_008,0
44.000,robot_2,-0.777,0.080,0,0,0,,0
44.000,robot_3,2.437,2.155,0,1,0,task_001,0
44.000,robot_4,1.698,-2.768,0,1,0,task_003,0
44.000,robot_5,3.191,-0.909,0,1,0,task_004,0
46.000,robot_1,3.548,-1.703,0,1,0,task_008,0
46.000,robot_2,-0.777,0.080,0,0,0,,0
46.000,robot_3,2.807,2.522,0,1,0,task_001,0
46.000,robot_4,1.971,-3.212,0,1,0,task_003,0
46.000,robot_5,3.499,-1.329,0,1,0,task_004,0
48.000,robot_1,3.799,-1.863,0,1,0,,0
48.000,robot_2,-0.777,0.080,0,0,0,,0
48.000,robot_3,3.116,2.941,0,1,0,task_001,0
48.000,robot_4,2.254,-3.650,0,1,0,task_003,0
48.000,robot_5,3.776,-1.710,0,1,0,task_004,0
50.000,robot_1,3.914,-1.726,0,1,0,task_007,0
50.000,robot_2,-0.777,0.080,0,0,0,,0
50.000,robot_3,3.365,3.389,0,1,0,task_001,0
50.000,robot_4,2.545,-4.072,0,1,0,task_003,0
50.000,robot_5,3.920,-1.816,0,1,0,task_006,0
52.000,robot_1,4.107,-1.244,0,1,0,task_007,0
52.000,robot_2,-0.777,0.080,0,0,0,,0
52.000,robot_3,3.608,3.851,0,1,0,task_001,0
52.000,robot_4,2.834,-4.506,0,1,0,task_003,0
52.000,robot_5,4.441,-1.814,0,1,0,task_006,0
54.000,robot_1,4.252,-0.743,0,1,0,task_007,0
54.000,robot_2,-0.777,0.080,0,0,0,,0
54.000,robot_3,3.864,4.305,0,1,0,task_001,0
54.000,robot_4,2.990,-4.986,0,1,0,task_003,0
54.000,robot_5,4.963,-1.807,0,1,0,task_006,0
56.000,robot_1,4.413,-0.247,0,1,0,task_007,0
56.000,robot_2,-0.777,0.080,0,0,0,,0
56.000,robot_3,4.134,4.751,0,1,0,task_001,0
56.000,robot_4,2.894,-5.380,0,1,0,task_003,0
56.000,robot_5,5.484,-1.806,0,1,0,task_006,0
58.000,robot_1,4.594,0.242,0,1,0,task_007,0
58.000,robot_2,-0.777,0.080,0,0,0,,0
58.000,robot_3,4.419,5.188,0,1,0,task_001,0
58.000,robot_4,2.532,-5.738,0,1,0,task_003,0
58.000,robot_5,6.006,-1.814,0,1,0,task_006,0
60.000,robot_1,4.794,0.714,0,1,0,task_007,0
60.000,robot_2,-0.777,0.080,0,0,0,,0
60.000,robot_3,4.705,5.606,0,1,0,task_001,0
60.000,robot_4,2.225,-5.909,0,1,0,task_003,0
60.000,robot_5,6.513,-1.852,0,1,0,task_006,0
62.000,robot_1,5.006,1.190,0,1,0,task_007,0
62.000,robot_2,-0.653,0.128,0,1,0,task_010,0
62.000,robot_3,4.854,5.809,0,1,0,,0
62.000,robot_4,2.218,-5.912,0,0,0,,0
62.000,robot_5,6.779,-1.916,0,0,0,,0
64.000,robot_1,5.374,1.537,0,1,0,task_007,0
64.000,robot_2,-0.283,0.455,0,1,0,task_010,0
64.000,robot_3,4.854,5.809,0,1,0,task_005,0
64.000,robot_4,2.361,-6.156,0,1,0,task_014,0
64.000,robot_5,6.759,-1.887,0,1,0,task_016,0
66.000,robot_1,5.873,1.679,0,1,0,task_007,0
66.000,robot_2,0.047,0.859,0,1,0,task_010,0
66.000,robot_3,4.435,5.920,0,1,0,task_005,0
66.000,robot_4,2.513,-6.654,0,1,0,task_014,0
66.000,robot_5,6.457,-1.675,0,1,0,task_016,0
68.000,robot_1,6.393,1.719,0,1,0,task_007,0
68.000,robot_2,0.371,1.268,0,1,0,task_010,0
68.000,robot_3,3.915,5.957,0,1,0,task_005,0
68.000,robot_4,2.645,-7.158,0,1,0,task_014,0
68.000,robot_5,5.819,-1.599,0,1,0,task_016,0
70.000,robot_1,6.914,1.728,0,1,0,task_007,0
70.000,robot_2,0.693,1.678,0,1,0,task_010,0
70.000,robot_3,3.394,5.973,0,1,0,task_005,0
70.000,robot_4,2.808,-7.628,0,1,0,task_014,0
70.000,robot_5,5.423,-1.569,0,1,0,task_016,0
72.000,robot_1,7.426,1.752,0,1,0,task_007,0
72.000,robot_2,1.012,2.080,0,1,2,task_010,0
72.000,robot_3,2.882,5.993,0,1,0,task_005,0
72.000,robot_4,2.885,-7.794,0,1,0,,0
72.000,robot_5,4.940,-1.404,0,1,0,task_016,0
74.000,robot_1,7.948,1.769,0,1,0,task_007,0
74.000,robot_2,1.335,2.489,0,1,2,task_010,0
74.000,robot_3,2.363,6.042,0,1,0,task_005,0
74.000,robot_4,2.960,-7.665,0,1,0,task_013,0
74.000,robot_5,4.483,-1.153,0,1,0,task_016,0
76.000,robot_1,8.467,1.816,0,1,0,task_007,0
76.000,robot_2,1.658,2.898,0,1,2,task_010,0
76.000,robot_3,1.850,6.137,0,1,0,task_005,0
76.000,robot_4,3.041,-7.168,0,1,0,task_013,0
76.000,robot_5,4.035,-0.886,0,1,0,task_016,0
78.000,robot_1,8.779,1.901,0,1,0,,0
78.000,robot_2,1.978,3.310,0,1,2,task_010,0
78.000,robot_3,1.332,6.200,0,1,0,task_005,0
78.000,robot_4,3.053,-6.646,0,1,0,task_013,0
78.000,robot_5,3.586,-0.620,0,1,0,task_016,0
80.000,robot_1,8.721,1.939,0,1,0,task_011,0
80.000,robot_2,2.303,3.718,0,1,2,task_010,0
80.000,robot_3,0.687,6.202,0,1,0,task_005,0
80.000,robot_4,3.053,-6.001,0,1,0,task_013,0
80.000,robot_5,3.027,-0.297,0,1,0,task_016,0
82.000,robot_1,8.270,2.039,0,1,0,task_011,0
82.000,robot_2,2.703,4.225,0,1,2,task_010,0
82.000,robot_3,0.166,6.176,0,1,0,task_005,0
82.000,robot_4,3.051,-5.479,0,1,0,task_013,0
82.000,robot_5,2.585,-0.021,0,1,0,task_016,0
84.000,robot_1,7.749,2.050,0,1,0,task_011,0
84.000,robot_2,3.010,4.646,0,1,2,task_010,0
84.000,robot_3,-0.219,6.127,0,1,0,task_005,0
84.000,robot_4,3.036,-5.091,0,1,0,task_013,0
84.000,robot_5,2.255,0.185,0,1,0,task_016,0
86.000,robot_1,7.394,2.046,0,1,0,task_011,0
86.000,robot_2,3.221,4.973,0,1,2,task_010,0
86.000,robot_3,-0.733,6.041,0,1,0,task_005,0
86.000,robot_4,2.883,-4.656,0,1,0,task_013,0
86.000,robot_5,1.811,0.458,0,1,0,task_016,0
88.000,robot_1,7.239,2.034,0,1,0,task_011,0
88.000,robot_2,3.505,5.410,0,1,2,task_010,0
88.000,robot_3,-1.228,6.051,0,1,0,task_005,0
