timestamp_s,strategy,alloc_num,footprint_bytes
30.000,ahe_mrta_v3,1,68
35.001,ahe_mrta_v3,2,68
40.000,ahe_mrta_v3,3,68
45.000,ahe_mrta_v3,4,68
50.000,ahe_mrta_v3,5,60
60.000,ahe_mrta_v3,6,80
65.000,ahe_mrta_v3,7,80
70.000,ahe_mrta_v3,8,72
75.000,ahe_mrta_v3,9,64
80.000,ahe_mrta_v3,10,64
85.000,ahe_mrta_v3,11,60
90.000,ahe_mrta_v3,12,72
95.000,ahe_mrta_v3,13,72
100.000,ahe_mrta_v3,14,72
105.000,ahe_mrta_v3,15,72
110.000,ahe_mrta_v3,16,68
115.000,ahe_mrta_v3,17,60
120.000,ahe_mrta_v3,18,64
125.000,ahe_mrta_v3,19,60
130.000,ahe_mrta_v3,20,60
135.000,ahe_mrta_v3,21,60
140.000,ahe_mrta_v3,22,56
145.000,ahe_mrta_v3,23,60
150.000,ahe_mrta_v3,24,60
155.000,ahe_mrta_v3,25,52
160.000,ahe_mrta_v3,26,56
165.000,ahe_mrta_v3,27,56
