timestamp_s,robot_id,x,y,battery_state,nav_state,avail_state,current_task_id,failure_flag
30.001,robot_1,0.000,-0.000,0,0,0,,0
30.001,robot_2,0.000,-0.000,0,0,0,,0
30.001,robot_3,0.000,-0.000,0,0,0,,0
30.001,robot_4,0.000,-0.000,0,0,0,,0
30.001,robot_5,0.000,-0.000,0,0,0,,0
32.000,robot_1,0.329,0.009,0,1,0,task_017,0
32.000,robot_2,0.161,0.040,0,1,0,task_014,0
32.000,robot_3,0.191,-0.038,0,1,0,task_013,0
32.000,robot_4,0.329,0.009,0,1,0,task_012,0
32.000,robot_5,0.298,0.054,0,1,0,task_019,0
34.000,robot_1,0.847,0.037,0,1,0,task_017,0
34.000,robot_2,0.561,0.333,0,1,0,task_014,0
34.000,robot_3,0.607,-0.319,0,1,0,task_013,0
34.000,robot_4,0.847,0.038,0,1,0,task_012,0
34.000,robot_5,0.782,0.250,0,1,0,task_019,0
36.000,robot_1,1.343,0.167,0,1,0,task_017,0
36.000,robot_2,0.921,0.711,0,1,0,task_014,0
36.000,robot_3,0.983,-0.680,0,1,0,task_013,0
36.000,robot_4,1.343,0.167,0,1,0,task_012,0
36.000,robot_5,1.253,0.474,0,1,0,task_019,0
38.000,robot_1,1.842,0.284,0,1,0,task_017,0
38.000,robot_2,1.269,1.087,0,1,0,task_014,0
38.000,robot_3,1.348,-1.040,0,1,0,task_013,0
38.000,robot_4,1.842,0.284,0,1,0,task_012,0
38.000,robot_5,1.711,0.703,0,1,0,task_019,0
40.000,robot_1,2.487,0.389,0,1,0,task_017,0
40.000,robot_2,1.715,1.566,0,1,0,task_014,0
40.000,robot_3,1.814,-1.499,0,1,0,task_013,0
40.000,robot_4,2.486,0.392,0,1,0,task_012,0
40.000,robot_5,2.292,1.004,0,1,0,task_019,0
42.000,robot_1,2.941,0.638,0,1,0,task_017,0
42.000,robot_2,2.071,1.946,0,1,0,task_014,0
42.000,robot_3,2.188,-1.863,0,1,0,task_013,0
42.000,robot_4,2.861,0.638,0,1,0,task_012,0
42.000,robot_5,2.753,1.248,0,1,0,task_019,0
44.000,robot_1,3.207,0.920,0,1,0,task_017,0
44.000,robot_2,2.337,2.230,0,1,0,task_014,0
44.000,robot_3,2.467,-2.134,0,1,0,task_013,0
44.000,robot_4,3.031,0.972,0,1,0,task_012,0
44.000,robot_5,3.093,1.437,0,1,0,task_019,0
46.000,robot_1,3.517,1.339,0,1,0,task_017,0
46.000,robot_2,2.693,2.611,0,1,0,task_014,0
46.000,robot_3,2.813,-2.523,0,1,0,task_013,0
46.000,robot_4,3.135,1.482,0,1,0,task_012,0
46.000,robot_5,3.543,1.699,0,1,0,task_019,0
48.000,robot_1,3.788,1.716,0,1,0,task_017,0
48.000,robot_2,3.050,2.992,0,1,0,task_014,0
48.000,robot_3,3.030,-2.995,0,1,0,task_013,0
48.000,robot_4,3.203,1.999,0,1,0,task_012,0
48.000,robot_5,3.803,1.863,0,1,0,,0
50.000,robot_1,3.855,1.808,0,1,0,task_009,0
50.000,robot_2,3.403,3.364,0,1,0,task_014,0
50.000,robot_3,3.148,-3.494,0,1,0,task_013,0
50.000,robot_4,3.275,2.507,0,1,0,task_012,0
50.000,robot_5,4.179,1.897,0,1,0,task_011,0
52.000,robot_1,4.274,1.532,0,1,0,task_009,0
52.000,robot_2,3.789,3.775,0,1,0,task_014,0
52.000,robot_3,3.289,-4.133,0,1,0,task_013,0
52.000,robot_4,3.384,3.152,0,1,0,task_012,0
52.000,robot_5,4.720,1.946,0,1,0,task_011,0
54.000,robot_1,4.534,1.243,0,1,0,task_009,0
54.000,robot_2,3.836,3.825,0,1,0,task_016,0
54.000,robot_3,3.386,-4.509,0,1,0,task_013,0
54.000,robot_4,3.468,3.532,0,1,0,task_012,0
54.000,robot_5,4.985,1.980,0,1,0,task_003,0
56.000,robot_1,4.860,0.836,0,1,0,task_009,0
56.000,robot_2,3.815,3.663,0,1,0,task_016,0
56.000,robot_3,3.544,-5.006,0,1,0,task_013,0
56.000,robot_4,3.601,4.036,0,1,0,task_012,0
56.000,robot_5,5.505,2.022,0,1,0,task_003,0
58.000,robot_1,5.205,0.446,0,1,0,task_009,0
58.000,robot_2,3.577,3.214,0,1,0,task_016,0
