timestamp_s,event_type,robot_id,task_id,strategy,latency_ms
30.000,allocation_run,,,ahe_mrta_v3,8.56
35.000,allocation_run,,,ahe_mrta_v3,3.08
40.000,allocation_run,,,ahe_mrta_v3,0.27
45.000,allocation_run,,,ahe_mrta_v3,0.28
50.000,allocation_run,,,ahe_mrta_v3,3.75
55.000,allocation_run,,,ahe_mrta_v3,3.38
60.000,allocation_run,,,ahe_mrta_v3,0.22
65.000,allocation_run,,,ahe_mrta_v3,2.79
70.000,allocation_run,,,ahe_mrta_v3,2.33
73.001,robot_failure,robot_2,,ahe_mrta_v3,0.00
75.000,allocation_run,,,ahe_mrta_v3,2.61
80.000,allocation_run,,,ahe_mrta_v3,1.84
85.000,allocation_run,,,ahe_mrta_v3,2.12
90.000,allocation_run,,,ahe_mrta_v3,1.40
95.000,allocation_run,,,ahe_mrta_v3,1.41
100.000,allocation_run,,,ahe_mrta_v3,1.43
105.000,allocation_run,,,ahe_mrta_v3,1.41
110.000,allocation_run,,,ahe_mrta_v3,1.03
115.000,allocation_run,,,ahe_mrta_v3,0.95
120.000,allocation_run,,,ahe_mrta_v3,0.80
125.000,allocation_run,,,ahe_mrta_v3,1.14
130.000,allocation_run,,,ahe_mrta_v3,1.00
135.000,allocation_run,,,ahe_mrta_v3,0.68
140.000,allocation_run,,,ahe_mrta_v3,0.89
145.000,allocation_run,,,ahe_mrta_v3,0.90
150.000,allocation_run,,,ahe_mrta_v3,0.76
155.000,allocation_run,,,ahe_mrta_v3,1.00
160.000,allocation_run,,,ahe_mrta_v3,0.94
165.000,allocation_run,,,ahe_mrta_v3,0.74
170.000,allocation_run,,,ahe_mrta_v3,1.27
175.000,allocation_run,,,ahe_mrta_v3,0.63
