timestamp_s,strategy,alloc_num,tasks_in_queues,latency_ms
30.000,ahe_mrta_v3,1,10,7.19
35.000,ahe_mrta_v3,2,10,2.41
40.000,ahe_mrta_v3,3,10,0.20
45.000,ahe_mrta_v3,4,10,0.31
50.000,ahe_mrta_v3,5,10,2.45
55.000,ahe_mrta_v3,6,10,2.67
60.000,ahe_mrta_v3,7,10,2.69
65.000,ahe_mrta_v3,8,10,3.18
70.000,ahe_mrta_v3,9,10,2.07
75.000,ahe_mrta_v3,10,8,1.71
80.000,ahe_mrta_v3,11,8,2.48
85.000,ahe_mrta_v3,12,8,1.89
90.000,ahe_mrta_v3,13,7,1.89
95.000,ahe_mrta_v3,14,7,1.73
100.000,ahe_mrta_v3,15,7,1.47
105.000,ahe_mrta_v3,16,7,1.44
110.000,ahe_mrta_v3,17,6,0.83
115.000,ahe_mrta_v3,18,6,1.09
120.001,ahe_mrta_v3,19,6,0.80
125.000,ahe_mrta_v3,20,6,0.83
130.000,ahe_mrta_v3,21,6,0.93
135.000,ahe_mrta_v3,22,5,0.75
140.000,ahe_mrta_v3,23,5,0.87
145.000,ahe_mrta_v3,24,5,0.92
150.000,ahe_mrta_v3,25,4,0.54
155.000,ahe_mrta_v3,26,4,1.02
160.000,ahe_mrta_v3,27,4,0.77
165.000,ahe_mrta_v3,28,4,0.81
170.000,ahe_mrta_v3,29,4,0.72
175.000,ahe_mrta_v3,30,4,0.87
