timestamp_s,task_id,event,robot_id,strategy,scenario,seed
29.000,task_001,activated,,ahe_mrta_v3,robot_failure,14
29.000,task_002,activated,,ahe_mrta_v3,robot_failure,14
29.000,task_003,activated,,ahe_mrta_v3,robot_failure,14
29.000,task_004,activated,,ahe_mrta_v3,robot_failure,14
29.000,task_005,activated,,ahe_mrta_v3,robot_failure,14
29.000,task_006,activated,,ahe_mrta_v3,robot_failure,14
29.000,task_007,activated,,ahe_mrta_v3,robot_failure,14
29.000,task_008,activated,,ahe_mrta_v3,robot_failure,14
29.000,task_009,activated,,ahe_mrta_v3,robot_failure,14
29.000,task_010,activated,,ahe_mrta_v3,robot_failure,14
29.000,task_011,activated,,ahe_mrta_v3,robot_failure,14
29.000,task_012,activated,,ahe_mrta_v3,robot_failure,14
29.000,task_013,activated,,ahe_mrta_v3,robot_failure,14
29.000,task_014,activated,,ahe_mrta_v3,robot_failure,14
29.000,task_015,activated,,ahe_mrta_v3,robot_failure,14
29.000,task_016,activated,,ahe_mrta_v3,robot_failure,14
29.000,task_017,activated,,ahe_mrta_v3,robot_failure,14
29.000,task_018,activated,,ahe_mrta_v3,robot_failure,14
29.000,task_019,activated,,ahe_mrta_v3,robot_failure,14
29.000,task_020,activated,,ahe_mrta_v3,robot_failure,14
29.000,task_021,activated,,ahe_mrta_v3,robot_failure,14
29.000,task_022,activated,,ahe_mrta_v3,robot_failure,14
29.000,task_023,activated,,ahe_mrta_v3,robot_failure,14
29.000,task_024,activated,,ahe_mrta_v3,robot_failure,14
29.000,task_025,activated,,ahe_mrta_v3,robot_failure,14
30.000,task_002,assigned,robot_1,ahe_mrta_v3,robot_failure,14
30.000,task_012,assigned,robot_1,ahe_mrta_v3,robot_failure,14
30.000,task_020,assigned,robot_2,ahe_mrta_v3,robot_failure,14
30.000,task_019,assigned,robot_2,ahe_mrta_v3,robot_failure,14
30.000,task_006,assigned,robot_3,ahe_mrta_v3,robot_failure,14
30.000,task_004,assigned,robot_3,ahe_mrta_v3,robot_failure,14
30.000,task_015,assigned,robot_4,ahe_mrta_v3,robot_failure,14
30.000,task_017,assigned,robot_4,ahe_mrta_v3,robot_failure,14
30.000,task_005,assigned,robot_5,ahe_mrta_v3,robot_failure,14
30.000,task_009,assigned,robot_5,ahe_mrta_v3,robot_failure,14
47.881,task_006,completed,robot_3,ahe_mrta_v3,robot_failure,14
50.000,task_018,assigned,robot_3,ahe_mrta_v3,robot_failure,14
51.170,task_005,completed,robot_5,ahe_mrta_v3,robot_failure,14
55.000,task_023,assigned,robot_5,ahe_mrta_v3,robot_failure,14
56.293,task_002,completed,robot_1,ahe_mrta_v3,robot_failure,14
60.000,task_007,assigned,robot_1,ahe_mrta_v3,robot_failure,14
62.431,task_020,completed,robot_2,ahe_mrta_v3,robot_failure,14
63.968,task_015,completed,robot_4,ahe_mrta_v3,robot_failure,14
65.000,task_003,assigned,robot_2,ahe_mrta_v3,robot_failure,14
65.000,task_001,assigned,robot_4,ahe_mrta_v3,robot_failure,14
66.177,task_009,completed,robot_5,ahe_mrta_v3,robot_failure,14
67.278,task_019,completed,robot_2,ahe_mrta_v3,robot_failure,14
69.680,task_004,completed,robot_3,ahe_mrta_v3,robot_failure,14
70.000,task_024,assigned,robot_2,ahe_mrta_v3,robot_failure,14
70.000,task_008,assigned,robot_3,ahe_mrta_v3,robot_failure,14
70.000,task_011,assigned,robot_5,ahe_mrta_v3,robot_failure,14
72.225,task_023,completed,robot_5,ahe_mrta_v3,robot_failure,14
75.000,task_025,assigned,robot_5,ahe_mrta_v3,robot_failure,14
76.146,task_003,completed,robot_2,ahe_mrta_v3,robot_failure,14
76.883,task_017,completed,robot_4,ahe_mrta_v3,robot_failure,14
77.745,task_012,completed,robot_1,ahe_mrta_v3,robot_failure,14
77.850,task_018,completed,robot_3,ahe_mrta_v3,robot_failure,14
79.044,task_011,completed,robot_5,ahe_mrta_v3,robot_failure,14
80.000,task_016,assigned,robot_1,ahe_mrta_v3,robot_failure,14
80.000,task_024,assigned,robot_3,ahe_mrta_v3,robot_failure,14
80.000,task_022,assigned,robot_4,ahe_mrta_v3,robot_failure,14
80.000,task_021,assigned,robot_5,ahe_mrta_v3,robot_failure,14
87.434,task_025,completed,robot_5,ahe_mrta_v3,robot_failure,14
90.152,task_008,completed,robot_3,ahe_mrta_v3,robot_failure,14
91.566,task_001,completed,robot_4,ahe_mrta_v3,robot_failure,14
95.000,task_013,assigned,robot_4,ahe_mrta_v3,robot_failure,14
96.768,task_007,completed,robot_1,ahe_mrta_v3,robot_failure,14
100.000,task_010,assigned,robot_1,ahe_mrta_v3,robot_failure,14
104.625,task_021,completed,robot_5,ahe_mrta_v3,robot_failure,14
105.000,task_014,assigned,robot_5,ahe_mrta_v3,robot_failure,14
116.630,task_024,completed,robot_2,ahe_mrta_v3,robot_failure,14
144.964,task_022,completed,robot_4,ahe_mrta_v3,robot_failure,14
162.400,task_016,completed,robot_1,ahe_mrta_v3,robot_failure,14
169.371,task_010,completed,robot_1,ahe_mrta_v3,robot_failure,14
178.663,task_013,completed,robot_4,ahe_mrta_v3,robot_failure,14
185.779,task_014,completed,robot_5,ahe_mrta_v3,robot_failure,14
