timestamp_s,strategy,alloc_num,footprint_bytes
30.000,ahe_mrta_v3,1,80
35.000,ahe_mrta_v3,2,80
40.000,ahe_mrta_v3,3,80
45.000,ahe_mrta_v3,4,80
50.000,ahe_mrta_v3,5,80
55.000,ahe_mrta_v3,6,80
60.000,ahe_mrta_v3,7,80
65.000,ahe_mrta_v3,8,80
70.000,ahe_mrta_v3,9,80
75.000,ahe_mrta_v3,10,80
80.000,ahe_mrta_v3,11,72
85.000,ahe_mrta_v3,12,72
90.000,ahe_mrta_v3,13,72
95.000,ahe_mrta_v3,14,72
100.000,ahe_mrta_v3,15,72
105.000,ahe_mrta_v3,16,68
110.000,ahe_mrta_v3,17,64
115.000,ahe_mrta_v3,18,64
120.000,ahe_mrta_v3,19,64
125.000,ahe_mrta_v3,20,64
130.000,ahe_mrta_v3,21,64
135.000,ahe_mrta_v3,22,64
140.000,ahe_mrta_v3,23,60
145.000,ahe_mrta_v3,24,64
150.000,ahe_mrta_v3,25,64
155.000,ahe_mrta_v3,26,60
160.000,ahe_mrta_v3,27,60
165.000,ahe_mrta_v3,28,60
170.000,ahe_mrta_v3,29,56
175.000,ahe_mrta_v3,30,52
180.000,ahe_mrta_v3,31,52
185.000,ahe_mrta_v3,32,56
190.000,ahe_mrta_v3,33,56
195.000,ahe_mrta_v3,34,56
200.000,ahe_mrta_v3,35,56
205.000,ahe_mrta_v3,36,56
210.000,ahe_mrta_v3,37,52
215.000,ahe_mrta_v3,38,52
265.000,ahe_mrta_v3,39,44
310.000,ahe_mrta_v3,40,40
355.000,ahe_mrta_v3,41,40
400.000,ahe_mrta_v3,42,40
480.000,ahe_mrta_v3,43,40
525.000,ahe_mrta_v3,44,40
570.000,ahe_mrta_v3,45,40
615.000,ahe_mrta_v3,46,40
665.000,ahe_mrta_v3,47,40
710.000,ahe_mrta_v3,48,40
755.000,ahe_mrta_v3,49,40
800.000,ahe_mrta_v3,50,40
850.000,ahe_mrta_v3,51,40
895.000,ahe_mrta_v3,52,40
