timestamp_s,strategy,alloc_num,footprint_bytes
30.000,ahe_mrta_v3,1,60
35.000,ahe_mrta_v3,2,80
40.000,ahe_mrta_v3,3,80
45.000,ahe_mrta_v3,4,80
50.000,ahe_mrta_v3,5,80
55.000,ahe_mrta_v3,6,80
60.000,ahe_mrta_v3,7,76
65.000,ahe_mrta_v3,8,76
70.000,ahe_mrta_v3,9,64
75.000,ahe_mrta_v3,10,60
80.000,ahe_mrta_v3,11,64
85.000,ahe_mrta_v3,12,64
90.000,ahe_mrta_v3,13,68
95.000,ahe_mrta_v3,14,68
100.000,ahe_mrta_v3,15,60
105.000,ahe_mrta_v3,16,60
110.000,ahe_mrta_v3,17,52
115.000,ahe_mrta_v3,18,60
120.000,ahe_mrta_v3,19,56
125.000,ahe_mrta_v3,20,48
130.000,ahe_mrta_v3,21,60
135.000,ahe_mrta_v3,22,60
140.000,ahe_mrta_v3,23,60
145.000,ahe_mrta_v3,24,56
150.000,ahe_mrta_v3,25,56
155.000,ahe_mrta_v3,26,60
160.000,ahe_mrta_v3,27,56
