timestamp_s,event_type,robot_id,task_id,strategy,latency_ms
30.000,allocation_run,,,ahe_mrta_v3,2.50
35.000,allocation_run,,,ahe_mrta_v3,2.17
40.000,allocation_run,,,ahe_mrta_v3,1.13
45.000,allocation_run,,,ahe_mrta_v3,1.14
50.000,allocation_run,,,ahe_mrta_v3,1.27
55.000,allocation_run,,,ahe_mrta_v3,1.38
60.000,allocation_run,,,ahe_mrta_v3,1.22
65.000,allocation_run,,,ahe_mrta_v3,1.38
70.000,allocation_run,,,ahe_mrta_v3,1.19
75.000,allocation_run,,,ahe_mrta_v3,1.06
80.000,allocation_run,,,ahe_mrta_v3,1.06
85.000,allocation_run,,,ahe_mrta_v3,0.89
90.000,allocation_run,,,ahe_mrta_v3,1.08
95.000,allocation_run,,,ahe_mrta_v3,0.93
100.001,allocation_run,,,ahe_mrta_v3,0.48
105.000,allocation_run,,,ahe_mrta_v3,0.96
110.000,allocation_run,,,ahe_mrta_v3,0.98
115.000,allocation_run,,,ahe_mrta_v3,0.87
120.001,allocation_run,,,ahe_mrta_v3,0.96
