timestamp_s,strategy,alloc_num,tasks_in_queues,latency_ms
30.000,ahe_mrta_v3,1,5,2.17
35.000,ahe_mrta_v3,2,10,1.56
40.000,ahe_mrta_v3,3,10,1.45
45.000,ahe_mrta_v3,4,10,1.33
50.000,ahe_mrta_v3,5,10,1.46
55.000,ahe_mrta_v3,6,9,1.29
60.000,ahe_mrta_v3,7,8,1.06
65.000,ahe_mrta_v3,8,7,1.15
70.000,ahe_mrta_v3,9,7,1.01
75.000,ahe_mrta_v3,10,7,1.12
80.000,ahe_mrta_v3,11,6,0.95
85.000,ahe_mrta_v3,12,5,0.99
90.000,ahe_mrta_v3,13,5,1.14
95.000,ahe_mrta_v3,14,5,1.45
100.000,ahe_mrta_v3,15,5,0.88
105.000,ahe_mrta_v3,16,5,0.77
110.000,ahe_mrta_v3,17,5,0.47
115.000,ahe_mrta_v3,18,5,0.96
120.000,ahe_mrta_v3,19,5,0.78
125.000,ahe_mrta_v3,20,5,0.52
130.000,ahe_mrta_v3,21,5,0.84
