timestamp_s,task_id,event,robot_id,strategy,scenario,seed
29.000,task_001,activated,,ahe_mrta_v3,deadline_pressure,20
29.000,task_002,activated,,ahe_mrta_v3,deadline_pressure,20
29.000,task_003,activated,,ahe_mrta_v3,deadline_pressure,20
29.000,task_004,activated,,ahe_mrta_v3,deadline_pressure,20
29.000,task_005,activated,,ahe_mrta_v3,deadline_pressure,20
29.000,task_006,activated,,ahe_mrta_v3,deadline_pressure,20
29.000,task_007,activated,,ahe_mrta_v3,deadline_pressure,20
29.000,task_008,activated,,ahe_mrta_v3,deadline_pressure,20
29.000,task_009,activated,,ahe_mrta_v3,deadline_pressure,20
29.000,task_010,activated,,ahe_mrta_v3,deadline_pressure,20
29.000,task_011,activated,,ahe_mrta_v3,deadline_pressure,20
29.000,task_012,activated,,ahe_mrta_v3,deadline_pressure,20
29.000,task_013,activated,,ahe_mrta_v3,deadline_pressure,20
29.000,task_014,activated,,ahe_mrta_v3,deadline_pressure,20
29.000,task_015,activated,,ahe_mrta_v3,deadline_pressure,20
29.000,task_016,activated,,ahe_mrta_v3,deadline_pressure,20
29.000,task_017,activated,,ahe_mrta_v3,deadline_pressure,20
29.000,task_018,activated,,ahe_mrta_v3,deadline_pressure,20
29.000,task_019,activated,,ahe_mrta_v3,deadline_pressure,20
29.000,task_020,activated,,ahe_mrta_v3,deadline_pressure,20
29.000,task_021,activated,,ahe_mrta_v3,deadline_pressure,20
29.000,task_022,activated,,ahe_mrta_v3,deadline_pressure,20
29.000,task_023,activated,,ahe_mrta_v3,deadline_pressure,20
29.000,task_024,activated,,ahe_mrta_v3,deadline_pressure,20
29.000,task_025,activated,,ahe_mrta_v3,deadline_pressure,20
30.001,task_012,assigned,robot_1,ahe_mrta_v3,deadline_pressure,20
30.001,task_018,assigned,robot_2,ahe_mrta_v3,deadline_pressure,20
30.001,task_024,assigned,robot_3,ahe_mrta_v3,deadline_pressure,20
30.001,task_023,assigned,robot_4,ahe_mrta_v3,deadline_pressure,20
30.001,task_002,assigned,robot_5,ahe_mrta_v3,deadline_pressure,20
35.000,task_021,assigned,robot_1,ahe_mrta_v3,deadline_pressure,20
35.000,task_008,assigned,robot_2,ahe_mrta_v3,deadline_pressure,20
35.000,task_001,assigned,robot_3,ahe_mrta_v3,deadline_pressure,20
35.000,task_016,assigned,robot_4,ahe_mrta_v3,deadline_pressure,20
35.000,task_006,assigned,robot_5,ahe_mrta_v3,deadline_pressure,20
37.691,task_018,completed,robot_2,ahe_mrta_v3,deadline_pressure,20
40.000,task_019,assigned,robot_2,ahe_mrta_v3,deadline_pressure,20
47.864,task_002,completed,robot_5,ahe_mrta_v3,deadline_pressure,20
50.297,task_012,completed,robot_1,ahe_mrta_v3,deadline_pressure,20
54.781,task_008,completed,robot_2,ahe_mrta_v3,deadline_pressure,20
54.857,task_006,completed,robot_5,ahe_mrta_v3,deadline_pressure,20
55.000,task_022,assigned,robot_5,ahe_mrta_v3,deadline_pressure,20
57.182,task_021,completed,robot_1,ahe_mrta_v3,deadline_pressure,20
60.000,task_015,assigned,robot_1,ahe_mrta_v3,deadline_pressure,20
60.000,task_020,assigned,robot_2,ahe_mrta_v3,deadline_pressure,20
62.078,task_023,completed,robot_4,ahe_mrta_v3,deadline_pressure,20
62.457,task_019,completed,robot_2,ahe_mrta_v3,deadline_pressure,20
69.586,task_024,completed,robot_3,ahe_mrta_v3,deadline_pressure,20
72.835,task_020,completed,robot_2,ahe_mrta_v3,deadline_pressure,20
73.478,task_016,completed,robot_4,ahe_mrta_v3,deadline_pressure,20
75.000,task_025,assigned,robot_2,ahe_mrta_v3,deadline_pressure,20
75.000,task_009,assigned,robot_4,ahe_mrta_v3,deadline_pressure,20
92.935,task_025,completed,robot_2,ahe_mrta_v3,deadline_pressure,20
94.747,task_022,completed,robot_5,ahe_mrta_v3,deadline_pressure,20
94.955,task_015,completed,robot_1,ahe_mrta_v3,deadline_pressure,20
95.000,task_017,assigned,robot_1,ahe_mrta_v3,deadline_pressure,20
95.000,task_007,assigned,robot_2,ahe_mrta_v3,deadline_pressure,20
95.000,task_005,assigned,robot_5,ahe_mrta_v3,deadline_pressure,20
103.859,task_001,completed,robot_3,ahe_mrta_v3,deadline_pressure,20
105.000,task_013,assigned,robot_3,ahe_mrta_v3,deadline_pressure,20
119.152,task_009,completed,robot_4,ahe_mrta_v3,deadline_pressure,20
120.000,task_011,assigned,robot_4,ahe_mrta_v3,deadline_pressure,20
121.968,task_013,completed,robot_3,ahe_mrta_v3,deadline_pressure,20
125.000,task_014,assigned,robot_3,ahe_mrta_v3,deadline_pressure,20
134.237,task_007,completed,robot_2,ahe_mrta_v3,deadline_pressure,20
134.237,task_005,completed,robot_5,ahe_mrta_v3,deadline_pressure,20
135.000,task_010,assigned,robot_2,ahe_mrta_v3,deadline_pressure,20
135.000,task_004,assigned,robot_5,ahe_mrta_v3,deadline_pressure,20
139.462,task_017,completed,robot_1,ahe_mrta_v3,deadline_pressure,20
139.884,task_014,completed,robot_3,ahe_mrta_v3,deadline_pressure,20
140.000,task_003,assigned,robot_1,ahe_mrta_v3,deadline_pressure,20
168.026,task_003,completed,robot_1,ahe_mrta_v3,deadline_pressure,20
181.055,task_011,completed,robot_4,ahe_mrta_v3,deadline_pressure,20
186.194,task_010,completed,robot_2,ahe_mrta_v3,deadline_pressure,20
191.234,task_004,completed,robot_5,ahe_mrta_v3,deadline_pressure,20
