task_id,x,y,priority,strategy,scenario,seed
task_001,4.000,6.000,3,ahe_mrta_v3,mixed_stress,13
task_002,0.000,-7.000,1,ahe_mrta_v3,mixed_stress,13
task_003,-2.000,7.000,1,ahe_mrta_v3,mixed_stress,13
task_004,-2.000,-4.000,1,ahe_mrta_v3,mixed_stress,13
task_005,5.000,0.000,2,ahe_mrta_v3,mixed_stress,13
task_006,-4.000,-6.000,3,ahe_mrta_v3,mixed_stress,13
task_007,-5.000,2.000,2,ahe_mrta_v3,mixed_stress,13
task_008,6.000,-6.000,2,ahe_mrta_v3,mixed_stress,13
task_009,-4.000,6.000,1,ahe_mrta_v3,mixed_stress,13
task_010,-6.000,-4.000,1,ahe_mrta_v3,mixed_stress,13
task_011,3.000,2.000,3,ahe_mrta_v3,mixed_stress,13
task_012,-1.000,6.000,2,ahe_mrta_v3,mixed_stress,13
task_013,2.000,7.000,2,ahe_mrta_v3,mixed_stress,13
task_014,-6.000,1.500,2,ahe_mrta_v3,mixed_stress,13
task_015,-6.000,6.000,3,ahe_mrta_v3,mixed_stress,13
task_016,-5.000,-2.000,3,ahe_mrta_v3,mixed_stress,13
task_017,-3.000,-2.000,1,ahe_mrta_v3,mixed_stress,13
task_018,3.000,-2.000,2,ahe_mrta_v3,mixed_stress,13
task_019,-1.000,-6.000,2,ahe_mrta_v3,mixed_stress,13
task_020,6.000,-1.500,3,ahe_mrta_v3,mixed_stress,13
task_021,0.000,7.000,1,ahe_mrta_v3,mixed_stress,13
task_022,0.000,-2.000,2,ahe_mrta_v3,mixed_stress,13
task_023,-6.000,-6.000,2,ahe_mrta_v3,mixed_stress,13
task_024,5.000,-2.000,1,ahe_mrta_v3,mixed_stress,13
task_025,-5.000,0.000,3,ahe_mrta_v3,mixed_stress,13
