timestamp_s,strategy,alloc_num,tasks_in_queues,latency_ms
30.000,ahe_mrta_v3,1,5,2.09
35.000,ahe_mrta_v3,2,8,1.42
60.000,ahe_mrta_v3,3,8,1.82
65.000,ahe_mrta_v3,4,7,0.85
70.000,ahe_mrta_v3,5,6,0.60
75.000,ahe_mrta_v3,6,5,1.13
80.000,ahe_mrta_v3,7,5,0.79
85.000,ahe_mrta_v3,8,5,0.66
90.000,ahe_mrta_v3,9,5,0.88
95.000,ahe_mrta_v3,10,5,0.50
100.000,ahe_mrta_v3,11,5,1.14
105.000,ahe_mrta_v3,12,5,0.83
110.000,ahe_mrta_v3,13,5,0.79
115.000,ahe_mrta_v3,14,4,0.75
120.000,ahe_mrta_v3,15,4,0.53
125.000,ahe_mrta_v3,16,4,0.88
130.000,ahe_mrta_v3,17,4,0.60
135.000,ahe_mrta_v3,18,4,0.70
140.000,ahe_mrta_v3,19,4,0.65
145.000,ahe_mrta_v3,20,4,1.00
150.000,ahe_mrta_v3,21,5,0.98
155.000,ahe_mrta_v3,22,5,0.58
160.000,ahe_mrta_v3,23,5,0.71
