timestamp_s,event_type,robot_id,task_id,strategy,latency_ms
30.000,allocation_run,,,ahe_mrta_v3,2.41
35.000,allocation_run,,,ahe_mrta_v3,1.34
40.000,allocation_run,,,ahe_mrta_v3,0.68
45.000,allocation_run,,,ahe_mrta_v3,0.32
50.000,allocation_run,,,ahe_mrta_v3,0.88
60.000,allocation_run,,,ahe_mrta_v3,1.45
65.000,allocation_run,,,ahe_mrta_v3,0.94
70.000,allocation_run,,,ahe_mrta_v3,0.83
71.000,robot_failure,robot_2,,ahe_mrta_v3,0.00
75.000,allocation_run,,,ahe_mrta_v3,0.64
80.000,allocation_run,,,ahe_mrta_v3,0.70
85.000,allocation_run,,,ahe_mrta_v3,0.70
90.000,allocation_run,,,ahe_mrta_v3,0.98
95.000,allocation_run,,,ahe_mrta_v3,1.03
100.000,allocation_run,,,ahe_mrta_v3,0.90
105.000,allocation_run,,,ahe_mrta_v3,0.80
110.000,allocation_run,,,ahe_mrta_v3,0.81
115.000,allocation_run,,,ahe_mrta_v3,0.59
120.000,allocation_run,,,ahe_mrta_v3,0.84
125.000,allocation_run,,,ahe_mrta_v3,0.77
130.000,allocation_run,,,ahe_mrta_v3,0.98
135.000,allocation_run,,,ahe_mrta_v3,0.59
140.000,allocation_run,,,ahe_mrta_v3,0.75
145.000,allocation_run,,,ahe_mrta_v3,0.81
150.000,allocation_run,,,ahe_mrta_v3,0.70
155.000,allocation_run,,,ahe_mrta_v3,0.55
160.000,allocation_run,,,ahe_mrta_v3,0.57
165.000,allocation_run,,,ahe_mrta_v3,0.59
170.000,allocation_run,,,ahe_mrta_v3,0.50
175.000,allocation_run,,,ahe_mrta_v3,0.74
180.000,allocation_run,,,ahe_mrta_v3,0.78
