timestamp_s,task_id,event,robot_id,strategy,scenario,seed
28.000,task_001,activated,,ahe_mrta_v3,mixed_stress,20
28.000,task_002,activated,,ahe_mrta_v3,mixed_stress,20
28.000,task_003,activated,,ahe_mrta_v3,mixed_stress,20
28.000,task_004,activated,,ahe_mrta_v3,mixed_stress,20
28.000,task_005,activated,,ahe_mrta_v3,mixed_stress,20
28.000,task_006,activated,,ahe_mrta_v3,mixed_stress,20
28.000,task_007,activated,,ahe_mrta_v3,mixed_stress,20
28.000,task_008,activated,,ahe_mrta_v3,mixed_stress,20
30.000,task_002,assigned,robot_1,ahe_mrta_v3,mixed_stress,20
30.000,task_006,assigned,robot_2,ahe_mrta_v3,mixed_stress,20
30.000,task_008,assigned,robot_3,ahe_mrta_v3,mixed_stress,20
30.000,task_003,assigned,robot_4,ahe_mrta_v3,mixed_stress,20
30.000,task_001,assigned,robot_5,ahe_mrta_v3,mixed_stress,20
42.772,task_008,completed,robot_3,ahe_mrta_v3,mixed_stress,20
45.002,task_004,assigned,robot_3,ahe_mrta_v3,mixed_stress,20
58.000,task_009,activated,,ahe_mrta_v3,mixed_stress,20
58.000,task_010,activated,,ahe_mrta_v3,mixed_stress,20
58.000,task_011,activated,,ahe_mrta_v3,mixed_stress,20
58.000,task_012,activated,,ahe_mrta_v3,mixed_stress,20
58.000,task_013,activated,,ahe_mrta_v3,mixed_stress,20
58.000,task_014,activated,,ahe_mrta_v3,mixed_stress,20
58.000,task_015,activated,,ahe_mrta_v3,mixed_stress,20
58.000,task_016,activated,,ahe_mrta_v3,mixed_stress,20
60.000,task_016,assigned,robot_2,ahe_mrta_v3,mixed_stress,20
60.000,task_010,assigned,robot_4,ahe_mrta_v3,mixed_stress,20
60.000,task_012,assigned,robot_5,ahe_mrta_v3,mixed_stress,20
65.560,task_001,completed,robot_5,ahe_mrta_v3,mixed_stress,20
65.934,task_006,completed,robot_2,ahe_mrta_v3,mixed_stress,20
69.854,task_003,completed,robot_4,ahe_mrta_v3,mixed_stress,20
76.563,task_010,completed,robot_4,ahe_mrta_v3,mixed_stress,20
79.157,task_002,completed,robot_1,ahe_mrta_v3,mixed_stress,20
80.000,task_007,assigned,robot_1,ahe_mrta_v3,mixed_stress,20
80.000,task_016,assigned,robot_4,ahe_mrta_v3,mixed_stress,20
88.000,task_017,activated,,ahe_mrta_v3,mixed_stress,20
88.000,task_018,activated,,ahe_mrta_v3,mixed_stress,20
88.000,task_019,activated,,ahe_mrta_v3,mixed_stress,20
88.000,task_020,activated,,ahe_mrta_v3,mixed_stress,20
88.000,task_021,activated,,ahe_mrta_v3,mixed_stress,20
88.000,task_022,activated,,ahe_mrta_v3,mixed_stress,20
88.000,task_023,activated,,ahe_mrta_v3,mixed_stress,20
88.000,task_024,activated,,ahe_mrta_v3,mixed_stress,20
88.000,task_025,activated,,ahe_mrta_v3,mixed_stress,20
90.000,task_024,assigned,robot_4,ahe_mrta_v3,mixed_stress,20
90.000,task_021,assigned,robot_5,ahe_mrta_v3,mixed_stress,20
91.237,task_012,completed,robot_5,ahe_mrta_v3,mixed_stress,20
92.925,task_004,completed,robot_3,ahe_mrta_v3,mixed_stress,20
95.000,task_020,assigned,robot_3,ahe_mrta_v3,mixed_stress,20
95.000,task_018,assigned,robot_5,ahe_mrta_v3,mixed_stress,20
97.922,task_021,completed,robot_5,ahe_mrta_v3,mixed_stress,20
101.124,task_016,completed,robot_2,ahe_mrta_v3,mixed_stress,20
103.637,task_007,completed,robot_1,ahe_mrta_v3,mixed_stress,20
105.000,task_017,assigned,robot_1,ahe_mrta_v3,mixed_stress,20
131.450,task_017,completed,robot_1,ahe_mrta_v3,mixed_stress,20
132.174,task_018,completed,robot_5,ahe_mrta_v3,mixed_stress,20
134.992,task_020,completed,robot_3,ahe_mrta_v3,mixed_stress,20
135.000,task_022,assigned,robot_1,ahe_mrta_v3,mixed_stress,20
135.000,task_025,assigned,robot_3,ahe_mrta_v3,mixed_stress,20
135.000,task_019,assigned,robot_5,ahe_mrta_v3,mixed_stress,20
145.498,task_019,completed,robot_5,ahe_mrta_v3,mixed_stress,20
150.000,task_009,assigned,robot_4,ahe_mrta_v3,mixed_stress,20
154.983,task_025,completed,robot_3,ahe_mrta_v3,mixed_stress,20
155.000,task_023,assigned,robot_3,ahe_mrta_v3,mixed_stress,20
155.000,task_013,assigned,robot_5,ahe_mrta_v3,mixed_stress,20
159.093,task_024,completed,robot_4,ahe_mrta_v3,mixed_stress,20
174.543,task_009,completed,robot_4,ahe_mrta_v3,mixed_stress,20
175.000,task_011,assigned,robot_4,ahe_mrta_v3,mixed_stress,20
176.843,task_022,completed,robot_1,ahe_mrta_v3,mixed_stress,20
180.000,task_015,assigned,robot_1,ahe_mrta_v3,mixed_stress,20
182.429,task_013,completed,robot_5,ahe_mrta_v3,mixed_stress,20
183.900,task_023,completed,robot_3,ahe_mrta_v3,mixed_stress,20
185.000,task_014,assigned,robot_1,ahe_mrta_v3,mixed_stress,20
185.000,task_005,assigned,robot_5,ahe_mrta_v3,mixed_stress,20
185.046,task_015,completed,robot_1,ahe_mrta_v3,mixed_stress,20
216.559,task_005,completed,robot_5,ahe_mrta_v3,mixed_stress,20
231.278,task_014,completed,robot_1,ahe_mrta_v3,mixed_stress,20
236.404,task_011,completed,robot_4,ahe_mrta_v3,mixed_stress,20
