timestamp_s,task_id,event,robot_id,strategy,scenario,seed
26.000,task_001,activated,,ahe_mrta_v3,robot_failure,6
26.000,task_002,activated,,ahe_mrta_v3,robot_failure,6
26.000,task_003,activated,,ahe_mrta_v3,robot_failure,6
26.000,task_004,activated,,ahe_mrta_v3,robot_failure,6
26.000,task_005,activated,,ahe_mrta_v3,robot_failure,6
26.000,task_006,activated,,ahe_mrta_v3,robot_failure,6
26.000,task_007,activated,,ahe_mrta_v3,robot_failure,6
26.000,task_008,activated,,ahe_mrta_v3,robot_failure,6
26.000,task_009,activated,,ahe_mrta_v3,robot_failure,6
26.000,task_010,activated,,ahe_mrta_v3,robot_failure,6
26.000,task_011,activated,,ahe_mrta_v3,robot_failure,6
26.000,task_012,activated,,ahe_mrta_v3,robot_failure,6
26.000,task_013,activated,,ahe_mrta_v3,robot_failure,6
26.000,task_014,activated,,ahe_mrta_v3,robot_failure,6
26.000,task_015,activated,,ahe_mrta_v3,robot_failure,6
26.000,task_016,activated,,ahe_mrta_v3,robot_failure,6
26.000,task_017,activated,,ahe_mrta_v3,robot_failure,6
26.000,task_018,activated,,ahe_mrta_v3,robot_failure,6
26.000,task_019,activated,,ahe_mrta_v3,robot_failure,6
26.000,task_020,activated,,ahe_mrta_v3,robot_failure,6
26.000,task_021,activated,,ahe_mrta_v3,robot_failure,6
26.000,task_022,activated,,ahe_mrta_v3,robot_failure,6
26.000,task_023,activated,,ahe_mrta_v3,robot_failure,6
26.000,task_024,activated,,ahe_mrta_v3,robot_failure,6
26.000,task_025,activated,,ahe_mrta_v3,robot_failure,6
30.000,task_024,assigned,robot_1,ahe_mrta_v3,robot_failure,6
30.000,task_012,assigned,robot_2,ahe_mrta_v3,robot_failure,6
30.000,task_001,assigned,robot_3,ahe_mrta_v3,robot_failure,6
30.000,task_004,assigned,robot_4,ahe_mrta_v3,robot_failure,6
30.000,task_014,assigned,robot_5,ahe_mrta_v3,robot_failure,6
35.000,task_010,assigned,robot_1,ahe_mrta_v3,robot_failure,6
35.000,task_021,assigned,robot_2,ahe_mrta_v3,robot_failure,6
35.000,task_002,assigned,robot_3,ahe_mrta_v3,robot_failure,6
35.000,task_022,assigned,robot_4,ahe_mrta_v3,robot_failure,6
35.000,task_018,assigned,robot_5,ahe_mrta_v3,robot_failure,6
61.646,task_001,completed,robot_3,ahe_mrta_v3,robot_failure,6
61.787,task_004,completed,robot_4,ahe_mrta_v3,robot_failure,6
65.000,task_013,assigned,robot_3,ahe_mrta_v3,robot_failure,6
65.000,task_016,assigned,robot_4,ahe_mrta_v3,robot_failure,6
65.262,task_014,completed,robot_5,ahe_mrta_v3,robot_failure,6
65.746,task_024,completed,robot_1,ahe_mrta_v3,robot_failure,6
70.000,task_008,assigned,robot_1,ahe_mrta_v3,robot_failure,6
70.000,task_023,assigned,robot_5,ahe_mrta_v3,robot_failure,6
70.564,task_012,completed,robot_2,ahe_mrta_v3,robot_failure,6
74.436,task_002,completed,robot_3,ahe_mrta_v3,robot_failure,6
74.436,task_022,completed,robot_4,ahe_mrta_v3,robot_failure,6
75.000,task_025,assigned,robot_3,ahe_mrta_v3,robot_failure,6
75.000,task_006,assigned,robot_4,ahe_mrta_v3,robot_failure,6
75.960,task_018,completed,robot_5,ahe_mrta_v3,robot_failure,6
76.845,task_010,completed,robot_1,ahe_mrta_v3,robot_failure,6
80.000,task_021,assigned,robot_1,ahe_mrta_v3,robot_failure,6
80.000,task_011,assigned,robot_5,ahe_mrta_v3,robot_failure,6
83.038,task_013,completed,robot_3,ahe_mrta_v3,robot_failure,6
85.000,task_015,assigned,robot_3,ahe_mrta_v3,robot_failure,6
85.755,task_021,completed,robot_2,ahe_mrta_v3,robot_failure,6
89.168,task_023,completed,robot_5,ahe_mrta_v3,robot_failure,6
90.000,task_009,assigned,robot_1,ahe_mrta_v3,robot_failure,6
90.000,task_003,assigned,robot_5,ahe_mrta_v3,robot_failure,6
92.897,task_025,completed,robot_3,ahe_mrta_v3,robot_failure,6
95.000,task_007,assigned,robot_1,ahe_mrta_v3,robot_failure,6
95.057,task_011,completed,robot_5,ahe_mrta_v3,robot_failure,6
95.491,task_008,completed,robot_1,ahe_mrta_v3,robot_failure,6
100.000,task_020,assigned,robot_5,ahe_mrta_v3,robot_failure,6
114.068,task_016,completed,robot_4,ahe_mrta_v3,robot_failure,6
125.145,task_009,completed,robot_1,ahe_mrta_v3,robot_failure,6
137.969,task_007,completed,robot_1,ahe_mrta_v3,robot_failure,6
138.955,task_003,completed,robot_5,ahe_mrta_v3,robot_failure,6
140.000,task_019,assigned,robot_1,ahe_mrta_v3,robot_failure,6
146.832,task_006,completed,robot_4,ahe_mrta_v3,robot_failure,6
147.340,task_015,completed,robot_3,ahe_mrta_v3,robot_failure,6
150.000,task_017,assigned,robot_3,ahe_mrta_v3,robot_failure,6
150.000,task_005,assigned,robot_4,ahe_mrta_v3,robot_failure,6
161.580,task_020,completed,robot_5,ahe_mrta_v3,robot_failure,6
181.844,task_019,completed,robot_1,ahe_mrta_v3,robot_failure,6
195.596,task_017,completed,robot_3,ahe_mrta_v3,robot_failure,6
228.444,task_005,completed,robot_4,ahe_mrta_v3,robot_failure,6
