timestamp_s,strategy,alloc_num,tasks_in_queues,latency_ms
30.000,ahe_mrta_v3,1,5,2.34
35.000,ahe_mrta_v3,2,10,2.28
40.000,ahe_mrta_v3,3,10,0.99
45.000,ahe_mrta_v3,4,10,0.28
50.000,ahe_mrta_v3,5,10,0.28
55.000,ahe_mrta_v3,6,10,0.27
60.000,ahe_mrta_v3,7,10,0.25
65.000,ahe_mrta_v3,8,9,0.26
70.000,ahe_mrta_v3,9,10,1.54
75.000,ahe_mrta_v3,10,10,1.35
80.000,ahe_mrta_v3,11,8,1.10
85.000,ahe_mrta_v3,12,8,1.21
90.000,ahe_mrta_v3,13,7,1.09
95.000,ahe_mrta_v3,14,7,1.36
100.000,ahe_mrta_v3,15,8,0.87
105.000,ahe_mrta_v3,16,8,0.54
110.000,ahe_mrta_v3,17,8,1.04
115.000,ahe_mrta_v3,18,8,0.97
120.000,ahe_mrta_v3,19,8,0.81
125.000,ahe_mrta_v3,20,7,0.74
130.000,ahe_mrta_v3,21,6,0.69
135.000,ahe_mrta_v3,22,6,0.79
140.000,ahe_mrta_v3,23,4,0.52
145.000,ahe_mrta_v3,24,4,0.48
150.000,ahe_mrta_v3,25,4,0.76
