timestamp_s,event_type,robot_id,task_id,strategy,latency_ms
30.000,allocation_run,,,ahe_mrta_v3,2.64
35.000,allocation_run,,,ahe_mrta_v3,3.19
40.000,allocation_run,,,ahe_mrta_v3,1.35
45.000,allocation_run,,,ahe_mrta_v3,0.27
50.000,allocation_run,,,ahe_mrta_v3,0.27
55.000,allocation_run,,,ahe_mrta_v3,1.75
60.000,allocation_run,,,ahe_mrta_v3,2.03
65.000,allocation_run,,,ahe_mrta_v3,1.27
68.000,robot_failure,robot_2,,ahe_mrta_v3,0.00
70.000,allocation_run,,,ahe_mrta_v3,0.80
75.000,allocation_run,,,ahe_mrta_v3,1.02
80.000,allocation_run,,,ahe_mrta_v3,1.22
85.000,allocation_run,,,ahe_mrta_v3,0.86
90.000,allocation_run,,,ahe_mrta_v3,1.08
95.000,allocation_run,,,ahe_mrta_v3,1.10
100.000,allocation_run,,,ahe_mrta_v3,0.75
105.000,allocation_run,,,ahe_mrta_v3,0.82
110.000,allocation_run,,,ahe_mrta_v3,1.03
115.000,allocation_run,,,ahe_mrta_v3,1.15
120.000,allocation_run,,,ahe_mrta_v3,0.80
125.000,allocation_run,,,ahe_mrta_v3,0.80
130.000,allocation_run,,,ahe_mrta_v3,0.75
135.000,allocation_run,,,ahe_mrta_v3,0.83
140.000,allocation_run,,,ahe_mrta_v3,0.73
145.000,allocation_run,,,ahe_mrta_v3,0.80
150.000,allocation_run,,,ahe_mrta_v3,0.72
155.000,allocation_run,,,ahe_mrta_v3,0.69
160.000,allocation_run,,,ahe_mrta_v3,0.56
165.002,allocation_run,,,ahe_mrta_v3,0.63
170.000,allocation_run,,,ahe_mrta_v3,0.71
