task_id,x,y,priority,strategy,scenario,seed
task_001,0.000,2.000,3,ahe_mrta_v3,robot_failure,19
task_002,-6.000,1.500,2,ahe_mrta_v3,robot_failure,19
task_003,-6.000,-1.500,1,ahe_mrta_v3,robot_failure,19
task_004,-6.000,6.000,2,ahe_mrta_v3,robot_failure,19
task_005,3.000,2.000,1,ahe_mrta_v3,robot_failure,19
task_006,6.000,7.000,1,ahe_mrta_v3,robot_failure,19
task_007,0.000,-2.000,1,ahe_mrta_v3,robot_failure,19
task_008,5.000,0.000,2,ahe_mrta_v3,robot_failure,19
task_009,0.000,-6.000,1,ahe_mrta_v3,robot_failure,19
task_010,-4.000,-6.000,3,ahe_mrta_v3,robot_failure,19
task_011,-2.000,7.000,2,ahe_mrta_v3,robot_failure,19
task_012,6.000,6.000,3,ahe_mrta_v3,robot_failure,19
task_013,5.000,2.000,2,ahe_mrta_v3,robot_failure,19
task_014,4.000,-6.000,3,ahe_mrta_v3,robot_failure,19
task_015,-5.000,-2.000,1,ahe_mrta_v3,robot_failure,19
task_016,4.000,0.000,1,ahe_mrta_v3,robot_failure,19
task_017,-2.000,-4.000,2,ahe_mrta_v3,robot_failure,19
task_018,0.000,-7.000,3,ahe_mrta_v3,robot_failure,19
task_019,-4.000,6.000,2,ahe_mrta_v3,robot_failure,19
task_020,1.000,-6.000,1,ahe_mrta_v3,robot_failure,19
task_021,-6.000,7.000,1,ahe_mrta_v3,robot_failure,19
task_022,2.000,-4.000,3,ahe_mrta_v3,robot_failure,19
task_023,-1.000,-6.000,1,ahe_mrta_v3,robot_failure,19
task_024,5.000,-2.000,2,ahe_mrta_v3,robot_failure,19
task_025,3.000,-2.000,2,ahe_mrta_v3,robot_failure,19
