timestamp_s,strategy,alloc_num,tasks_in_queues,latency_ms
30.000,ahe_mrta_v3,1,10,1.17
35.000,ahe_mrta_v3,2,10,0.80
40.000,ahe_mrta_v3,3,10,0.69
45.000,ahe_mrta_v3,4,10,0.82
50.000,ahe_mrta_v3,5,10,0.71
55.000,ahe_mrta_v3,6,10,0.75
60.000,ahe_mrta_v3,7,10,0.66
65.000,ahe_mrta_v3,8,10,0.63
70.000,ahe_mrta_v3,9,10,0.66
75.000,ahe_mrta_v3,10,10,0.73
80.000,ahe_mrta_v3,11,10,0.72
85.000,ahe_mrta_v3,12,10,0.61
90.000,ahe_mrta_v3,13,10,0.72
95.000,ahe_mrta_v3,14,10,1.18
100.000,ahe_mrta_v3,15,8,0.84
105.000,ahe_mrta_v3,16,6,0.67
110.000,ahe_mrta_v3,17,5,0.62
115.000,ahe_mrta_v3,18,5,0.44
120.000,ahe_mrta_v3,19,5,0.44
125.000,ahe_mrta_v3,20,5,0.31
130.000,ahe_mrta_v3,21,5,0.40
