timestamp_s,event_type,robot_id,task_id,strategy,latency_ms
30.000,allocation_run,,,ahe_mrta_v3,1.17
35.000,allocation_run,,,ahe_mrta_v3,0.81
40.000,allocation_run,,,ahe_mrta_v3,0.67
45.000,allocation_run,,,ahe_mrta_v3,0.71
50.000,allocation_run,,,ahe_mrta_v3,0.66
55.001,allocation_run,,,ahe_mrta_v3,0.51
60.000,allocation_run,,,ahe_mrta_v3,0.56
65.000,allocation_run,,,ahe_mrta_v3,0.79
70.000,allocation_run,,,ahe_mrta_v3,0.71
75.000,allocation_run,,,ahe_mrta_v3,0.58
80.000,allocation_run,,,ahe_mrta_v3,0.83
85.000,allocation_run,,,ahe_mrta_v3,0.67
90.000,allocation_run,,,ahe_mrta_v3,0.95
95.000,allocation_run,,,ahe_mrta_v3,0.64
100.000,allocation_run,,,ahe_mrta_v3,0.47
105.000,allocation_run,,,ahe_mrta_v3,0.79
110.000,allocation_run,,,ahe_mrta_v3,0.76
115.000,allocation_run,,,ahe_mrta_v3,0.52
120.000,allocation_run,,,ahe_mrta_v3,0.47
125.000,allocation_run,,,ahe_mrta_v3,0.36
130.000,allocation_run,,,ahe_mrta_v3,0.73
135.000,allocation_run,,,ahe_mrta_v3,0.44
