timestamp_s,dominant_heuristic,dominant_value,context_task_density,context_robot_avail,context_deadline,context_failure_rate,w_d,w_p,w_b,w_l,w_f,w_t,w_r,d_0,d_1,d_2,d_3,d_4
0.000,SpatialOpportunist,0.2429,0.0000,0.6000,0.0000,0.0000,0.1688,0.2064,0.0883,0.0784,0.1745,0.1613,0.1221,0.2429,0.2117,0.2051,0.1783,0.1620
4.004,SpatialOpportunist,0.2687,0.0000,1.0000,0.0000,0.0000,0.1794,0.2111,0.0876,0.0785,0.1609,0.1670,0.1156,0.2687,0.2188,0.2085,0.1654,0.1387
6.004,SpatialOpportunist,0.2841,0.0000,1.0000,0.0000,0.0000,0.1857,0.2137,0.0871,0.0784,0.1530,0.1704,0.1117,0.2841,0.2232,0.2107,0.1576,0.1244
8.002,SpatialOpportunist,0.2933,0.0000,1.0000,0.0000,0.0000,0.1896,0.2154,0.0867,0.0783,0.1484,0.1725,0.1093,0.2933,0.2258,0.2122,0.1530,0.1157
10.003,SpatialOpportunist,0.2989,0.0000,1.0000,0.0000,0.0000,0.1918,0.2163,0.0865,0.0782,0.1456,0.1737,0.1078,0.2989,0.2274,0.2132,0.1502,0.1104
12.002,SpatialOpportunist,0.3022,0.0000,1.0000,0.0000,0.0000,0.1932,0.2169,0.0863,0.0782,0.1439,0.1745,0.1069,0.3022,0.2284,0.2138,0.1485,0.1071
14.004,SpatialOpportunist,0.3042,0.0000,1.0000,0.0000,0.0000,0.1940,0.2173,0.0862,0.0781,0.1429,0.1750,0.1064,0.3042,0.2290,0.2142,0.1475,0.1051
16.005,SpatialOpportunist,0.3054,0.0000,1.0000,0.0000,0.0000,0.1945,0.2175,0.0862,0.0781,0.1423,0.1753,0.1061,0.3054,0.2294,0.2145,0.1469,0.1039
18.002,SpatialOpportunist,0.3061,0.0000,1.0000,0.0000,0.0000,0.1948,0.2177,0.0861,0.0781,0.1419,0.1755,0.1059,0.3061,0.2296,0.2146,0.1466,0.1031
20.002,SpatialOpportunist,0.3065,0.0000,1.0000,0.0000,0.0000,0.1950,0.2178,0.0861,0.0781,0.1417,0.1756,0.1057,0.3065,0.2297,0.2147,0.1464,0.1027
22.000,SpatialOpportunist,0.3068,0.0000,1.0000,0.0000,0.0000,0.1951,0.2178,0.0861,0.0781,0.1415,0.1757,0.1057,0.3068,0.2298,0.2148,0.1462,0.1024
24.004,SpatialOpportunist,0.3069,0.0000,1.0000,0.0000,0.0000,0.1951,0.2179,0.0861,0.0781,0.1415,0.1757,0.1056,0.3069,0.2298,0.2149,0.1462,0.1022
26.003,SpatialOpportunist,0.3070,0.0000,1.0000,0.0000,0.0000,0.1952,0.2179,0.0861,0.0781,0.1414,0.1758,0.1056,0.3070,0.2299,0.2149,0.1461,0.1021
28.004,SpatialOpportunist,0.3071,0.0000,1.0000,0.0000,0.0000,0.1952,0.2179,0.0861,0.0781,0.1414,0.1758,0.1056,0.3071,0.2299,0.2149,0.1461,0.1021
30.006,SpatialOpportunist,0.3071,0.0000,1.0000,0.0000,0.0000,0.1952,0.2179,0.0861,0.0781,0.1414,0.1758,0.1056,0.3071,0.2299,0.2149,0.1461,0.1020
32.000,SpatialOpportunist,0.2912,1.0000,1.0000,0.3600,0.0000,0.1875,0.2165,0.0862,0.0782,0.1448,0.1789,0.1078,0.2912,0.2226,0.2271,0.1474,0.1117
34.003,SpatialOpportunist,0.2812,1.0000,1.0000,0.4000,0.0000,0.1826,0.2167,0.0863,0.0781,0.1463,0.1812,0.1088,0.2812,0.2204,0.2342,0.1480,0.1162
36.004,SpatialOpportunist,0.2741,1.0000,1.0000,0.4400,0.0000,0.1790,0.2177,0.0862,0.0781,0.1469,0.1830,0.1092,0.2741,0.2207,0.2387,0.1483,0.1182
38.004,SpatialOpportunist,0.2686,1.0000,1.0000,0.4800,0.0000,0.1762,0.2191,0.0861,0.0780,0.1469,0.1846,0.1092,0.2686,0.2220,0.2419,0.1484,0.1190
40.006,SpatialOpportunist,0.2621,1.0000,1.0000,0.5600,0.0000,0.1727,0.2214,0.0859,0.0778,0.1466,0.1867,0.1089,0.2621,0.2250,0.2455,0.1484,0.1190
42.003,SpatialOpportunist,0.2589,1.0000,1.0000,0.5600,0.0000,0.1711,0.2225,0.0858,0.0777,0.1464,0.1877,0.1088,0.2589,0.2265,0.2473,0.1484,0.1190
44.004,SpatialOpportunist,0.2555,1.0000,1.0000,0.6000,0.0000,0.1693,0.2238,0.0857,0.0776,0.1461,0.1888,0.1086,0.2555,0.2283,0.2491,0.1484,0.1188
46.004,SpatialOpportunist,0.2539,1.0000,1.0000,0.6000,0.0000,0.1685,0.2245,0.0856,0.0775,0.1460,0.1894,0.1085,0.2539,0.2291,0.2500,0.1483,0.1187
48.002,SpatialOpportunist,0.2531,1.0000,1.0000,0.6000,0.0000,0.1680,0.2248,0.0856,0.0775,0.1459,0.1897,0.1085,0.2531,0.2296,0.2504,0.1483,0.1186
50.005,TemporalRegulator,0.2516,1.0000,1.0000,0.6400,0.0000,0.1669,0.2257,0.0855,0.0774,0.1457,0.1904,0.1083,0.2509,0.2308,0.2516,0.1483,0.1184
52.000,TemporalRegulator,0.2521,1.0000,1.0000,0.6400,0.0000,0.1664,0.2261,0.0854,0.0774,0.1456,0.1908,0.1083,0.2498,0.2314,0.2521,0.1483,0.1183
54.003,TemporalRegulator,0.2524,1.0000,1.0000,0.6400,0.0000,0.1661,0.2264,0.0854,0.0774,0.1456,0.1910,0.1082,0.2493,0.2317,0.2524,0.1483,0.1183
56.003,TemporalRegulator,0.2534,1.0000,1.0000,0.6800,0.0000,0.1651,0.2272,0.0853,0.0773,0.1454,0.1916,0.1081,0.2474,0.2329,0.2534,0.1482,0.1181
58.003,TemporalRegulator,0.2548,1.0000,1.0000,0.7200,0.0000,0.1637,0.2283,0.0852,0.0772,0.1451,0.1925,0.1079,0.2447,0.2345,0.2548,0.1482,0.1178
60.003,TemporalRegulator,0.2555,1.0000,1.0000,0.7200,0.0000,0.1630,0.2289,0.0852,0.0772,0.1450,0.1930,0.1078,0.2434,0.2353,0.2555,0.1481,0.1177
62.005,TemporalRegulator,0.2530,1.0000,1.0000,0.7500,0.0000,0.1646,0.2294,0.0852,0.0772,0.1441,0.1924,0.1072,0.2472,0.2369,0.2530,0.1481,0.1149
64.000,TemporalRegulator,0.2560,1.0000,1.0000,0.7826,0.0000,0.1622,0.2305,0.0850,0.0770,0.1442,0.1938,0.1072,0.2421,0.2379,0.2560,0.1480,0.1160
66.004,TemporalRegulator,0.2538,1.0000,1.0000,0.7727,0.0000,0.1637,0.2304,0.0851,0.0771,0.1438,0.1931,0.1069,0.2456,0.2383,0.2538,0.1480,0.1144
68.004,TemporalRegulator,0.2529,1.0000,1.0000,0.7619,0.0000,0.1644,0.2301,0.0851,0.0771,0.1437,0.1927,0.1069,0.2470,0.2380,0.2529,0.1480,0.1140
70.004,TemporalRegulator,0.2520,1.0000,1.0000,0.7368,0.0000,0.1654,0.2293,0.0852,0.0772,0.1439,0.1921,0.1070,0.2488,0.2370,0.2520,0.1481,0.1141
72.002,TemporalRegulator,0.2556,1.0000,1.0000,0.7895,0.0000,0.1624,0.2306,0.0850,0.0770,0.1441,0.1937,0.1072,0.2426,0.2381,0.2556,0.1480,0.1156
74.003,TemporalRegulator,0.2574,1.0000,1.0000,0.7895,0.0000,0.1610,0.2311,0.0850,0.0770,0.1442,0.1945,0.1072,0.2396,0.2387,0.2574,0.1480,0.1163
76.002,TemporalRegulator,0.2546,1.0000,1.0000,0.7895,0.0000,0.1630,0.2309,0.0850,0.0770,0.1437,0.1936,0.1069,0.2440,0.2390,0.2546,0.1480,0.1143
78.003,TemporalRegulator,0.2536,1.0000,1.0000,0.7778,0.0000,0.1638,0.2306,0.0850,0.0771,0.1436,0.1931,0.1068,0.2457,0.2387,0.2536,0.1480,0.1139
80.000,TemporalRegulator,0.2544,1.0000,1.0000,0.8125,0.0000,0.1629,0.2314,0.0850,0.0770,0.1434,0.1937,0.1067,0.2441,0.2398,0.2544,0.1480,0.1137
82.002,TemporalRegulator,0.2586,1.0000,1.0000,0.8750,0.0000,0.1595,0.2329,0.0848,0.0768,0.1435,0.1957,0.1067,0.2370,0.2414,0.2586,0.1479,0.1151
84.003,TemporalRegulator,0.2606,1.0000,1.0000,0.8750,0.0000,0.1579,0.2337,0.0847,0.0768,0.1435,0.1966,0.1068,0.2336,0.2422,0.2606,0.1479,0.1157
86.003,TemporalRegulator,0.2627,1.0000,1.0000,0.9375,0.0000,0.1560,0.2350,0.0846,0.0766,0.1433,0.1979,0.1066,0.2297,0.2440,0.2627,0.1478,0.1158
88.003,TemporalRegulator,0.2618,1.0000,1.0000,1.0000,0.0000,0.1560,0.2367,0.0844,0.0765,0.1422,0.1982,0.1059,0.2303,0.2471,0.2618,0.1477,0.1131
90.004,TemporalRegulator,0.2616,1.0000,1.0000,1.0000,0.0000,0.1560,0.2371,0.0844,0.0765,0.1420,0.1983,0.1057,0.2305,0.2478,0.2616,0.1477,0.1125
92.003,TemporalRegulator,0.2616,1.0000,1.0000,1.0000,0.0000,0.1560,0.2372,0.0844,0.0765,0.1419,0.1984,0.1056,0.2305,0.2479,0.2616,0.1477,0.1123
94.003,TemporalRegulator,0.2644,1.0000,1.0000,1.0000,0.0000,0.1540,0.2376,0.0843,0.0764,0.1423,0.1995,0.1059,0.2260,0.2479,0.2644,0.1477,0.1140
96.002,TemporalRegulator,0.2657,1.0000,1.0000,1.0000,0.0000,0.1531,0.2378,0.0843,0.0764,0.1424,0.2000,0.1060,0.2238,0.2480,0.2657,0.1477,0.1148
98.001,TemporalRegulator,0.2664,1.0000,1.0000,1.0000,0.0000,0.1526,0.2379,0.0843,0.0764,0.1425,0.2003,0.1061,0.2228,0.2480,0.2664,0.1477,0.1152
100.000,TemporalRegulator,0.2667,1.0000,1.0000,1.0000,0.0000,0.1524,0.2380,0.0842,0.0763,0.1426,0.2004,0.1061,0.2223,0.2480,0.2667,0.1477,0.1153
102.003,TemporalRegulator,0.2668,1.0000,1.0000,1.0000,0.0000,0.1523,0.2380,0.0842,0.0763,0.1426,0.2004,0.1061,0.2220,0.2480,0.2668,0.1477,0.1154
104.002,TemporalRegulator,0.2628,1.0000,1.0000,1.0000,0.0000,0.1552,0.2374,0.0843,0.0764,0.1421,0.1988,0.1057,0.2285,0.2480,0.2628,0.1477,0.1130
106.003,TemporalRegulator,0.2650,1.0000,1.0000,1.0000,0.0000,0.1536,0.2377,0.0843,0.0764,0.1423,0.1997,0.1059,0.2250,0.2480,0.2650,0.1477,0.1143
