timestamp_s,robot_id,x,y,battery_state,nav_state,avail_state,current_task_id,failure_flag
30.000,robot_1,0.000,-0.000,0,0,0,,0
30.000,robot_2,0.000,-0.000,0,0,0,,0
30.000,robot_3,0.000,-0.000,0,0,0,,0
30.000,robot_4,0.000,-0.000,0,0,0,,0
30.000,robot_5,0.000,-0.000,0,0,0,,0
32.000,robot_1,0.329,0.010,0,1,0,task_017,0
32.000,robot_2,0.276,0.052,0,1,0,task_019,0
32.000,robot_3,0.013,0.052,0,1,0,task_011,0
32.000,robot_4,0.161,-0.040,0,1,0,task_020,0
32.000,robot_5,0.328,-0.004,0,1,0,task_022,0
34.000,robot_1,0.841,0.039,0,1,0,task_017,0
34.000,robot_2,0.755,0.258,0,1,0,task_019,0
34.000,robot_3,-0.041,0.468,0,1,0,task_011,0
34.000,robot_4,0.564,-0.336,0,1,0,task_020,0
34.000,robot_5,0.849,-0.020,0,1,0,task_022,0
36.000,robot_1,1.342,0.178,0,1,0,task_017,0
36.000,robot_2,1.227,0.480,0,1,0,task_019,0
36.000,robot_3,-0.272,0.935,0,1,0,task_011,0
36.000,robot_4,0.934,-0.703,0,1,0,task_020,0
36.000,robot_5,1.370,-0.047,0,1,0,task_022,0
38.000,robot_1,1.840,0.296,0,1,0,task_017,0
38.000,robot_2,1.690,0.700,0,1,0,task_019,0
38.000,robot_3,-0.541,1.371,0,1,0,task_011,0
38.000,robot_4,1.282,-1.080,0,1,0,task_020,0
38.000,robot_5,1.877,-0.119,0,1,0,task_022,0
40.000,robot_1,2.488,0.384,0,1,0,task_017,0
40.000,robot_2,2.282,0.979,0,1,0,task_019,0
40.000,robot_3,-0.797,1.740,0,1,0,task_011,0
40.000,robot_4,1.640,-1.459,0,1,0,task_020,0
40.000,robot_5,2.500,-0.316,0,1,0,task_022,0
42.001,robot_1,2.986,0.536,0,1,0,task_017,0
42.001,robot_2,2.751,1.206,0,1,0,task_019,0
42.001,robot_3,-0.801,1.808,0,1,0,task_010,0
42.001,robot_4,2.084,-1.939,0,1,0,task_020,0
42.001,robot_5,2.852,-0.481,0,1,0,task_022,0
44.001,robot_1,3.342,0.693,0,1,0,task_017,0
44.001,robot_2,3.101,1.375,0,1,0,task_019,0
44.001,robot_3,-0.413,1.819,0,1,0,task_010,0
44.001,robot_4,2.351,-2.222,0,1,0,task_020,0
44.001,robot_5,3.290,-0.765,0,1,0,task_022,0
46.000,robot_1,3.816,0.911,0,1,0,task_017,0
46.000,robot_2,3.573,1.598,0,1,0,task_019,0
46.000,robot_3,0.109,1.822,0,1,0,task_010,0
46.000,robot_4,2.703,-2.607,0,1,0,task_020,0
46.000,robot_5,3.721,-1.059,0,1,0,task_022,0
48.000,robot_1,4.294,1.120,0,1,0,task_017,0
48.000,robot_2,4.048,1.813,0,1,0,task_019,0
48.000,robot_3,0.630,1.821,0,1,0,task_010,0
48.000,robot_4,3.052,-2.994,0,1,0,task_020,0
48.000,robot_5,4.147,-1.358,0,1,0,task_022,0
50.000,robot_1,4.767,1.316,0,1,0,task_017,0
50.000,robot_2,4.516,2.023,0,1,0,task_019,0
50.000,robot_3,1.143,1.820,0,1,0,task_010,0
50.000,robot_4,3.402,-3.369,0,1,0,task_020,0
50.000,robot_5,4.569,-1.650,0,1,0,task_022,0
52.000,robot_1,5.250,1.514,0,1,0,task_017,0
52.000,robot_2,4.994,2.232,0,1,0,task_019,0
52.000,robot_3,1.665,1.819,0,1,0,task_010,0
52.000,robot_4,3.733,-3.720,0,1,0,task_020,0
52.000,robot_5,4.996,-1.949,0,1,0,task_022,0
54.000,robot_1,5.750,1.659,0,1,0,task_017,0
54.000,robot_2,5.473,2.436,0,1,0,task_019,0
54.000,robot_3,2.186,1.819,0,1,0,task_010,0
54.000,robot_4,3.837,-3.829,0,1,0,task_002,0
54.000,robot_5,5.428,-2.242,0,1,0,task_022,0
56.000,robot_1,6.269,1.707,0,1,0,task_017,0
56.000,robot_2,5.967,2.604,0,1,0,task_019,0
56.000,robot_3,2.708,1.819,0,1,0,task_010,0
56.000,robot_4,4.133,-4.027,0,1,0,task_002,0
56.000,robot_5,5.856,-2.540,0,1,0,task_022,0
58.001,robot_1,6.790,1.722,0,1,0,task_017,0
58.001,robot_2,6.584,2.794,0,1,0,task_019,0
58.001,robot_3,3.229,1.825,0,1,0,task_010,0
58.001,robot_4,4.449,-4.441,0,1,0,task_002,0
58.001,robot_5,6.384,-2.911,0,1,0,task_022,0
60.000,robot_1,7.303,1.724,0,1,0,task_017,0
60.000,robot_2,6.958,2.901,0,1,0,task_019,0
60.000,robot_3,3.676,1.878,0,1,0,task_010,0
60.000,robot_4,4.730,-4.871,0,1,0,task_002,0
60.000,robot_5,6.702,-3.135,0,1,0,task_022,0
62.000,robot_1,7.824,1.736,0,1,0,task_017,0
62.000,robot_2,7.476,2.958,0,1,0,task_019,0
62.000,robot_3,3.813,1.899,0,1,0,task_004,0
62.000,robot_4,5.016,-5.306,0,1,0,task_002,0
62.000,robot_5,7.133,-3.428,0,1,0,task_022,0
64.000,robot_1,8.343,1.787,0,1,0,task_017,0
64.000,robot_2,7.996,2.993,0,1,0,task_019,0
64.000,robot_3,4.175,1.623,0,1,0,task_004,0
64.000,robot_4,5.365,-5.693,0,1,0,task_002,0
64.000,robot_5,7.559,-3.730,0,1,0,task_022,0
66.000,robot_1,8.738,1.889,0,1,0,task_017,0
66.000,robot_2,8.516,3.033,0,1,0,task_019,0
66.000,robot_3,4.504,1.219,0,1,0,task_004,0
66.000,robot_4,5.770,-6.021,0,1,0,task_002,0
66.000,robot_5,7.983,-4.033,0,1,0,task_022,0
68.000,robot_1,8.779,1.904,0,1,0,task_003,0
68.000,robot_2,9.023,3.154,0,1,0,task_019,0
68.000,robot_3,4.813,0.799,0,1,0,task_004,0
68.000,robot_4,6.190,-6.330,0,1,0,task_002,0
68.000,robot_5,8.412,-4.330,0,1,0,task_022,0
70.000,robot_1,8.442,2.000,0,1,0,task_003,0
70.000,robot_2,9.518,3.306,0,1,0,task_019,0
70.000,robot_3,5.123,0.379,0,1,0,task_004,0
70.000,robot_4,6.612,-6.637,0,1,0,task_002,0
70.000,robot_5,8.940,-4.701,0,1,0,task_022,0
72.000,robot_1,7.797,2.014,0,1,0,task_003,0
72.000,robot_2,9.786,3.406,0,0,0,,0
72.000,robot_3,5.511,-0.137,0,1,0,task_004,0
72.000,robot_4,7.011,-6.959,0,1,0,task_002,0
72.000,robot_5,9.363,-5.006,0,1,0,task_022,0
74.000,robot_1,7.409,1.997,0,1,0,task_003,0
74.000,robot_2,9.722,3.493,0,1,0,task_007,0
74.000,robot_3,5.746,-0.446,0,1,0,task_004,0
74.000,robot_4,7.471,-7.423,0,1,0,task_002,0
74.000,robot_5,9.659,-5.227,0,1,0,task_022,0
76.000,robot_1,6.888,1.971,0,1,0,task_003,0
76.000,robot_2,9.442,3.703,0,1,0,task_007,0
76.000,robot_3,6.069,-0.856,0,1,0,task_004,0
76.000,robot_4,7.718,-7.692,0,1,0,task_002,0
76.000,robot_5,9.815,-5.349,0,0,0,,0
78.000,robot_1,6.368,1.928,0,1,0,task_003,0
78.000,robot_2,8.981,3.947,0,1,0,task_007,0
78.000,robot_3,6.390,-1.267,0,1,0,task_004,0
78.000,robot_4,7.839,-7.825,0,0,0,,0
78.000,robot_5,9.777,-5.251,0,1,0,task_021,0
80.000,robot_1,5.860,1.815,0,1,0,task_003,0
80.000,robot_2,8.522,4.126,0,1,0,task_007,0
80.000,robot_3,6.707,-1.660,0,1,0,task_004,0
80.000,robot_4,7.782,-7.879,0,1,0,task_001,0
80.000,robot_5,9.455,-4.869,0,1,0,task_021,0
82.000,robot_1,5.368,1.643,0,1,0,task_003,0
82.000,robot_2,8.020,4.263,0,1,0,task_007,0
82.000,robot_3,6.838,-1.815,0,0,0,,0
82.000,robot_4,7.331,-8.088,0,1,0,task_001,0
82.000,robot_5,9.056,-4.533,0,1,0,task_021,0
84.000,robot_1,4.909,1.414,0,1,0,task_003,0
84.000,robot_2,7.511,4.322,0,1,0,task_007,0
84.000,robot_3,6.815,-1.765,0,1,0,task_024,0
84.000,robot_4,6.827,-8.181,0,1,0,task_001,0
84.000,robot_5,8.660,-4.207,0,1,0,task_021,0
86.000,robot_1,4.454,1.159,0,1,0,task_003,0
86.000,robot_2,6.990,4.345,0,1,0,task_007,0
86.000,robot_3,6.488,-1.429,0,1,0,task_024,0
86.000,robot_4,6.307,-8.211,0,1,0,task_001,0
86.000,robot_5,8.251,-3.884,0,1,0,task_021,0
88.000,robot_1,3.887,0.834,0,1,0,task_003,0
88.000,robot_2,6.468,4.352,0,1,0,task_007,0
