task_id,x,y,priority,strategy,scenario,seed
task_001,-1.000,-6.000,2,ahe_mrta_v3,deadline_pressure,10
task_002,0.000,6.000,2,ahe_mrta_v3,deadline_pressure,10
task_003,1.000,6.000,3,ahe_mrta_v3,deadline_pressure,10
task_004,0.000,-2.000,2,ahe_mrta_v3,deadline_pressure,10
task_005,-4.000,6.000,3,ahe_mrta_v3,deadline_pressure,10
task_006,2.000,7.000,1,ahe_mrta_v3,deadline_pressure,10
task_007,1.000,-6.000,2,ahe_mrta_v3,deadline_pressure,10
task_008,5.000,-2.000,1,ahe_mrta_v3,deadline_pressure,10
task_009,6.000,-4.000,1,ahe_mrta_v3,deadline_pressure,10
task_010,4.000,0.000,1,ahe_mrta_v3,deadline_pressure,10
task_011,6.000,-1.500,1,ahe_mrta_v3,deadline_pressure,10
task_012,0.000,2.000,1,ahe_mrta_v3,deadline_pressure,10
task_013,-5.000,-2.000,2,ahe_mrta_v3,deadline_pressure,10
task_014,-6.000,-6.000,3,ahe_mrta_v3,deadline_pressure,10
task_015,6.000,1.500,1,ahe_mrta_v3,deadline_pressure,10
task_016,-5.000,0.000,3,ahe_mrta_v3,deadline_pressure,10
task_017,-5.000,2.000,2,ahe_mrta_v3,deadline_pressure,10
task_018,-6.000,-1.500,2,ahe_mrta_v3,deadline_pressure,10
task_019,6.000,7.000,3,ahe_mrta_v3,deadline_pressure,10
task_020,-4.000,-6.000,2,ahe_mrta_v3,deadline_pressure,10
task_021,4.000,-6.000,3,ahe_mrta_v3,deadline_pressure,10
task_022,6.000,6.000,1,ahe_mrta_v3,deadline_pressure,10
task_023,-1.000,6.000,1,ahe_mrta_v3,deadline_pressure,10
task_024,6.000,-6.000,2,ahe_mrta_v3,deadline_pressure,10
task_025,4.000,6.000,1,ahe_mrta_v3,deadline_pressure,10
