timestamp_s,strategy,alloc_num,footprint_bytes
35.000,ahe_mrta_v3,1,80
40.000,ahe_mrta_v3,2,80
45.001,ahe_mrta_v3,3,80
50.000,ahe_mrta_v3,4,80
55.000,ahe_mrta_v3,5,80
60.000,ahe_mrta_v3,6,80
65.000,ahe_mrta_v3,7,80
70.000,ahe_mrta_v3,8,80
75.000,ahe_mrta_v3,9,76
80.000,ahe_mrta_v3,10,76
85.000,ahe_mrta_v3,11,68
90.000,ahe_mrta_v3,12,64
95.000,ahe_mrta_v3,13,52
100.000,ahe_mrta_v3,14,64
105.000,ahe_mrta_v3,15,68
110.000,ahe_mrta_v3,16,64
115.000,ahe_mrta_v3,17,64
120.000,ahe_mrta_v3,18,64
125.001,ahe_mrta_v3,19,64
130.000,ahe_mrta_v3,20,64
135.000,ahe_mrta_v3,21,60
