timestamp_s,event_type,robot_id,task_id,strategy,latency_ms
35.000,allocation_run,,,ahe_mrta_v3,1.84
65.000,allocation_run,,,ahe_mrta_v3,0.97
70.000,allocation_run,,,ahe_mrta_v3,0.98
71.000,robot_failure,robot_2,,ahe_mrta_v3,0.00
75.000,allocation_run,,,ahe_mrta_v3,0.63
80.000,allocation_run,,,ahe_mrta_v3,0.49
85.000,allocation_run,,,ahe_mrta_v3,0.53
90.000,allocation_run,,,ahe_mrta_v3,0.71
95.000,allocation_run,,,ahe_mrta_v3,0.52
100.000,allocation_run,,,ahe_mrta_v3,0.63
105.000,allocation_run,,,ahe_mrta_v3,0.67
110.000,allocation_run,,,ahe_mrta_v3,1.08
115.000,allocation_run,,,ahe_mrta_v3,0.98
120.000,allocation_run,,,ahe_mrta_v3,0.84
125.000,allocation_run,,,ahe_mrta_v3,0.71
130.000,allocation_run,,,ahe_mrta_v3,0.64
135.000,allocation_run,,,ahe_mrta_v3,0.58
140.000,allocation_run,,,ahe_mrta_v3,0.57
145.000,allocation_run,,,ahe_mrta_v3,0.93
