timestamp_s,robot_id,x,y,battery_state,nav_state,avail_state,current_task_id,failure_flag
32.000,robot_1,0.000,-0.000,0,0,0,,0
32.000,robot_2,0.000,-0.000,0,0,0,,0
32.000,robot_3,0.000,-0.000,0,0,0,,0
32.000,robot_4,0.000,-0.000,0,0,0,,0
32.000,robot_5,0.000,-0.000,0,0,0,,0
34.000,robot_1,0.000,-0.000,0,0,0,,0
34.000,robot_2,0.000,-0.000,0,0,0,,0
34.000,robot_3,0.000,-0.000,0,0,0,,0
34.000,robot_4,0.000,-0.000,0,0,0,,0
34.000,robot_5,0.000,-0.000,0,0,0,,0
36.000,robot_1,0.072,0.000,0,1,0,task_005,0
36.000,robot_2,0.007,0.001,0,1,0,task_001,0
36.000,robot_3,0.036,0.001,0,1,0,task_004,0
36.000,robot_4,0.050,-0.002,0,1,0,task_006,0
36.000,robot_5,0.072,-0.000,0,1,0,task_003,0
38.000,robot_1,0.584,0.027,0,1,0,task_005,0
38.000,robot_2,0.354,0.181,0,1,0,task_001,0
38.000,robot_3,0.390,0.150,0,1,0,task_004,0
38.000,robot_4,0.500,-0.158,0,1,0,task_006,0
38.000,robot_5,0.585,-0.010,0,1,0,task_003,0
40.000,robot_1,1.079,0.148,0,1,0,task_005,0
40.000,robot_2,0.721,0.552,0,1,0,task_001,0
40.000,robot_3,0.783,0.492,0,1,0,task_004,0
40.000,robot_4,0.958,-0.408,0,1,0,task_006,0
40.000,robot_5,1.106,-0.031,0,1,0,task_003,0
42.000,robot_1,1.583,0.277,0,1,0,task_005,0
42.000,robot_2,1.069,0.940,0,1,0,task_001,0
42.000,robot_3,1.152,0.861,0,1,0,task_004,0
42.000,robot_4,1.413,-0.664,0,1,0,task_006,0
42.000,robot_5,1.625,-0.079,0,1,0,task_003,0
44.000,robot_1,2.102,0.334,0,1,0,task_005,0
44.000,robot_2,1.422,1.324,0,1,0,task_001,0
44.000,robot_3,1.508,1.242,0,1,0,task_004,0
44.000,robot_4,1.864,-0.925,0,1,0,task_006,0
44.000,robot_5,2.135,-0.188,0,1,0,task_003,0
46.000,robot_1,2.707,0.498,0,1,0,task_005,0
46.000,robot_2,1.856,1.801,0,1,0,task_001,0
46.000,robot_3,1.963,1.700,0,1,0,task_004,0
46.000,robot_4,2.420,-1.253,0,1,0,task_006,0
46.000,robot_5,2.747,-0.391,0,1,0,task_003,0
48.000,robot_1,2.921,0.715,0,1,0,task_005,0
48.000,robot_2,2.120,2.099,0,1,0,task_001,0
48.000,robot_3,2.242,1.983,0,1,0,task_004,0
48.000,robot_4,2.765,-1.450,0,1,0,task_006,0
48.000,robot_5,3.110,-0.554,0,1,0,task_003,0
50.000,robot_1,3.018,1.054,0,1,0,task_005,0
50.000,robot_2,2.456,2.487,0,1,0,task_001,0
50.000,robot_3,2.612,2.338,0,1,0,task_004,0
50.000,robot_4,3.209,-1.707,0,1,0,task_006,0
50.000,robot_5,3.576,-0.767,0,1,0,task_003,0
52.000,robot_1,2.921,1.364,0,1,0,task_005,0
52.000,robot_2,2.799,2.879,0,1,0,task_001,0
52.000,robot_3,2.925,2.751,0,1,0,task_004,0
52.000,robot_4,3.666,-1.958,0,1,0,task_006,0
52.000,robot_5,4.047,-0.991,0,1,0,task_003,0
54.000,robot_1,2.592,1.619,0,1,0,task_005,0
54.000,robot_2,3.144,3.271,0,1,0,task_001,0
54.000,robot_3,3.096,3.243,0,1,0,task_004,0
54.000,robot_4,4.124,-2.209,0,1,0,task_006,0
54.000,robot_5,4.521,-1.210,0,1,0,task_003,0
56.000,robot_1,2.084,1.726,0,1,0,task_005,0
56.000,robot_2,3.482,3.668,0,1,0,task_001,0
56.000,robot_3,3.212,3.752,0,1,0,task_004,0
56.000,robot_4,4.578,-2.464,0,1,0,task_006,0
56.000,robot_5,4.991,-1.435,0,1,0,task_003,0
58.000,robot_1,1.563,1.753,0,1,0,task_005,0
58.000,robot_2,3.821,4.064,0,1,0,task_001,0
58.000,robot_3,3.330,4.260,0,1,0,task_004,0
58.000,robot_4,5.029,-2.727,0,1,0,task_006,0
58.000,robot_5,5.484,-1.603,0,1,0,task_003,0
60.000,robot_1,1.050,1.768,0,1,0,task_005,0
60.000,robot_2,4.158,4.450,0,1,0,task_001,0
60.000,robot_3,3.463,4.755,0,1,0,task_004,0
60.000,robot_4,5.582,-3.060,0,1,0,task_006,0
60.000,robot_5,5.990,-1.684,0,1,0,task_003,0
62.000,robot_1,0.529,1.771,0,1,0,task_005,0
62.000,robot_2,4.507,4.838,0,1,0,task_001,0
62.000,robot_3,3.635,5.247,0,1,0,task_004,0
62.000,robot_4,5.910,-3.268,0,1,0,task_006,0
62.000,robot_5,6.499,-1.793,0,1,0,task_003,0
64.000,robot_1,0.007,1.775,0,1,0,task_005,0
64.000,robot_2,4.857,5.225,0,1,0,task_001,0
64.000,robot_3,3.823,5.681,0,1,0,task_004,0
64.000,robot_4,6.349,-3.549,0,1,0,task_006,0
64.000,robot_5,6.795,-1.901,0,1,0,,0
66.000,robot_1,-0.509,1.819,0,1,0,task_005,0
66.000,robot_2,5.225,5.594,0,1,0,task_001,0
66.000,robot_3,3.881,5.793,0,1,0,task_002,0
66.000,robot_4,6.727,-3.802,0,1,0,task_006,0
66.000,robot_5,7.227,-1.916,0,1,0,task_008,0
68.000,robot_1,-0.787,1.900,0,1,0,task_005,0
68.000,robot_2,5.631,5.921,0,1,0,task_001,0
68.000,robot_3,3.797,5.841,0,1,0,task_002,0
68.000,robot_4,6.806,-3.857,0,1,0,task_007,0
68.000,robot_5,7.749,-1.929,0,1,0,task_008,0
70.000,robot_1,-0.787,1.900,0,1,0,task_014,0
70.000,robot_2,6.050,6.231,0,1,0,task_001,0
70.000,robot_3,3.311,5.946,0,1,0,task_002,0
70.000,robot_4,6.669,-3.983,0,1,0,task_007,0
70.000,robot_5,8.269,-1.960,0,1,0,task_008,0
