timestamp_s,strategy,alloc_num,footprint_bytes
35.000,ahe_mrta_v3,1,72
65.000,ahe_mrta_v3,2,56
70.000,ahe_mrta_v3,3,64
75.000,ahe_mrta_v3,4,60
80.000,ahe_mrta_v3,5,60
85.000,ahe_mrta_v3,6,56
90.000,ahe_mrta_v3,7,56
95.000,ahe_mrta_v3,8,56
100.000,ahe_mrta_v3,9,56
105.000,ahe_mrta_v3,10,56
110.000,ahe_mrta_v3,11,56
115.000,ahe_mrta_v3,12,52
120.000,ahe_mrta_v3,13,56
125.001,ahe_mrta_v3,14,60
130.000,ahe_mrta_v3,15,56
135.000,ahe_mrta_v3,16,56
140.000,ahe_mrta_v3,17,60
145.000,ahe_mrta_v3,18,56
150.000,ahe_mrta_v3,19,56
155.000,ahe_mrta_v3,20,56
160.000,ahe_mrta_v3,21,52
165.000,ahe_mrta_v3,22,52
170.000,ahe_mrta_v3,23,56
175.000,ahe_mrta_v3,24,56
180.000,ahe_mrta_v3,25,48
185.000,ahe_mrta_v3,26,56
190.000,ahe_mrta_v3,27,56
195.000,ahe_mrta_v3,28,52
