timestamp_s,strategy,alloc_num,tasks_in_queues,latency_ms
35.000,ahe_mrta_v3,1,7,2.69
40.000,ahe_mrta_v3,2,7,0.67
45.000,ahe_mrta_v3,3,7,0.36
50.000,ahe_mrta_v3,4,7,0.29
55.000,ahe_mrta_v3,5,7,0.24
60.000,ahe_mrta_v3,6,7,0.34
65.000,ahe_mrta_v3,7,10,1.02
70.000,ahe_mrta_v3,8,10,0.67
75.000,ahe_mrta_v3,9,9,0.64
80.000,ahe_mrta_v3,10,7,0.34
85.000,ahe_mrta_v3,11,5,0.80
90.000,ahe_mrta_v3,12,5,0.60
95.000,ahe_mrta_v3,13,6,0.87
100.000,ahe_mrta_v3,14,6,0.60
105.000,ahe_mrta_v3,15,6,0.62
110.000,ahe_mrta_v3,16,6,0.60
115.000,ahe_mrta_v3,17,5,0.66
120.000,ahe_mrta_v3,18,5,0.56
125.000,ahe_mrta_v3,19,5,0.65
130.000,ahe_mrta_v3,20,4,0.61
135.000,ahe_mrta_v3,21,4,0.84
140.000,ahe_mrta_v3,22,4,0.68
145.000,ahe_mrta_v3,23,4,0.66
150.000,ahe_mrta_v3,24,4,0.80
155.000,ahe_mrta_v3,25,5,0.76
160.000,ahe_mrta_v3,26,5,0.68
165.000,ahe_mrta_v3,27,4,0.80
170.000,ahe_mrta_v3,28,4,0.41
175.000,ahe_mrta_v3,29,4,0.40
180.000,ahe_mrta_v3,30,4,1.04
185.000,ahe_mrta_v3,31,5,0.93
