timestamp_s,strategy,alloc_num,tasks_in_queues,latency_ms
30.000,ahe_mrta_v3,1,10,0.98
35.000,ahe_mrta_v3,2,10,0.61
40.000,ahe_mrta_v3,3,10,0.25
45.000,ahe_mrta_v3,4,10,0.21
50.000,ahe_mrta_v3,5,10,0.50
55.000,ahe_mrta_v3,6,10,0.59
60.000,ahe_mrta_v3,7,10,0.66
65.000,ahe_mrta_v3,8,10,0.62
70.000,ahe_mrta_v3,9,9,0.56
75.000,ahe_mrta_v3,10,8,0.66
80.000,ahe_mrta_v3,11,8,0.53
85.000,ahe_mrta_v3,12,8,0.71
90.000,ahe_mrta_v3,13,8,0.49
95.000,ahe_mrta_v3,14,8,0.61
100.000,ahe_mrta_v3,15,8,0.46
105.000,ahe_mrta_v3,16,8,0.42
110.000,ahe_mrta_v3,17,8,0.53
115.000,ahe_mrta_v3,18,8,0.64
120.000,ahe_mrta_v3,19,7,0.53
125.000,ahe_mrta_v3,20,7,0.56
130.000,ahe_mrta_v3,21,8,0.57
135.000,ahe_mrta_v3,22,7,0.59
140.000,ahe_mrta_v3,23,8,0.84
145.000,ahe_mrta_v3,24,8,0.53
150.000,ahe_mrta_v3,25,8,0.73
155.000,ahe_mrta_v3,26,8,0.70
160.000,ahe_mrta_v3,27,8,0.55
165.000,ahe_mrta_v3,28,8,0.64
170.000,ahe_mrta_v3,29,8,0.40
175.000,ahe_mrta_v3,30,8,0.68
180.000,ahe_mrta_v3,31,7,0.42
185.000,ahe_mrta_v3,32,7,0.65
190.000,ahe_mrta_v3,33,6,0.61
