task_id,x,y,priority,strategy,scenario,seed
task_001,4.000,6.000,3,ahe_mrta_v3,robot_failure,11
task_002,-4.000,6.000,2,ahe_mrta_v3,robot_failure,11
task_003,3.000,2.000,1,ahe_mrta_v3,robot_failure,11
task_004,0.000,6.000,3,ahe_mrta_v3,robot_failure,11
task_005,-5.000,-2.000,2,ahe_mrta_v3,robot_failure,11
task_006,3.000,-2.000,3,ahe_mrta_v3,robot_failure,11
task_007,2.000,-4.000,2,ahe_mrta_v3,robot_failure,11
task_008,6.000,1.500,3,ahe_mrta_v3,robot_failure,11
task_009,-1.000,6.000,3,ahe_mrta_v3,robot_failure,11
task_010,-3.000,2.000,1,ahe_mrta_v3,robot_failure,11
task_011,1.000,-6.000,2,ahe_mrta_v3,robot_failure,11
task_012,4.000,0.000,3,ahe_mrta_v3,robot_failure,11
task_013,-6.000,-6.000,1,ahe_mrta_v3,robot_failure,11
task_014,-6.000,-1.500,2,ahe_mrta_v3,robot_failure,11
task_015,-3.000,-2.000,1,ahe_mrta_v3,robot_failure,11
task_016,0.000,-2.000,1,ahe_mrta_v3,robot_failure,11
task_017,5.000,2.000,3,ahe_mrta_v3,robot_failure,11
task_018,-6.000,7.000,2,ahe_mrta_v3,robot_failure,11
task_019,-6.000,6.000,3,ahe_mrta_v3,robot_failure,11
task_020,4.000,-6.000,1,ahe_mrta_v3,robot_failure,11
task_021,6.000,-6.000,2,ahe_mrta_v3,robot_failure,11
task_022,-5.000,0.000,1,ahe_mrta_v3,robot_failure,11
task_023,-2.000,7.000,1,ahe_mrta_v3,robot_failure,11
task_024,5.000,0.000,2,ahe_mrta_v3,robot_failure,11
task_025,6.000,-1.500,1,ahe_mrta_v3,robot_failure,11
