timestamp_s,event_type,robot_id,task_id,strategy,latency_ms
35.000,allocation_run,,,ahe_mrta_v3,0.93
40.000,allocation_run,,,ahe_mrta_v3,0.64
45.000,allocation_run,,,ahe_mrta_v3,0.66
50.000,allocation_run,,,ahe_mrta_v3,0.76
55.000,allocation_run,,,ahe_mrta_v3,0.25
60.000,allocation_run,,,ahe_mrta_v3,0.26
65.000,allocation_run,,,ahe_mrta_v3,0.77
70.000,allocation_run,,,ahe_mrta_v3,0.72
71.000,robot_failure,robot_2,,ahe_mrta_v3,0.00
75.000,allocation_run,,,ahe_mrta_v3,0.62
80.000,allocation_run,,,ahe_mrta_v3,0.34
85.000,allocation_run,,,ahe_mrta_v3,0.67
90.000,allocation_run,,,ahe_mrta_v3,0.51
95.000,allocation_run,,,ahe_mrta_v3,0.57
100.000,allocation_run,,,ahe_mrta_v3,0.56
105.000,allocation_run,,,ahe_mrta_v3,0.50
110.000,allocation_run,,,ahe_mrta_v3,0.60
115.000,allocation_run,,,ahe_mrta_v3,0.45
120.000,allocation_run,,,ahe_mrta_v3,0.50
125.000,allocation_run,,,ahe_mrta_v3,0.68
130.000,allocation_run,,,ahe_mrta_v3,0.60
135.000,allocation_run,,,ahe_mrta_v3,0.66
140.000,allocation_run,,,ahe_mrta_v3,0.46
145.000,allocation_run,,,ahe_mrta_v3,0.46
150.000,allocation_run,,,ahe_mrta_v3,0.67
155.000,allocation_run,,,ahe_mrta_v3,0.78
160.000,allocation_run,,,ahe_mrta_v3,0.64
165.000,allocation_run,,,ahe_mrta_v3,0.91
170.000,allocation_run,,,ahe_mrta_v3,0.50
