timestamp_s,event_type,robot_id,task_id,strategy,latency_ms
30.000,allocation_run,,,ahe_mrta_v3,1.21
35.000,allocation_run,,,ahe_mrta_v3,1.63
40.000,allocation_run,,,ahe_mrta_v3,0.68
45.000,allocation_run,,,ahe_mrta_v3,0.65
50.000,allocation_run,,,ahe_mrta_v3,0.46
55.000,allocation_run,,,ahe_mrta_v3,0.41
60.000,allocation_run,,,ahe_mrta_v3,0.47
65.000,allocation_run,,,ahe_mrta_v3,3.52
70.000,allocation_run,,,ahe_mrta_v3,2.56
75.000,allocation_run,,,ahe_mrta_v3,1.97
80.000,allocation_run,,,ahe_mrta_v3,2.51
85.000,allocation_run,,,ahe_mrta_v3,2.03
90.000,allocation_run,,,ahe_mrta_v3,2.76
95.000,allocation_run,,,ahe_mrta_v3,1.96
100.000,allocation_run,,,ahe_mrta_v3,1.42
105.000,allocation_run,,,ahe_mrta_v3,1.00
110.000,allocation_run,,,ahe_mrta_v3,1.12
115.000,allocation_run,,,ahe_mrta_v3,1.21
120.000,allocation_run,,,ahe_mrta_v3,0.83
125.000,allocation_run,,,ahe_mrta_v3,0.93
130.000,allocation_run,,,ahe_mrta_v3,0.69
135.000,allocation_run,,,ahe_mrta_v3,0.82
140.000,allocation_run,,,ahe_mrta_v3,0.99
