timestamp_s,strategy,alloc_num,tasks_in_queues,latency_ms
30.000,ahe_mrta_v3,1,10,1.10
35.000,ahe_mrta_v3,2,10,0.79
40.000,ahe_mrta_v3,3,10,0.50
45.000,ahe_mrta_v3,4,10,0.53
50.000,ahe_mrta_v3,5,10,0.57
55.000,ahe_mrta_v3,6,10,0.59
60.000,ahe_mrta_v3,7,10,0.79
65.000,ahe_mrta_v3,8,10,0.72
70.000,ahe_mrta_v3,9,10,0.89
75.001,ahe_mrta_v3,10,10,2.19
80.000,ahe_mrta_v3,11,8,1.75
85.000,ahe_mrta_v3,12,7,2.47
90.000,ahe_mrta_v3,13,7,1.76
95.000,ahe_mrta_v3,14,7,1.89
100.000,ahe_mrta_v3,15,7,1.58
105.000,ahe_mrta_v3,16,5,2.29
110.000,ahe_mrta_v3,17,5,2.19
115.000,ahe_mrta_v3,18,5,1.86
120.000,ahe_mrta_v3,19,5,1.35
125.000,ahe_mrta_v3,20,5,0.67
130.000,ahe_mrta_v3,21,5,1.70
135.000,ahe_mrta_v3,22,5,0.83
140.000,ahe_mrta_v3,23,5,1.08
145.000,ahe_mrta_v3,24,5,0.87
