timestamp_s,dominant_heuristic,dominant_value,context_task_density,context_robot_avail,context_deadline,context_failure_rate,w_d,w_p,w_b,w_l,w_f,w_t,w_r,d_0,d_1,d_2,d_3,d_4
2.000,SpatialOpportunist,0.2429,0.0000,1.0000,0.0000,0.0000,0.1688,0.2064,0.0883,0.0784,0.1745,0.1613,0.1221,0.2429,0.2117,0.2051,0.1783,0.1620
4.003,SpatialOpportunist,0.2687,0.0000,1.0000,0.0000,0.0000,0.1794,0.2111,0.0876,0.0785,0.1609,0.1670,0.1156,0.2687,0.2188,0.2085,0.1654,0.1387
6.004,SpatialOpportunist,0.2841,0.0000,1.0000,0.0000,0.0000,0.1857,0.2137,0.0871,0.0784,0.1530,0.1704,0.1117,0.2841,0.2232,0.2107,0.1576,0.1244
8.003,SpatialOpportunist,0.2933,0.0000,1.0000,0.0000,0.0000,0.1896,0.2154,0.0867,0.0783,0.1484,0.1725,0.1093,0.2933,0.2258,0.2122,0.1530,0.1157
10.003,SpatialOpportunist,0.2989,0.0000,1.0000,0.0000,0.0000,0.1918,0.2163,0.0865,0.0782,0.1456,0.1737,0.1078,0.2989,0.2274,0.2132,0.1502,0.1104
12.002,SpatialOpportunist,0.3022,0.0000,1.0000,0.0000,0.0000,0.1932,0.2169,0.0863,0.0782,0.1439,0.1745,0.1069,0.3022,0.2284,0.2138,0.1485,0.1071
14.003,SpatialOpportunist,0.3042,0.0000,1.0000,0.0000,0.0000,0.1940,0.2173,0.0862,0.0781,0.1429,0.1750,0.1064,0.3042,0.2290,0.2142,0.1475,0.1051
16.006,SpatialOpportunist,0.3054,0.0000,1.0000,0.0000,0.0000,0.1945,0.2175,0.0862,0.0781,0.1423,0.1753,0.1061,0.3054,0.2294,0.2145,0.1469,0.1039
18.003,SpatialOpportunist,0.3061,0.0000,1.0000,0.0000,0.0000,0.1948,0.2177,0.0861,0.0781,0.1419,0.1755,0.1059,0.3061,0.2296,0.2146,0.1466,0.1031
20.004,SpatialOpportunist,0.3065,0.0000,1.0000,0.0000,0.0000,0.1950,0.2178,0.0861,0.0781,0.1417,0.1756,0.1057,0.3065,0.2297,0.2147,0.1464,0.1027
22.003,SpatialOpportunist,0.3068,0.0000,1.0000,0.0000,0.0000,0.1951,0.2178,0.0861,0.0781,0.1415,0.1757,0.1057,0.3068,0.2298,0.2148,0.1462,0.1024
24.004,SpatialOpportunist,0.3069,0.0000,1.0000,0.0000,0.0000,0.1951,0.2179,0.0861,0.0781,0.1415,0.1757,0.1056,0.3069,0.2298,0.2149,0.1462,0.1022
26.003,SpatialOpportunist,0.3070,0.0000,1.0000,0.0000,0.0000,0.1952,0.2179,0.0861,0.0781,0.1414,0.1758,0.1056,0.3070,0.2299,0.2149,0.1461,0.1021
28.002,SpatialOpportunist,0.3071,0.0000,1.0000,0.0000,0.0000,0.1952,0.2179,0.0861,0.0781,0.1414,0.1758,0.1056,0.3071,0.2299,0.2149,0.1461,0.1021
30.005,SpatialOpportunist,0.3071,0.0000,1.0000,0.0000,0.0000,0.1952,0.2179,0.0861,0.0781,0.1414,0.1758,0.1056,0.3071,0.2299,0.2149,0.1461,0.1020
32.002,SpatialOpportunist,0.2935,1.0000,1.0000,0.3200,0.0000,0.1888,0.2156,0.0863,0.0782,0.1450,0.1782,0.1080,0.2935,0.2213,0.2260,0.1474,0.1118
34.003,SpatialOpportunist,0.2844,1.0000,1.0000,0.3600,0.0000,0.1844,0.2153,0.0864,0.0782,0.1466,0.1801,0.1090,0.2844,0.2185,0.2325,0.1481,0.1165
36.002,SpatialOpportunist,0.2737,1.0000,1.0000,0.4800,0.0000,0.1788,0.2179,0.0862,0.0781,0.1468,0.1831,0.1091,0.2737,0.2210,0.2389,0.1483,0.1182
38.000,SpatialOpportunist,0.2684,1.0000,1.0000,0.4800,0.0000,0.1761,0.2192,0.0861,0.0780,0.1469,0.1846,0.1092,0.2684,0.2222,0.2420,0.1484,0.1190
40.003,SpatialOpportunist,0.2639,1.0000,1.0000,0.5200,0.0000,0.1737,0.2206,0.0859,0.0778,0.1468,0.1860,0.1091,0.2639,0.2239,0.2446,0.1484,0.1192
42.003,SpatialOpportunist,0.2670,1.0000,1.0000,0.5200,0.0000,0.1751,0.2211,0.0859,0.0778,0.1460,0.1856,0.1085,0.2670,0.2252,0.2426,0.1485,0.1167
44.003,SpatialOpportunist,0.2621,1.0000,1.0000,0.5417,0.0000,0.1727,0.2220,0.0858,0.0777,0.1462,0.1869,0.1087,0.2621,0.2260,0.2454,0.1485,0.1180
46.002,SpatialOpportunist,0.2560,1.0000,1.0000,0.6250,0.0000,0.1695,0.2241,0.0856,0.0776,0.1459,0.1888,0.1085,0.2560,0.2287,0.2488,0.1484,0.1182
48.005,TemporalRegulator,0.2514,1.0000,1.0000,0.6667,0.0000,0.1670,0.2259,0.0855,0.0774,0.1456,0.1904,0.1082,0.2512,0.2311,0.2514,0.1483,0.1181
50.006,SpatialOpportunist,0.2551,1.0000,1.0000,0.6522,0.0000,0.1687,0.2261,0.0855,0.0774,0.1449,0.1897,0.1077,0.2551,0.2323,0.2488,0.1483,0.1156
52.003,SpatialOpportunist,0.2513,1.0000,1.0000,0.6522,0.0000,0.1670,0.2266,0.0854,0.0774,0.1452,0.1906,0.1079,0.2513,0.2324,0.2511,0.1482,0.1169
