timestamp_s,strategy,alloc_num,tasks_in_queues,latency_ms
30.000,ahe_mrta_v3,1,8,3.85
60.000,ahe_mrta_v3,2,9,0.92
65.000,ahe_mrta_v3,3,10,0.93
70.000,ahe_mrta_v3,4,10,1.34
75.000,ahe_mrta_v3,5,9,0.65
80.000,ahe_mrta_v3,6,8,0.65
85.000,ahe_mrta_v3,7,6,0.68
90.001,ahe_mrta_v3,8,8,1.38
95.001,ahe_mrta_v3,9,8,0.92
100.000,ahe_mrta_v3,10,8,0.73
105.000,ahe_mrta_v3,11,7,0.69
110.000,ahe_mrta_v3,12,6,0.88
115.000,ahe_mrta_v3,13,6,0.87
120.000,ahe_mrta_v3,14,6,0.81
125.000,ahe_mrta_v3,15,5,1.15
130.000,ahe_mrta_v3,16,5,0.76
135.000,ahe_mrta_v3,17,5,0.57
140.000,ahe_mrta_v3,18,5,0.54
145.000,ahe_mrta_v3,19,5,0.70
150.000,ahe_mrta_v3,20,4,0.47
155.000,ahe_mrta_v3,21,4,0.94
160.000,ahe_mrta_v3,22,5,0.79
165.000,ahe_mrta_v3,23,4,0.50
170.000,ahe_mrta_v3,24,4,0.64
175.000,ahe_mrta_v3,25,4,0.56
