timestamp_s,strategy,alloc_num,footprint_bytes
30.000,ahe_mrta_v3,1,72
60.000,ahe_mrta_v3,2,76
65.000,ahe_mrta_v3,3,76
70.000,ahe_mrta_v3,4,72
75.000,ahe_mrta_v3,5,72
80.000,ahe_mrta_v3,6,68
85.000,ahe_mrta_v3,7,64
90.000,ahe_mrta_v3,8,68
95.000,ahe_mrta_v3,9,68
100.000,ahe_mrta_v3,10,64
105.000,ahe_mrta_v3,11,64
110.000,ahe_mrta_v3,12,64
115.000,ahe_mrta_v3,13,60
120.000,ahe_mrta_v3,14,60
125.000,ahe_mrta_v3,15,60
130.000,ahe_mrta_v3,16,60
135.000,ahe_mrta_v3,17,60
140.000,ahe_mrta_v3,18,60
145.000,ahe_mrta_v3,19,56
150.000,ahe_mrta_v3,20,48
155.000,ahe_mrta_v3,21,52
160.000,ahe_mrta_v3,22,56
165.000,ahe_mrta_v3,23,56
170.000,ahe_mrta_v3,24,56
175.000,ahe_mrta_v3,25,56
180.000,ahe_mrta_v3,26,56
185.000,ahe_mrta_v3,27,52
190.000,ahe_mrta_v3,28,52
195.000,ahe_mrta_v3,29,60
200.000,ahe_mrta_v3,30,56
