timestamp_s,dominant_heuristic,dominant_value,context_task_density,context_robot_avail,context_deadline,context_failure_rate,w_d,w_p,w_b,w_l,w_f,w_t,w_r,d_0,d_1,d_2,d_3,d_4
2.004,SpatialOpportunist,0.2429,0.0000,1.0000,0.0000,0.0000,0.1688,0.2064,0.0883,0.0784,0.1745,0.1613,0.1221,0.2429,0.2117,0.2051,0.1783,0.1620
4.004,SpatialOpportunist,0.2687,0.0000,1.0000,0.0000,0.0000,0.1794,0.2111,0.0876,0.0785,0.1609,0.1670,0.1156,0.2687,0.2188,0.2085,0.1654,0.1387
6.000,SpatialOpportunist,0.2841,0.0000,1.0000,0.0000,0.0000,0.1857,0.2137,0.0871,0.0784,0.1530,0.1704,0.1117,0.2841,0.2232,0.2107,0.1576,0.1244
8.004,SpatialOpportunist,0.2933,0.0000,1.0000,0.0000,0.0000,0.1896,0.2154,0.0867,0.0783,0.1484,0.1725,0.1093,0.2933,0.2258,0.2122,0.1530,0.1157
10.002,SpatialOpportunist,0.2989,0.0000,1.0000,0.0000,0.0000,0.1918,0.2163,0.0865,0.0782,0.1456,0.1737,0.1078,0.2989,0.2274,0.2132,0.1502,0.1104
12.003,SpatialOpportunist,0.3022,0.0000,1.0000,0.0000,0.0000,0.1932,0.2169,0.0863,0.0782,0.1439,0.1745,0.1069,0.3022,0.2284,0.2138,0.1485,0.1071
14.000,SpatialOpportunist,0.3042,0.0000,1.0000,0.0000,0.0000,0.1940,0.2173,0.0862,0.0781,0.1429,0.1750,0.1064,0.3042,0.2290,0.2142,0.1475,0.1051
16.002,SpatialOpportunist,0.3054,0.0000,1.0000,0.0000,0.0000,0.1945,0.2175,0.0862,0.0781,0.1423,0.1753,0.1061,0.3054,0.2294,0.2145,0.1469,0.1039
18.003,SpatialOpportunist,0.3061,0.0000,1.0000,0.0000,0.0000,0.1948,0.2177,0.0861,0.0781,0.1419,0.1755,0.1059,0.3061,0.2296,0.2146,0.1466,0.1031
20.004,SpatialOpportunist,0.3065,0.0000,1.0000,0.0000,0.0000,0.1950,0.2178,0.0861,0.0781,0.1417,0.1756,0.1057,0.3065,0.2297,0.2147,0.1464,0.1027
22.004,SpatialOpportunist,0.3068,0.0000,1.0000,0.0000,0.0000,0.1951,0.2178,0.0861,0.0781,0.1415,0.1757,0.1057,0.3068,0.2298,0.2148,0.1462,0.1024
24.004,SpatialOpportunist,0.3069,0.0000,1.0000,0.0000,0.0000,0.1951,0.2179,0.0861,0.0781,0.1415,0.1757,0.1056,0.3069,0.2298,0.2149,0.1462,0.1022
26.003,SpatialOpportunist,0.3070,0.0000,1.0000,0.0000,0.0000,0.1952,0.2179,0.0861,0.0781,0.1414,0.1758,0.1056,0.3070,0.2299,0.2149,0.1461,0.1021
28.415,SpatialOpportunist,0.3071,0.0000,1.0000,0.0000,0.0000,0.1952,0.2179,0.0861,0.0781,0.1414,0.1758,0.1056,0.3071,0.2299,0.2149,0.1461,0.1021
30.007,SpatialOpportunist,0.2975,1.0000,1.0000,0.2500,0.0000,0.1911,0.2139,0.0864,0.0783,0.1453,0.1768,0.1082,0.2975,0.2190,0.2238,0.1475,0.1122
32.002,SpatialOpportunist,0.2926,1.0000,1.0000,0.2500,0.0000,0.1890,0.2119,0.0866,0.0785,0.1473,0.1773,0.1095,0.2926,0.2137,0.2282,0.1482,0.1173
34.004,SpatialOpportunist,0.2832,1.0000,1.0000,0.3750,0.0000,0.1840,0.2139,0.0865,0.0783,0.1477,0.1799,0.1097,0.2832,0.2153,0.2339,0.1485,0.1191
36.004,SpatialOpportunist,0.2721,1.0000,1.0000,0.5000,0.0000,0.1781,0.2176,0.0862,0.0781,0.1473,0.1834,0.1094,0.2721,0.2200,0.2400,0.1485,0.1193
38.002,SpatialOpportunist,0.2667,1.0000,1.0000,0.5000,0.0000,0.1752,0.2195,0.0860,0.0779,0.1470,0.1851,0.1093,0.2667,0.2223,0.2431,0.1485,0.1194
40.004,SpatialOpportunist,0.2640,1.0000,1.0000,0.5000,0.0000,0.1738,0.2203,0.0860,0.0779,0.1469,0.1859,0.1092,0.2640,0.2234,0.2446,0.1485,0.1195
42.002,SpatialOpportunist,0.2569,1.0000,1.0000,0.6250,0.0000,0.1700,0.2233,0.0857,0.0776,0.1463,0.1884,0.1087,0.2569,0.2275,0.2483,0.1484,0.1189
44.002,TemporalRegulator,0.2530,1.0000,1.0000,0.7500,0.0000,0.1654,0.2270,0.0854,0.0773,0.1454,0.1914,0.1081,0.2481,0.2327,0.2530,0.1482,0.1180
46.003,TemporalRegulator,0.2523,1.0000,1.0000,0.7500,0.0000,0.1652,0.2290,0.0852,0.0772,0.1442,0.1920,0.1072,0.2483,0.2363,0.2523,0.1481,0.1150
48.003,TemporalRegulator,0.2554,1.0000,1.0000,0.8571,0.0000,0.1620,0.2321,0.0849,0.0769,0.1433,0.1943,0.1066,0.2422,0.2408,0.2554,0.1479,0.1136
50.005,TemporalRegulator,0.2545,1.0000,1.0000,0.8000,0.0000,0.1629,0.2314,0.0850,0.0770,0.1434,0.1937,0.1067,0.2440,0.2399,0.2545,0.1480,0.1137
52.004,TemporalRegulator,0.2571,1.0000,1.0000,0.8000,0.0000,0.1610,0.2317,0.0849,0.0769,0.1438,0.1947,0.1070,0.2399,0.2397,0.2571,0.1480,0.1154
54.001,TemporalRegulator,0.2583,1.0000,1.0000,0.8000,0.0000,0.1601,0.2319,0.0849,0.0769,0.1440,0.1952,0.1071,0.2379,0.2397,0.2583,0.1480,0.1162
56.003,TemporalRegulator,0.2589,1.0000,1.0000,0.8000,0.0000,0.1596,0.2319,0.0849,0.0769,0.1441,0.1954,0.1072,0.2369,0.2396,0.2589,0.1480,0.1166
58.002,TemporalRegulator,0.2553,1.0000,1.0000,0.8000,0.0000,0.1623,0.2314,0.0850,0.0770,0.1436,0.1940,0.1068,0.2428,0.2396,0.2553,0.1480,0.1143
60.005,SpatialOpportunist,0.2522,1.0000,1.0000,0.5000,0.0000,0.1674,0.2261,0.0855,0.0774,0.1453,0.1903,0.1080,0.2522,0.2317,0.2508,0.1483,0.1170
62.003,SpatialOpportunist,0.2569,1.0000,1.0000,0.5000,0.0000,0.1700,0.2236,0.0857,0.0776,0.1461,0.1885,0.1086,0.2569,0.2280,0.2484,0.1484,0.1183
64.004,SpatialOpportunist,0.2592,1.0000,1.0000,0.5000,0.0000,0.1712,0.2224,0.0858,0.0777,0.1465,0.1876,0.1088,0.2592,0.2261,0.2473,0.1485,0.1190
66.003,SpatialOpportunist,0.2603,1.0000,1.0000,0.5000,0.0000,0.1718,0.2218,0.0858,0.0777,0.1466,0.1872,0.1090,0.2603,0.2253,0.2467,0.1485,0.1193
68.002,SpatialOpportunist,0.2608,1.0000,1.0000,0.5000,0.0000,0.1721,0.2215,0.0859,0.0778,0.1467,0.1870,0.1090,0.2608,0.2249,0.2464,0.1485,0.1194
70.004,SpatialOpportunist,0.2677,1.0000,1.0000,0.5000,0.0000,0.1755,0.2207,0.0859,0.0778,0.1462,0.1853,0.1086,0.2677,0.2246,0.2423,0.1485,0.1170
